

<<START>>,<<FMS_SECTOR_MST>>, 	(12-MAR-2025 17:58:25)
 
ABBR,,TIMESTAMP
RESELLERS,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
ELLECTRICAL/ ELECTRONICS,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
HEAVY MACHINES,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
LIGHT MACHINES,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
AIRCRAFTS,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
SHIPBUILD. & REPAIRS,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
TRUCKS&PASS VEHICALS,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
SCOOTERS ETC,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
HIGH PRESSURE VESSEL,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
MECH. MISCELLANEOUS,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
STRUCTURAL WORKS,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
IRON & STEEL PLANTS,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
IRON & STEEL REWORKS,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
ALUMINIUM,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
FOUNDRIES/CASTINGS,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
FERROUS ALLOYS,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
METAL. MISCELLANEOUS,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
CANDLE INDUSTRY,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
MATCHES,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
RUBBER TYRES & TUBES,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
PAPER PRODUCTS,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
INDU ABRASIVES,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
GLASS/CERAMICS ETC,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
PACKING MATERIALS,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
PLASTIC INDUSTRIES,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
LEATHER,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
PROCESSOR,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
TOBACCO PRODUCTS,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
INDUS. MISCELLANEOUS,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
COTTON MILLS HOSIERY,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
JUTE MILLS,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
SYN.FIBRE/RAYON MF,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
TEXTI. MISCELLANEOUS,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
PET.EXPLO&PROD,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
IRON ORE,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
COAL,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
BAUXITE,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
MANGANESE,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
STONE QUARRYING,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
MINING MISCELLANEOUS,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
POST & TELEGRAPHS,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
STATE ELEC. BOARDS,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
CATERING & HOTELS,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
UNIVERSITIES ETC,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
LAUNDRIES,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
REFINERIES,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
TPP-OIL,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
HYDEL POWER PLANTS,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
ATOMIC POWER PLANTS,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
GAS TURBINES,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
POWER MISCELLANEOUS,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
RAILWAYS,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
OTHER ROAD TRANSPORT,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
STATE ROAD TRANSPORT,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
SHIP. COASTAL,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
SHIP. INTERNATIONAL,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
INLAND WATERWAYS,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
OTHERS (PORT TRUST),, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
DOMESTIC DIST.,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
INDUSTRIAL DIST.,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
OWN CONSUMPTION,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
PARALLEL MARKETERS,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
TEA PLANTATION,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
RUBBER/COFFEE ETC,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
FORESTRY&TIMBER,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
AGRI.CROPS/ORCHARD,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
SUGAR MILLS,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
FLOUR MILLS ETC,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
VEG. OIL MILLS,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
FOOD PROCESSING,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
DAIRIES&MILK PROC,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
FISHERIES,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
