

<<START>>,<<FMS_ENTITY_ADDR_MST>>,,,,, 	(09-APR-2025 19:52:38)
 
COMPANY_CD,CD,ABBR,ADDR_TYPE,ENTITY,EFF_DT,TIMESTAMP
2, 12 , MNGL , R , C , 20/06/2013 00:00:00, 	(09-APR-2025 19:52:39)
2, 12 , MNGL , B , C , 20/06/2013 00:00:00, 	(09-APR-2025 19:52:39)
2, 12 , MNGL , C , C , 20/06/2013 00:00:00, 	(09-APR-2025 19:52:39)
2, 13 , IGL , B , C , 04/02/2011 00:00:00, 	(09-APR-2025 19:52:39)
2, 13 , IGL , R , C , 04/02/2011 00:00:00, 	(09-APR-2025 19:52:39)
2, 13 , IGL , C , C , 04/02/2011 00:00:00, 	(09-APR-2025 19:52:39)
2, 14 , BPCL , R , C , 01/08/2022 00:00:00, 	(09-APR-2025 19:52:39)
2, 14 , BPCL , R , C , 16/12/2022 00:00:00, 	(09-APR-2025 19:52:39)	 (Not Inserted)
2, 14 , BPCL , B , C , 24/07/2014 00:00:00, 	(09-APR-2025 19:52:39)
2, 14 , BPCL , R , C , 24/07/2014 00:00:00, 	(09-APR-2025 19:52:39)	 (Not Inserted)
2, 14 , BPCL , C , C , 24/07/2014 00:00:00, 	(09-APR-2025 19:52:39)
2, 14 , BPCL , R , T , 01/08/2022 00:00:00, 	(09-APR-2025 19:52:39)
2, 14 , BPCL , R , T , 16/12/2022 00:00:00, 	(09-APR-2025 19:52:39)	 (Not Inserted)
2, 269 , TEL , C , C , 06/08/2014 00:00:00, 	(09-APR-2025 19:52:39)
2, 269 , TEL , R , C , 06/08/2014 00:00:00, 	(09-APR-2025 19:52:39)
2, 269 , TEL , B , C , 06/08/2014 00:00:00, 	(09-APR-2025 19:52:39)
2, 15 , HPCL , C , C , 15/06/2016 00:00:00, 	(09-APR-2025 19:52:39)
2, 15 , HPCL , B , C , 15/06/2016 00:00:00, 	(09-APR-2025 19:52:39)
2, 15 , HPCL , R , C , 15/06/2016 00:00:00, 	(09-APR-2025 19:52:39)
2, 15 , HPCL , B , C , 16/09/2014 00:00:00, 	(09-APR-2025 19:52:39)	 (Not Inserted)
2, 15 , HPCL , R , C , 16/09/2014 00:00:00, 	(09-APR-2025 19:52:39)	 (Not Inserted)
2, 15 , HPCL , R , C , 17/11/2010 00:00:00, 	(09-APR-2025 19:52:39)	 (Not Inserted)
2, 15 , HPCL , R , T , 15/06/2016 00:00:00, 	(09-APR-2025 19:52:39)
2, 16 , JSW , B , C , 25/11/2014 00:00:00, 	(09-APR-2025 19:52:39)
2, 16 , JSW , C , C , 25/11/2014 00:00:00, 	(09-APR-2025 19:52:39)
2, 16 , JSW , R , C , 25/11/2014 00:00:00, 	(09-APR-2025 19:52:39)
2, 16 , JSW , B , C , 31/05/2011 00:00:00, 	(09-APR-2025 19:52:39)	 (Not Inserted)
2, 16 , JSW , C , C , 31/05/2011 00:00:00, 	(09-APR-2025 19:52:39)	 (Not Inserted)
2, 16 , JSW , R , C , 31/05/2011 00:00:00, 	(09-APR-2025 19:52:39)	 (Not Inserted)
2, 17 , BGL , R , C , 28/07/2016 00:00:00, 	(09-APR-2025 19:52:39)
2, 17 , BGL , C , C , 28/07/2016 00:00:00, 	(09-APR-2025 19:52:39)
2, 17 , BGL , B , C , 28/07/2016 00:00:00, 	(09-APR-2025 19:52:39)
