COMPANY_CD,COUNTERPARTY_CD,CONTRACT_TYPE,AGMT_NO,AGMT_REV,CONT_NAME,CONT_REF_NO,TIMESTAMP,
2,234,B,1,0,JKPAPER-FL1-FLREV0-SN1-SNREV0-SO01,JKPAPER-1-0-1-1-0, 	(11-SEP-2025 19:20:30)
2,234,B,1,0,JKPAPER-FL1-FLREV0-SN2-SNREV0-SO 02,JKPAPER-1-0-1-2-0, 	(11-SEP-2025 19:20:30)
2,21,B,1,0,SGIPL-FL1-FLREV0-SN5-SNREV0-S0 03,SGIPL-1-0-3-5-0, 	(11-SEP-2025 19:20:30)
2,21,B,1,0,SGIPL-FL1-FLREV0-SN5-SNREV0-S0 03,SGIPL-1-0-5-5-0, 	(11-SEP-2025 19:20:30)
2,276,B,1,0,VIRGO-FL1-FLREV0-SN3-SNREV1-S0 03,VIRGO-1-0-1-3-1, 	(11-SEP-2025 19:20:30)
2,234,B,1,0,JKPAPER-FL1-FLREV0-SN7-SNREV0-S0 07,JKPAPER-1-0-1-7-0, 	(11-SEP-2025 19:20:30)
2,234,B,1,0,JKPAPER-FL1-FLREV0-SN5-SNREV1-SO 05,JKPAPER-1-0-1-5-1, 	(11-SEP-2025 19:20:30)
2,234,B,1,0,JKPAPER-FL1-FLREV0-SN6-SNREV1-SO 06,JKPAPER-1-0-1-6-1, 	(11-SEP-2025 19:20:30)
2,276,B,1,0,VIRGO-FL1-FLREV0-SN4-SNREV1-S0 05,VIRGO-1-0-1-4-1, 	(11-SEP-2025 19:20:30)
2,276,B,1,0,VIRGO-FL1-FLREV0-SN5-SNREV1-S0 06,VIRGO-1-0-1-5-1, 	(11-SEP-2025 19:20:30)
2,234,B,1,0,JKPAPER-FL1-FLREV0-SN10-SNREV0-S0 10,JKPAPER-1-0-1-10-0, 	(11-SEP-2025 19:20:30)
2,234,B,1,0,JKPAPER-FL1-FLREV0-SN3-SNREV0-S0 03,JKPAPER-1-0-1-3-0, 	(11-SEP-2025 19:20:30)
2,276,B,1,0,VIRGO-FL1-FLREV0-SN6-SNREV1-SO 06,VIRGO-1-0-1-6-1, 	(11-SEP-2025 19:20:30)
2,234,B,1,0,JKPAPER-FL1-FLREV0-SN7-SNREV1-S0 07,JKPAPER-1-0-1-7-1, 	(11-SEP-2025 19:20:30)
2,21,B,1,0,SGIPL-FL1-FLREV0-SN5-SNREV1-S0 03,SGIPL-1-0-3-5-1, 	(11-SEP-2025 19:20:30)
2,21,B,1,0,SGIPL-FL1-FLREV0-SN5-SNREV1-S0 03,SGIPL-1-0-5-5-1, 	(11-SEP-2025 19:20:30)
2,21,B,1,0,SGIPL-FL1-FLREV0-SN6-SNREV0-SO 04,SGIPL-1-0-3-6-0, 	(11-SEP-2025 19:20:30)
2,276,B,1,0,VIRGO-FL1-FLREV0-SN11-SNREV0-SO 08,VIRGO-1-0-1-11-0, 	(11-SEP-2025 19:20:30)
2,234,B,1,0,JKPAPER-FL1-FLREV0-SN4-SNREV0-SO 04,JKPAPER-1-0-1-4-0, 	(11-SEP-2025 19:20:30)
2,234,B,1,0,JKPAPER-FL1-FLREV0-SN2-SNREV1-SO 02,JKPAPER-1-0-1-2-1, 	(11-SEP-2025 19:20:30)
2,234,B,1,0,JKPAPER-FL1-FLREV0-SN1-SNREV1-SO01,JKPAPER-1-0-1-1-1, 	(11-SEP-2025 19:20:30)
2,234,B,1,0,JKPAPER-FL1-FLREV0-SN3-SNREV1-S0 03,JKPAPER-1-0-1-3-1, 	(11-SEP-2025 19:20:30)
2,21,B,1,0,SGIPL-FL1-FLREV0-SN2-SNREV1-SO01,SGIPL-1-0-5-2-1, 	(11-SEP-2025 19:20:30)
2,21,B,1,0,SGIPL-FL1-FLREV0-SN4-SNREV0-SO 02,SGIPL-1-0-5-4-0, 	(11-SEP-2025 19:20:30)
