

<<START>>,<<FMS_TANK_MST>>,, 	(06-MAR-2025 10:18:15)
 
COMPANY_CD,TANK_CD,EFF_DT,TIMESTAMP,
2,1,01/04/2005 00:00:00, 	(06-MAR-2025 10:18:16)	 (Not Inserted)
2,1,15/11/2011 00:00:00, 	(06-MAR-2025 10:18:16)	 (Not Inserted)
2,1,26/11/2019 00:00:00, 	(06-MAR-2025 10:18:16)	 (Not Inserted)
2,1,16/12/2020 00:00:00, 	(06-MAR-2025 10:18:16)	 (Not Inserted)
2,2,01/04/2005 00:00:00, 	(06-MAR-2025 10:18:16)	 (Not Inserted)
2,2,15/11/2011 00:00:00, 	(06-MAR-2025 10:18:16)	 (Not Inserted)
2,2,26/11/2019 00:00:00, 	(06-MAR-2025 10:18:16)	 (Not Inserted)
2,2,16/12/2020 00:00:00, 	(06-MAR-2025 10:18:16)	 (Not Inserted)

TOTAL DATA IN EXCEL : ,8,, 	(06-MAR-2025 10:18:16)
 

TOTAL DATA INSERTED : ,0,, 	(06-MAR-2025 10:18:16)
 

TOTAL SKIPPED DATA ,8,, 	(06-MAR-2025 10:18:16)
 
<<END>>,<<FMS_TANK_MST>>,, 	(06-MAR-2025 10:18:16)
 

<<START>>,<<FMS_TANK_CONSUMPTION_MST>>, 	(06-MAR-2025 10:18:16)
 
COMPANY_CD,EFF_DT,TIMESTAMP,
2,01/01/2005 00:00:00, 	(06-MAR-2025 10:18:16)
2,20/04/2011 00:00:00, 	(06-MAR-2025 10:18:16)
2,30/12/2019 00:00:00, 	(06-MAR-2025 10:18:16)
2,25/11/2019 00:00:00, 	(06-MAR-2025 10:18:16)
2,01/01/2019 00:00:00, 	(06-MAR-2025 10:18:16)
2,01/12/2018 00:00:00, 	(06-MAR-2025 10:18:16)
2,26/12/2024 00:00:00, 	(06-MAR-2025 10:18:16)

TOTAL DATA IN EXCEL : ,7,, 	(06-MAR-2025 10:18:16)
 

TOTAL DATA INSERTED : ,7,, 	(06-MAR-2025 10:18:16)
 

TOTAL SKIPPED DATA ,0,, 	(06-MAR-2025 10:18:16)
 
<<END>>,<<FMS_TANK_CONSUMPTION_MST>>, 	(06-MAR-2025 10:18:16)
 
