

<<START>>,<<FMS_ENTITY_CONTACT_MST>>,,,,,, 	(18-MAR-2025 14:19:43)
 
COMPANY_CD,CD,ABBR,ENTITY,SEQ_NO,EFF_DT,ADDR_FLAG,TIMESTAMP
2,1 , RIL , C , 1 , 14/09/2008 00:00:00 , R, 	(18-MAR-2025 14:19:43)
2,1 , RIL , C , 2 , 01/07/2021 00:00:00 , P5, 	(18-MAR-2025 14:19:43)
2,1 , RIL , C , 3 , 31/01/2018 00:00:00 , B, 	(18-MAR-2025 14:19:43)
2,1 , RIL , C , 4 , 01/07/2021 00:00:00 , P5, 	(18-MAR-2025 14:19:43)
2,1 , RIL , C , 5 , 01/01/2020 00:00:00 , P4, 	(18-MAR-2025 14:19:43)
2,1 , RIL , C , 5 , 01/01/2020 00:00:00 , B, 	(18-MAR-2025 14:19:43)
2,1 , RIL , C , 6 , 14/09/2008 00:00:00 , R, 	(18-MAR-2025 14:19:43)
2,1 , RIL , C , 7 , 31/01/2018 00:00:00 , P8, 	(18-MAR-2025 14:19:43)
2,1 , RIL , C , 8 , 14/09/2008 00:00:00 , P8, 	(18-MAR-2025 14:19:43)
2,1 , RIL , C , 9 , 10/02/2012 00:00:00 , P2, 	(18-MAR-2025 14:19:43)
2,1 , RIL , C , 9 , 10/02/2012 00:00:00 , R, 	(18-MAR-2025 14:19:43)
2,1 , RIL , C , 10 , 01/01/2020 00:00:00 , P15, 	(18-MAR-2025 14:19:43)
2,1 , RIL , C , 11 , 14/09/2008 00:00:00 , P4, 	(18-MAR-2025 14:19:43)
2,1 , RIL , C , 12 , 31/01/2018 00:00:00 , P2, 	(18-MAR-2025 14:19:43)
2,1 , RIL , C , 13 , 31/01/2018 00:00:00 , B, 	(18-MAR-2025 14:19:43)
2,1 , RIL , C , 14 , 14/09/2008 00:00:00 , R, 	(18-MAR-2025 14:19:43)
2,1 , RIL , C , 15 , 31/01/2018 00:00:00 , P3, 	(18-MAR-2025 14:19:43)
2,1 , RIL , C , 15 , 31/01/2018 00:00:00 , P6, 	(18-MAR-2025 14:19:43)
2,1 , RIL , C , 15 , 31/01/2018 00:00:00 , P10, 	(18-MAR-2025 14:19:43)
2,1 , RIL , C , 15 , 31/01/2018 00:00:00 , P11, 	(18-MAR-2025 14:19:43)
2,1 , RIL , C , 15 , 31/01/2018 00:00:00 , P7, 	(18-MAR-2025 14:19:43)
2,1 , RIL , C , 15 , 31/01/2018 00:00:00 , B, 	(18-MAR-2025 14:19:43)
2,1 , RIL , C , 16 , 14/09/2008 00:00:00 , P5, 	(18-MAR-2025 14:19:43)
2,1 , RIL , C , 17 , 01/01/2020 00:00:00 , P15, 	(18-MAR-2025 14:19:43)
2,1 , RIL , C , 18 , 01/07/2021 00:00:00 , P5, 	(18-MAR-2025 14:19:43)
2,1 , RIL , C , 19 , 01/01/2020 00:00:00 , P9, 	(18-MAR-2025 14:19:43)
2,1 , RIL , C , 20 , 14/09/2008 00:00:00 , R, 	(18-MAR-2025 14:19:43)
2,1 , RIL , C , 21 , 31/01/2018 00:00:00 , P14, 	(18-MAR-2025 14:19:43)
2,1 , RIL , C , 21 , 31/01/2018 00:00:00 , P13, 	(18-MAR-2025 14:19:43)
2,1 , RIL , C , 21 , 31/01/2018 00:00:00 , B, 	(18-MAR-2025 14:19:43)
