

<<START>>,<<FMS_METER_MST>>,,,,, 	(18-FEB-2025 11:33:16)
 
COMPANY_CD,CD,ABBR,PLANT_SEQ,METER_TYPE,METER_SEQ,TIMESTAMP
2 , , PIL-Haz , 1 , R , 1, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 , , PIL-Haz , 1 , R , 2, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 , , PIL-Haz , 2 , R , 1, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 , , PIL-Haz , 2 , R , 2, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 ,45 , GSPL , 1 , R , 1, 	(18-FEB-2025 11:33:16)
2 ,45 , GSPL , 2 , R , 1, 	(18-FEB-2025 11:33:16)
2 ,45 , GSPL , 3 , R , 1, 	(18-FEB-2025 11:33:16)
2 ,45 , GSPL , 4 , R , 1, 	(18-FEB-2025 11:33:16)
2 ,45 , GSPL , 4 , R , 2, 	(18-FEB-2025 11:33:16)
2 , , GAIL-Haz , 1 , R , 1, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 , , GAIL-Haz , 2 , R , 1, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 , , GAIL-Haz , 3 , R , 1, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 , , PLLD , 1 , R , 1, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 , , PLLD , 1 , R , 2, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 , , PLLD , 2 , R , 1, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 , , PLLD , 2 , R , 2, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 , , D6Gadimoga , 1 , R , 1, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 , , PANKGA , 1 , R , 1, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 , , PANKGA , 2 , R , 1, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 , , PANKGA , 3 , R , 1, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 , , PMSKGA , 1 , R , 1, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 , , PMSKGA , 2 , R , 1, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 , , PMSKGA , 3 , R , 1, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 , , PBHDGS , 1 , R , 1, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 , , PBHDGS , 2 , R , 1, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 , , PBHDGS , 3 , R , 1, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 , , PURCHASE-T , 1 , R , 1, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 , , PURCHASE-T , 2 , R , 1, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 , , PARK-ANK , 1 , R , 1, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 , , PARK-ANK , 2 , R , 1, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 , , PHUCBM , 1 , R , 1, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 , , PHUCBM , 2 , R , 1, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 , , PARK-MSK , 1 , R , 1, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 , , PARK-BHD , 1 , R , 1, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 , , PARKPHUCBM , 1 , R , 1, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 , , PMSKP , 1 , R , 1, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 ,4 , Gail , 1 , R , 1, 	(18-FEB-2025 11:33:16)
2 ,4 , Gail , 1 , R , 2, 	(18-FEB-2025 11:33:16)
