

<<START>>,<<FMS_SECTOR_MST>>, 	(04-APR-2025 11:19:29)
 
ABBR,,TIMESTAMP
RESELLERS,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
ELLECTRICAL/ ELECTRONICS,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
HEAVY MACHINES,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
LIGHT MACHINES,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
AIRCRAFTS,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
SHIPBUILD. & REPAIRS,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
TRUCKS&PASS VEHICALS,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
SCOOTERS ETC,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
HIGH PRESSURE VESSEL,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
MECH. MISCELLANEOUS,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
STRUCTURAL WORKS,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
IRON & STEEL PLANTS,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
IRON & STEEL REWORKS,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
ALUMINIUM,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
FOUNDRIES/CASTINGS,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
FERROUS ALLOYS,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
METAL. MISCELLANEOUS,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
CANDLE INDUSTRY,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
MATCHES,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
RUBBER TYRES & TUBES,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
PAPER PRODUCTS,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
INDU ABRASIVES,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
GLASS/CERAMICS ETC,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
PACKING MATERIALS,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
PLASTIC INDUSTRIES,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
LEATHER,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
PROCESSOR,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
TOBACCO PRODUCTS,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
INDUS. MISCELLANEOUS,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
COTTON MILLS HOSIERY,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
JUTE MILLS,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
SYN.FIBRE/RAYON MF,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
TEXTI. MISCELLANEOUS,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
PET.EXPLO&PROD,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
IRON ORE,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
COAL,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
BAUXITE,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
MANGANESE,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
STONE QUARRYING,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
MINING MISCELLANEOUS,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
POST & TELEGRAPHS,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
STATE ELEC. BOARDS,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
CATERING & HOTELS,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
UNIVERSITIES ETC,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
LAUNDRIES,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
REFINERIES,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
TPP-OIL,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
HYDEL POWER PLANTS,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
ATOMIC POWER PLANTS,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
GAS TURBINES,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
POWER MISCELLANEOUS,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
RAILWAYS,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
OTHER ROAD TRANSPORT,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
STATE ROAD TRANSPORT,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
SHIP. COASTAL,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
SHIP. INTERNATIONAL,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
INLAND WATERWAYS,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
OTHERS (PORT TRUST),, 	(04-APR-2025 11:19:29)	 (Not Inserted)
DOMESTIC DIST.,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
INDUSTRIAL DIST.,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
OWN CONSUMPTION,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
PARALLEL MARKETERS,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
TEA PLANTATION,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
RUBBER/COFFEE ETC,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
FORESTRY&TIMBER,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
AGRI.CROPS/ORCHARD,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
SUGAR MILLS,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
FLOUR MILLS ETC,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
VEG. OIL MILLS,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
FOOD PROCESSING,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
DAIRIES&MILK PROC,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
FISHERIES,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
AGRI. MISCELLANEOUS,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
DOMESTIC AIRLINES,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
FOREIGN AIRLINES,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
DAIRIES&MILK PROC,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
FERTILISER-GAS BASED,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
CAUSTIC SODA ETC.,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
HEAVY ACIDS,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
OTHER INORG.CHEM,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
PETRO-CHEM OTHERS,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
PETROCHEM -GAS BASED,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
DYES & DYE STUFFS,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
SYNTHETIC RUBBER,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
PESTI./AGRO CHEM,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
OTHER ORG.CHEMICAL,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
DRUGS&PHARMACEUTICAL,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
PAINTS ETC,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
INDU EXPLOSIVE,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
CALCINATION PLANTS,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
SOAPS ETC,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
MISC CHEM INDU,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
CEMENT/BUILD MAT,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
BITUMEN/BUILD.MAT,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
