

<<START>>,<<FMS_SECURITY_DEAL_MAP(P)>>,,,, 	(18-JUL-2025 15:11:35)
 
COMPANY_CD,CD,SEQ_NO,MAP_SEQ_NO,SEQ_REV_NO,GX,TIMESTAMP
2, 154:SEMTPL, 17, 2, 0 ,K,SEMTPL-2-1-D-22031-5,22019,D, 	(18-JUL-2025 15:11:36)
2, 154:SEMTPL, 18, 1, 0 ,K,SEMTPL-2-1-D-22031-5,22019,D, 	(18-JUL-2025 15:11:36)
2, 154:SEMTPL, 19, 1, 0 ,K,SEMTPL-5-1-D-23004-0,23004,D, 	(18-JUL-2025 15:11:36)
2, 154:SEMTPL, 20, 1, 0 ,K,SEMTPL--1-N-22030-,22018,N, 	(18-JUL-2025 15:11:36)
2, 154:SEMTPL, 21, 1, 0 ,K,SEMTPL-2-1-D-22035-5,22023,D, 	(18-JUL-2025 15:11:36)
2, 154:SEMTPL, 22, 1, 0 ,K,SEMTPL-6-1-D-23005-0,23005,D, 	(18-JUL-2025 15:11:36)
2, 154:SEMTPL, 23, 1, 0 ,K,SEMTPL-11-1-D-23014-0,23013,D, 	(18-JUL-2025 15:11:36)
2, 154:SEMTPL, 24, 1, 0 ,K,SEMTPL-2-1-D-22027-5,22015,D, 	(18-JUL-2025 15:11:36)
2, 154:SEMTPL, 25, 1, 0 ,K,SEMTPL-2-1-D-22032-5,22020,D, 	(18-JUL-2025 15:11:36)
2, 154:SEMTPL, 26, 1, 0 ,K,SEMTPL-7-1-D-23006-0,23006,D, 	(18-JUL-2025 15:11:36)
2, 154:SEMTPL, 27, 1, 0 ,K,SEMTPL-11-1-D-23014-0,23013,D, 	(18-JUL-2025 15:11:36)
2, 154:SEMTPL, 28, 1, 0 ,K,SEMTPL-1-1-D-22026-0,22014,D, 	(18-JUL-2025 15:11:36)
2, 154:SEMTPL, 29, 1, 0 ,K,SEMTPL-8-1-D-23008-3,23008,D, 	(18-JUL-2025 15:11:36)
2, 154:SEMTPL, 30, 1, 0 ,K,SEMTPL-9-1-D-23009-0,23009,D, 	(18-JUL-2025 15:11:36)
2, 154:SEMTPL, 31, 1, 0 ,K,SEMTPL-10-1-D-23021-1,23019,D, 	(18-JUL-2025 15:11:36)
2, 154:SEMTPL, 32, 1, 0 ,K,SEMTPL-10-1-D-23021-1,23019,D, 	(18-JUL-2025 15:11:36)
2, 278:SEMTEXP, 1, 5, 0 ,K,SEMTEXP-0-1-D-23026-0,23024,D, 	(18-JUL-2025 15:11:36)
2, 278:SEMTEXP, 2, 5, 0 ,K,SEMTEXP-0-1-D-23022-0,23020,D, 	(18-JUL-2025 15:11:36)
2, 278:SEMTEXP, 3, 5, 0 ,K,SEMTEXP-0-1-D-23023-0,23021,D, 	(18-JUL-2025 15:11:36)
