

<<START>>,<<FMS_DERV_INV_FILE_DTL_UPDATE>>, 	(23-SEP-2025 10:23:18)
 
COMPANY_CD,BU_STATE_TIN,INVOICE_SEQ,INV_TYPE,FINANCIAL_YEAR,PDF_TYPE,FILE_NAME,TIMESTAMP
2,24,54,I,2024-2025,O,DERIVATIVE_INVOICE-15012025-SILS-NA-H-16-O.pdf ,  	(23-SEP-2025 10:23:18)
2,24,10,I,2024-2025,O,DERIVATIVE_INVOICE-15012025-SPSSETL1-SINGAPORE-H-17-O.pdf ,  	(23-SEP-2025 10:23:18)
2,24,31,I,2024-2025,O,DERIVATIVE_INVOICE-03012025-SIETCO-SINGAPORE-H-15-O.pdf ,  	(23-SEP-2025 10:23:18)

TOTAL DATA IN EXCEL : ,44, 	(23-SEP-2025 10:23:18)
 

TOTAL DATA INSERTED : ,3, 	(23-SEP-2025 10:23:18)
 

TOTAL SKIPPED DATA ,0, 	(23-SEP-2025 10:23:18)
 
<<END>>,<<FMS_DERV_INV_FILE_DTL_UPDATE>>, 	(23-SEP-2025 10:23:18)
 
