

<<START>>,<<FMS_SECURITY_DEAL_MAP(P)>>,,,, 	(18-JUL-2025 16:40:54)
2, 154:SEMTPL, 17, 1, 0 ,K,SEMTPL-2-1-D-22031-5,22019,D, 	(18-JUL-2025 16:40:55)
2, 154:SEMTPL, 18, 1, 0 ,K,SEMTPL-2-1-D-22031-5,22019,D, 	(18-JUL-2025 16:40:55)
2, 154:SEMTPL, 19, 1, 0 ,K,SEMTPL-5-1-D-23004-0,23004,D, 	(18-JUL-2025 16:40:55)
2, 154:SEMTPL, 20, 1, 0 ,K,SEMTPL--1-N-22030-,22018,N, 	(18-JUL-2025 16:40:55)
2, 154:SEMTPL, 21, 1, 0 ,K,SEMTPL-2-1-D-22035-5,22023,D, 	(18-JUL-2025 16:40:55)
2, 154:SEMTPL, 22, 1, 0 ,K,SEMTPL-6-1-D-23005-0,23005,D, 	(18-JUL-2025 16:40:55)
2, 154:SEMTPL, 23, 1, 0 ,K,SEMTPL-11-1-D-23014-0,23013,D, 	(18-JUL-2025 16:40:55)
2, 154:SEMTPL, 24, 1, 0 ,K,SEMTPL-2-1-D-22027-5,22015,D, 	(18-JUL-2025 16:40:55)
2, 154:SEMTPL, 25, 1, 0 ,K,SEMTPL-2-1-D-22032-5,22020,D, 	(18-JUL-2025 16:40:55)
2, 154:SEMTPL, 26, 1, 0 ,K,SEMTPL-7-1-D-23006-0,23006,D, 	(18-JUL-2025 16:40:55)
2, 154:SEMTPL, 27, 1, 0 ,K,SEMTPL-11-1-D-23014-0,23013,D, 	(18-JUL-2025 16:40:55)
2, 154:SEMTPL, 28, 1, 0 ,K,SEMTPL-1-1-D-22026-0,22014,D, 	(18-JUL-2025 16:40:55)
2, 154:SEMTPL, 29, 1, 0 ,K,SEMTPL-8-1-D-23008-3,23008,D, 	(18-JUL-2025 16:40:55)
2, 154:SEMTPL, 30, 1, 0 ,K,SEMTPL-9-1-D-23009-0,23009,D, 	(18-JUL-2025 16:40:55)
2, 154:SEMTPL, 31, 1, 0 ,K,SEMTPL-10-1-D-23021-1,23019,D, 	(18-JUL-2025 16:40:55)
2, 154:SEMTPL, 32, 1, 0 ,K,SEMTPL-10-1-D-23021-1,23019,D, 	(18-JUL-2025 16:40:55)
2, 278:SEMTEXP, 1, 1, 0 ,K,SEMTEXP-0-1-D-23026-0,23024,D, 	(18-JUL-2025 16:40:55)
2, 278:SEMTEXP, 2, 1, 0 ,K,SEMTEXP-0-1-D-23022-0,23020,D, 	(18-JUL-2025 16:40:55)
2, 278:SEMTEXP, 3, 1, 0 ,K,SEMTEXP-0-1-D-23023-0,23021,D, 	(18-JUL-2025 16:40:55)
2, 278:SEMTEXP, 4, 1, 0 ,K,SEMTEXP-0-1-T-23039-0,23036,T, 	(18-JUL-2025 16:40:55)
2, 278:SEMTEXP, 5, 1, 0 ,K,SEMTEXP-0-1-D-23026-0,23024,D, 	(18-JUL-2025 16:40:55)
2, 278:SEMTEXP, 6, 1, 0 ,K,SEMTEXP-0-1-D-23029-0,23027,D, 	(18-JUL-2025 16:40:55)
2, 116:SELNG, 1, 1, 0 ,K,SELNG--1-N-22024-,22013,N, 	(18-JUL-2025 16:40:55)
2, 116:SELNG, 2, 1, 0 ,K,SELNG--1-N-22024-,22013,N, 	(18-JUL-2025 16:40:55)
2, 116:SELNG, 3, 1, 0 ,K,SELNG--1-N-21063-,21023,N, 	(18-JUL-2025 16:40:55)
2, 116:SELNG, 4, 1, 0 ,K,SELNG--1-N-22013-,22002,N, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 60, 1, 0 ,K,RIL-2-1-D-23012-21,23012,D, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 61, 1, 0 ,K,RIL-3-2-D-23020-13,23018,D, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 62, 1, 0 ,K,RIL-3-1-D-23019-13,23018,D, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 63, 1, 0 ,K,RIL-4-1-D-23038-4,23035,D, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 64, 1, 0 ,K,RIL-2-2-D-23013-21,23012,D, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 65, 1, 0 ,K,RIL-5-1-D-24014-1,24012,D, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 66, 1, 0 ,K,RIL-0-4-D-22004-0,22001,D, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 67, 1, 0 ,K,RIL-0-5-D-22005-0,22001,D, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 68, 1, 0 ,K,RIL-0-6-D-22006-0,22001,D, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 69, 1, 0 ,K,RIL-0-7-D-22007-0,22001,D, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 70, 1, 0 ,K,RIL-1-8-D-22008-0,22001,D, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 71, 1, 0 ,K,RIL-1-9-D-22009-0,22001,D, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 72, 1, 0 ,K,RIL-0-3-D-22003-0,22001,D, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 73, 1, 0 ,K,RIL-0-2-D-22002-0,22001,D, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 74, 1, 0 ,K,RIL-0-1-D-22001-0,22001,D, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 75, 1, 0 ,K,RIL-1-12-D-22012-0,22001,D, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 76, 1, 0 ,K,RIL-1-11-D-22011-0,22001,D, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 77, 1, 0 ,K,RIL-1-10-D-22010-0,22001,D, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 78, 1, 0 ,K,RIL-1-9-D-22009-0,22001,D, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 79, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 80, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 81, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 82, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 83, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 84, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 85, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 86, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 87, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 88, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 89, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 90, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 91, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 92, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 93, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 94, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 95, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 96, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 97, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 98, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 99, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 100, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 101, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 102, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 103, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 104, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 105, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 106, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 107, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 1:RIL, 108, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 1:IGX, 109, 1, 0 ,K,IGX:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 1:IGX, 110, 1, 0 ,K,IGX:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 1:IGX, 111, 1, 0 ,K,IGX:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 1:IGX, 112, 1, 0 ,K,IGX:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 1:IGX, 113, 1, 0 ,K,IGX:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 1:IGX, 114, 1, 0 ,K,IGX:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 1:IGX, 115, 1, 0 ,K,IGX:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 1:IGX, 116, 1, 0 ,K,IGX:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 1:IGX, 117, 1, 0 ,K,IGX:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 1:IGX, 118, 1, 0 ,K,IGX:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 53:RGPL, 2, 1, 0 ,K,RGPL:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 42:RCF, 2, 1, 0 ,K,RCF:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 29:PipeInfra, 16, 1, 0 ,K,PipeInfra:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 29:PipeInfra, 17, 1, 0 ,K,PipeInfra:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 29:PipeInfra, 18, 1, 0 ,K,PipeInfra:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 29:PipeInfra, 19, 1, 0 ,K,PipeInfra:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 29:PipeInfra, 20, 1, 0 ,K,PipeInfra:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 29:PipeInfra, 21, 1, 0 ,K,PipeInfra:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 29:PipeInfra, 22, 1, 0 ,K,PipeInfra:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 29:PipeInfra, 23, 1, 0 ,K,PipeInfra:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 29:PipeInfra, 24, 1, 0 ,K,PipeInfra:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 29:PipeInfra, 25, 1, 0 ,K,PipeInfra:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 29:PipeInfra, 26, 1, 0 ,K,PipeInfra:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 29:PipeInfra, 27, 1, 0 ,K,PipeInfra:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 29:PipeInfra, 28, 1, 0 ,K,PipeInfra:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 29:PipeInfra, 29, 1, 0 ,K,PipeInfra:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 29:PipeInfra, 30, 1, 0 ,K,PipeInfra:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 57:PPL, 2, 1, 0 ,K,PPL:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 41:OPAL, 3, 1, 0 ,K,OPAL:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 41:OPAL, 4, 1, 0 ,K,OPAL:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 51:ONGC, 9, 1, 0 ,K,ONGC:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 51:ONGC, 10, 1, 0 ,K,ONGC:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 51:ONGC, 11, 1, 0 ,K,ONGC:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 51:ONGC, 12, 1, 0 ,K,ONGC:0,22001,0, 	(18-JUL-2025 16:40:55)
2, 51:ONGC, 13, 1, 0 ,K,ONGC-3-1-D-23001-0,23001,D, 	(18-JUL-2025 16:40:55)
2, 51:ONGC, 14, 1, 0 ,K,ONGC-0-1-D-22015-0,22004,D, 	(18-JUL-2025 16:40:55)
2, 51:ONGC, 15, 1, 0 ,K,ONGC-1-1-D-23018-0,23017,D, 	(18-JUL-2025 16:40:55)
2, 51:ONGC, 16, 1, 0 ,K,ONGC:0,23017,0, 	(18-JUL-2025 16:40:55)
2, 30:NFL, 3, 1, 0 ,K,NFL:0,23017,0, 	(18-JUL-2025 16:40:55)
2, 30:NFL, 4, 1, 0 ,K,NFL:0,23017,0, 	(18-JUL-2025 16:40:55)
2, 92:NEL, 3, 1, 0 ,K,NEL:0,23017,0, 	(18-JUL-2025 16:40:55)
2, 92:NEL, 4, 1, 0 ,K,NEL:0,23017,0, 	(18-JUL-2025 16:40:55)
2, 34:MINDA, 103, 1, 0 ,K,MINDA:0,23017,0, 	(18-JUL-2025 16:40:55)
2, 2:MGL, 3, 1, 0 ,K,MGL:null,23017,0, 	(18-JUL-2025 16:40:55)
2, 2:MGL, 4, 1, 0 ,K,MGL:0,23017,0, 	(18-JUL-2025 16:40:55)
2, 6:KRIBHCO, 4, 1, 0 ,K,KRIBHCO:0,23017,0, 	(18-JUL-2025 16:40:55)
2, 6:KRIBHCO, 5, 1, 0 ,K,KRIBHCO:0,23017,0, 	(18-JUL-2025 16:40:55)
2, 6:KRIBHCO, 6, 1, 0 ,K,KRIBHCO:0,23017,0, 	(18-JUL-2025 16:40:55)
2, 32:KFL, 3, 1, 0 ,K,KFL:null,23017,0, 	(18-JUL-2025 16:40:55)
2, 32:KFL, 4, 1, 0 ,K,KFL:0,23017,0, 	(18-JUL-2025 16:40:55)
2, 64:IGSPL, 1, 1, 0 ,K,IGSPL-1-1-D-23030-2,23028,D, 	(18-JUL-2025 16:40:55)
2, 13:IGL, 4, 1, 0 ,K,IGL:0,23028,0, 	(18-JUL-2025 16:40:55)
2, 13:IGL, 5, 1, 0 ,K,IGL:0,23028,0, 	(18-JUL-2025 16:40:55)
2, 13:IGL, 6, 1, 0 ,K,IGL:null,23028,0, 	(18-JUL-2025 16:40:55)
2, 27:IFFCO, 8, 1, 0 ,K,IFFCO:0,23028,0, 	(18-JUL-2025 16:40:55)
2, 27:IFFCO, 9, 1, 0 ,K,IFFCO:0,23028,0, 	(18-JUL-2025 16:40:55)
2, 27:IFFCO, 10, 1, 0 ,K,IFFCO:0,23028,0, 	(18-JUL-2025 16:40:55)
2, 27:IFFCO, 11, 1, 0 ,K,IFFCO:0,23028,0, 	(18-JUL-2025 16:40:55)
2, 27:IFFCO, 12, 1, 0 ,K,IFFCO:null,23028,0, 	(18-JUL-2025 16:40:55)
2, 27:IFFCO, 13, 1, 0 ,K,IFFCO:null,23028,0, 	(18-JUL-2025 16:40:55)
2, 27:IFFCO, 14, 1, 0 ,K,IFFCO:null,23028,0, 	(18-JUL-2025 16:40:55)
2, 107:IDOINVA, 4, 1, 0 ,K,IDOINVA:0,23028,0, 	(18-JUL-2025 16:40:55)
2, 107:IDOINVA, 5, 1, 0 ,K,IDOINVA:0,23028,0, 	(18-JUL-2025 16:40:55)
2, 107:IDOINVA, 6, 1, 0 ,K,IDOINVA:0,23028,0, 	(18-JUL-2025 16:40:55)
2, 31:HSIL, 3, 1, 0 ,K,HSIL:0,23028,0, 	(18-JUL-2025 16:40:55)
2, 31:HSIL, 4, 1, 0 ,K,HSIL:0,23028,0, 	(18-JUL-2025 16:40:55)
2, 15:HPCL, 3, 1, 0 ,K,HPCL:0,23028,0, 	(18-JUL-2025 16:40:55)
2, 15:HPCL, 4, 1, 0 ,K,HPCL:0,23028,0, 	(18-JUL-2025 16:40:55)
2, 15:HPCL, 5, 1, 0 ,K,HPCL-0-1-D-22014-0,22003,D, 	(18-JUL-2025 16:40:55)
2, 15:HPCL, 6, 1, 0 ,K,HPCL-0-1-D-22020-0,22009,D, 	(18-JUL-2025 16:40:55)
2, 15:HPCL, 7, 1, 0 ,K,HPCL-0-1-D-22020-0,22009,D, 	(18-JUL-2025 16:40:55)
2, 15:HPCL, 8, 1, 0 ,K,HPCL--1-N-22019-,22008,N, 	(18-JUL-2025 16:40:55)
2, 15:HPCL, 9, 1, 0 ,K,HPCL-0-1-D-22017-0,22006,D, 	(18-JUL-2025 16:40:55)
2, 15:HPCL, 10, 1, 0 ,K,HPCL-0-1-D-22018-0,22007,D, 	(18-JUL-2025 16:40:55)
2, 15:HPCL, 11, 1, 0 ,K,HPCL-1-1-D-22021-0,22010,D, 	(18-JUL-2025 16:40:55)
2, 15:HPCL, 12, 1, 0 ,K,HPCL--1-N-22019-,22008,N, 	(18-JUL-2025 16:40:55)
2, 81:HOECLTD, 3, 1, 0 ,K,HOECLTD:0,22008,0, 	(18-JUL-2025 16:40:55)
2, 81:HOECLTD, 4, 1, 0 ,K,HOECLTD:0,22008,0, 	(18-JUL-2025 16:40:55)
2, 37:HCGD-B, 4, 1, 0 ,K,HCGD-B:0,22008,0, 	(18-JUL-2025 16:40:55)
2, 37:HCGD-B, 5, 1, 0 ,K,HCGD-B:0,22008,0, 	(18-JUL-2025 16:40:55)
2, 37:HCGD-B, 6, 1, 0 ,K,HCGD-B:0,22008,0, 	(18-JUL-2025 16:40:55)
2, 24:HCG, 2, 1, 0 ,K,HCG:0,22008,0, 	(18-JUL-2025 16:40:55)
2, 4:Gail, 26, 1, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 16:40:55)
2, 4:Gail, 27, 1, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 16:40:55)
2, 4:Gail, 28, 1, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 16:40:55)
2, 4:Gail, 29, 1, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 16:40:55)
2, 4:Gail, 30, 1, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 16:40:55)
2, 4:Gail, 31, 1, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 16:40:55)
2, 4:Gail, 32, 1, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 16:40:55)
2, 4:Gail, 33, 1, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 16:40:55)
2, 4:Gail, 34, 1, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 16:40:55)
2, 4:Gail, 35, 1, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 16:40:55)
2, 4:Gail, 36, 1, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 16:40:55)
2, 4:Gail, 37, 1, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 16:40:55)
2, 4:Gail, 38, 1, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 16:40:55)
2, 4:Gail, 39, 1, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 16:40:55)
2, 4:Gail, 40, 1, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 16:40:55)
2, 4:Gail, 41, 1, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 16:40:55)
2, 4:Gail, 42, 1, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 16:40:55)
2, 4:Gail, 43, 1, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 16:40:55)
2, 4:Gail, 44, 1, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 16:40:55)
2, 4:Gail, 45, 1, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 16:40:55)
2, 4:Gail, 46, 1, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 16:40:55)
2, 4:Gail, 47, 1, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 16:40:55)
2, 4:Gail, 48, 1, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 16:40:55)
2, 4:Gail, 49, 1, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 16:40:55)
2, 4:Gail, 50, 1, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 16:40:55)
2, 45:GSPL, 5, 1, 0 ,K,GSPL:0,22008,0, 	(18-JUL-2025 16:40:55)
2, 45:GSPL, 6, 1, 0 ,K,GSPL:0,22008,0, 	(18-JUL-2025 16:40:55)
2, 45:GSPL, 7, 1, 0 ,K,GSPL:0,22008,0, 	(18-JUL-2025 16:40:55)
2, 45:GSPL, 8, 1, 0 ,K,GSPL:0,22008,0, 	(18-JUL-2025 16:40:55)
