

<<START>>,<<FMS_ENTITY_REQ_DTL>>,,, 	(17-FEB-2025 15:33:54)
 
COMPANY_CD,CD,ABBR,SEQ,TIMESTAMP
2 ,1 , RIL , 1, 	(17-FEB-2025 15:33:54)
2 ,2 , MGL , 1, 	(17-FEB-2025 15:33:54)
2 ,3 , GSPCL , 1, 	(17-FEB-2025 15:33:54)
2 ,4 , Gail , 1, 	(17-FEB-2025 15:33:54)
2 ,4 , Gail , 2, 	(17-FEB-2025 15:33:54)
2 ,  , BPL , 1, 	(17-FEB-2025 15:33:54)	 (Not Inserted)
2 ,  , EPL , 1, 	(17-FEB-2025 15:33:54)	 (Not Inserted)
2 ,217 , ESL , 1, 	(17-FEB-2025 15:33:54)
2 ,5 , NTPC , 1, 	(17-FEB-2025 15:33:54)
2 ,6 , KRIBHCO , 1, 	(17-FEB-2025 15:33:54)
2 ,7 , DFPCL , 1, 	(17-FEB-2025 15:33:54)
2 ,8 , AIGL , 1, 	(17-FEB-2025 15:33:54)
2 ,218 , ESEZ , 1, 	(17-FEB-2025 15:33:54)
2 ,  , KSFL , 1, 	(17-FEB-2025 15:33:54)	 (Not Inserted)
2 ,242 , MAHAGENCO , 1, 	(17-FEB-2025 15:33:54)
2 ,249 , NPL , 1, 	(17-FEB-2025 15:33:54)
2 ,9 , SIGIL , 1, 	(17-FEB-2025 15:33:54)
2 ,225 , VIL , 1, 	(17-FEB-2025 15:33:54)
2 ,  , VSIL , 1, 	(17-FEB-2025 15:33:54)	 (Not Inserted)
2 ,10 , GGCL , 1, 	(17-FEB-2025 15:33:54)
2 ,11 , TPL , 1, 	(17-FEB-2025 15:33:54)
2 ,280 , WMSL , 1, 	(17-FEB-2025 15:33:54)
2 ,12 , MNGL , 1, 	(17-FEB-2025 15:33:54)
2 ,13 , IGL , 1, 	(17-FEB-2025 15:33:54)
2 ,14 , BPCL , 1, 	(17-FEB-2025 15:33:54)
2 ,14 , BPCL , 2, 	(17-FEB-2025 15:33:54)
2 ,269 , TEL , 1, 	(17-FEB-2025 15:33:54)
2 ,15 , HPCL , 1, 	(17-FEB-2025 15:33:54)
2 ,15 , HPCL , 2, 	(17-FEB-2025 15:33:54)
2 ,16 , JSW , 1, 	(17-FEB-2025 15:33:54)
2 ,17 , BGL , 1, 	(17-FEB-2025 15:33:54)
2 ,18 , GSFC , 1, 	(17-FEB-2025 15:33:54)
2 ,228 , H-Energy , 1, 	(17-FEB-2025 15:33:54)
2 ,160 , SIMPL , 1, 	(17-FEB-2025 15:33:54)
2 ,19 , ATGL , 1, 	(17-FEB-2025 15:33:54)
2 ,20 , AMNS , 1, 	(17-FEB-2025 15:33:54)
2 ,20 , AMNS , 2, 	(17-FEB-2025 15:33:54)
2 ,154 , SEMTIPL , 1, 	(17-FEB-2025 15:33:54)
2 ,154 , SEMTIPL , 2, 	(17-FEB-2025 15:33:54)
2 ,21 , SGIPL , 1, 	(17-FEB-2025 15:33:54)
2 ,22 , VGL , 1, 	(17-FEB-2025 15:33:54)
2 ,23 , PGPGPL , 1, 	(17-FEB-2025 15:33:54)
2 ,24 , HCG , 1, 	(17-FEB-2025 15:33:54)
2 ,25 , GGL , 1, 	(17-FEB-2025 15:33:54)
2 ,26 , CFC , 1, 	(17-FEB-2025 15:33:54)
2 ,27 , IFFCO , 1, 	(17-FEB-2025 15:33:54)
2 ,28 , HGL-RLNG , 1, 	(17-FEB-2025 15:33:54)
2 ,29 , PipeInfra , 1, 	(17-FEB-2025 15:33:54)
2 ,29 , PipeInfra , 2, 	(17-FEB-2025 15:33:54)
2 ,  , NFL-Nangal , 1, 	(17-FEB-2025 15:33:54)	 (Not Inserted)
2 ,31 , HSIL , 1, 	(17-FEB-2025 15:33:55)
2 ,  , VVF , 1, 	(17-FEB-2025 15:33:55)	 (Not Inserted)
2 ,32 , KFL , 1, 	(17-FEB-2025 15:33:55)
2 ,197 , BIL , 1, 	(17-FEB-2025 15:33:55)
2 ,254 , RIPL , 1, 	(17-FEB-2025 15:33:55)
2 ,207 , CP , 1, 	(17-FEB-2025 15:33:55)
2 ,  , HHFG DLNG , 1, 	(17-FEB-2025 15:33:55)	 (Not Inserted)
2 ,  , VWPL , 1, 	(17-FEB-2025 15:33:55)	 (Not Inserted)
2 ,33 , AGP CGD , 1, 	(17-FEB-2025 15:33:55)
2 ,34 , MINDA , 1, 	(17-FEB-2025 15:33:55)
2 ,238 , LEIPL , 1, 	(17-FEB-2025 15:33:55)
2 ,35 , SCHOTT , 1, 	(17-FEB-2025 15:33:55)
2 ,36 , HIL , 1, 	(17-FEB-2025 15:33:55)
2 ,37 , HCGD-B , 1, 	(17-FEB-2025 15:33:55)
2 ,198 , BIPL , 1, 	(17-FEB-2025 15:33:55)
2 ,220 , EXXARO , 1, 	(17-FEB-2025 15:33:55)
2 ,257 , STVPL , 1, 	(17-FEB-2025 15:33:55)
2 ,233 , JGPL , 1, 	(17-FEB-2025 15:33:55)
2 ,279 , WALLCERA , 1, 	(17-FEB-2025 15:33:55)
2 ,193 , ASTIS , 1, 	(17-FEB-2025 15:33:55)
2 ,109 , PROTON , 1, 	(17-FEB-2025 15:33:55)
2 ,192 , ANTIQUE , 1, 	(17-FEB-2025 15:33:55)
2 ,  , ACER , 1, 	(17-FEB-2025 15:33:55)	 (Not Inserted)
2 ,38 , KAJARIA , 1, 	(17-FEB-2025 15:33:55)
2 ,222 , GASGROWS , 1, 	(17-FEB-2025 15:33:55)
2 ,39 , SISECAM , 1, 	(17-FEB-2025 15:33:55)
2 ,40 , ATPL , 1, 	(17-FEB-2025 15:33:55)
2 ,41 , OPAL , 1, 	(17-FEB-2025 15:33:55)
2 ,234 , JKPAPER , 1, 	(17-FEB-2025 15:33:55)
2 ,263 , STL , 1, 	(17-FEB-2025 15:33:55)
2 ,273 , UEPL , 1, 	(17-FEB-2025 15:33:55)
2 ,206 , CELLO , 1, 	(17-FEB-2025 15:33:55)
2 ,204 , CALDERYS , 1, 	(17-FEB-2025 15:33:55)
2 ,42 , RCF , 1, 	(17-FEB-2025 15:33:55)
2 ,201 , BWRL , 1, 	(17-FEB-2025 15:33:55)
2 ,235 , KRYO , 1, 	(17-FEB-2025 15:33:55)
2 ,276 , VIRGO , 1, 	(17-FEB-2025 15:33:55)
2 ,196 , BLPL , 1, 	(17-FEB-2025 15:33:55)
2 ,223 , GIPSKARTON , 1, 	(17-FEB-2025 15:33:55)
2 ,270 , TGPL , 1, 	(17-FEB-2025 15:33:55)
2 ,116 , SELNG , 1, 	(17-FEB-2025 15:33:55)
2 ,256 , SITME , 1, 	(17-FEB-2025 15:33:55)
2 ,  , DT , 1, 	(17-FEB-2025 15:33:55)	 (Not Inserted)
2 ,268 , ThirdParty , 1, 	(17-FEB-2025 15:33:55)
2 ,  , Gunvor  , 1, 	(17-FEB-2025 15:33:55)	 (Not Inserted)
2 ,1 , RIL , 2, 	(17-FEB-2025 15:33:55)
2 ,  , BP  , 1, 	(17-FEB-2025 15:33:55)	 (Not Inserted)
2 ,  , AMNS-T , 1, 	(17-FEB-2025 15:33:55)	 (Not Inserted)
2 , 1 , RIL , 2, 	(17-FEB-2025 15:33:55)	 (Not Inserted)
2 ,45 , GSPL , 1, 	(17-FEB-2025 15:33:55)
2 ,45 , GSPL , 2, 	(17-FEB-2025 15:33:55)
2 ,46 , TGLPL , 1, 	(17-FEB-2025 15:33:55)
2 ,47 , TGBPL , 1, 	(17-FEB-2025 15:33:55)
2 ,48 , BGEPL , 1, 	(17-FEB-2025 15:33:55)
2 ,231 , IMCL , 1, 	(17-FEB-2025 15:33:55)
2 ,49 , VVF India , 1, 	(17-FEB-2025 15:33:55)
2 ,50 , GNFC , 1, 	(17-FEB-2025 15:33:55)
2 ,  , MEIL , 1, 	(17-FEB-2025 15:33:55)	 (Not Inserted)
2 ,51 , ONGC , 1, 	(17-FEB-2025 15:33:55)
2 ,52 , GLIL , 1, 	(17-FEB-2025 15:33:55)
2 ,272 , UGEL , 1, 	(17-FEB-2025 15:33:55)
2 ,255 , SGI-AP , 1, 	(17-FEB-2025 15:33:55)
2 ,  , IGX , 1, 	(17-FEB-2025 15:33:55)	 (Not Inserted)
2 ,53 , RGPL , 1, 	(17-FEB-2025 15:33:55)
2 ,53 , RGPL , 2, 	(17-FEB-2025 15:33:55)
2 ,224 , GTIPL , 1, 	(17-FEB-2025 15:33:55)
2 ,  , GSPL-C , 1, 	(17-FEB-2025 15:33:55)	 (Not Inserted)
2 ,117 , PEPL , 1, 	(17-FEB-2025 15:33:55)
2 ,54 , GFCL , 1, 	(17-FEB-2025 15:33:55)
