

<<START>>,<<FMS_SUPPLY_PURCHASE_MAP_DTL>>,, 	(23-MAY-2025 15:11:08)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,CONTRACT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,PUR_CONT_NO,TIMESTAMP,
RIL,1,S,2,0,20,0,710029, 	(23-MAY-2025 15:11:08)
RIL,1,S,2,0,2,0,, 	(23-MAY-2025 15:11:08)	 (Not Inserted)
RIL,1,S,2,0,4,0,, 	(23-MAY-2025 15:11:08)	 (Not Inserted)
RIL,1,S,2,0,8,0,710093, 	(23-MAY-2025 15:11:08)
RIL,1,S,2,0,9,0,, 	(23-MAY-2025 15:11:08)	 (Not Inserted)
RIL,1,S,2,0,25,0,711006, 	(23-MAY-2025 15:11:08)
RIL,1,L,0,0,220001,0,720027, 	(23-MAY-2025 15:11:08)
RIL,1,L,0,0,220002,0,720010, 	(23-MAY-2025 15:11:08)
RIL,1,L,0,0,220003,0,720002, 	(23-MAY-2025 15:11:08)
MGL,2,S,6,0,5,0,720007, 	(23-MAY-2025 15:11:08)
MGL,2,S,6,0,8,0,823029, 	(23-MAY-2025 15:11:08)
MGL,2,S,1,0,1,0,, 	(23-MAY-2025 15:11:08)	 (Not Inserted)
MGL,2,S,1,0,1,0,, 	(23-MAY-2025 15:11:08)	 (Not Inserted)
MGL,2,S,6,2,15,0,823043, 	(23-MAY-2025 15:11:08)
MGL,2,S,6,0,4,0,720021, 	(23-MAY-2025 15:11:08)
MGL,2,S,6,2,16,0,824025, 	(23-MAY-2025 15:11:08)
MGL,2,S,6,0,2,0,719015, 	(23-MAY-2025 15:11:08)
MGL,2,S,6,0,5,0,720021, 	(23-MAY-2025 15:11:08)
MGL,2,S,6,0,8,0,823028, 	(23-MAY-2025 15:11:08)
MGL,2,S,6,0,1,1,719004, 	(23-MAY-2025 15:11:08)
MGL,2,S,6,0,3,0,720003, 	(23-MAY-2025 15:11:08)
MGL,2,S,6,2,12,0,822006, 	(23-MAY-2025 15:11:08)
MGL,2,S,1,0,1,0,710089, 	(23-MAY-2025 15:11:08)
MGL,2,S,3,0,11,1,714001, 	(23-MAY-2025 15:11:08)
MGL,2,S,6,2,14,0,824004, 	(23-MAY-2025 15:11:08)
MGL,2,S,6,2,17,0,724003, 	(23-MAY-2025 15:11:08)
MGL,2,S,6,0,3,0,720019, 	(23-MAY-2025 15:11:08)
MGL,2,S,6,0,1,0,719004, 	(23-MAY-2025 15:11:08)
MGL,2,S,1,0,3,0,, 	(23-MAY-2025 15:11:08)	 (Not Inserted)
MGL,2,S,3,0,9,0,714001, 	(23-MAY-2025 15:11:08)
MGL,2,S,6,0,2,0,720001, 	(23-MAY-2025 15:11:08)
MGL,2,S,6,2,12,0,, 	(23-MAY-2025 15:11:08)	 (Not Inserted)
MGL,2,S,1,0,1,0,710091, 	(23-MAY-2025 15:11:08)
MGL,2,S,3,0,8,0,714001, 	(23-MAY-2025 15:11:08)
MGL,2,S,3,0,10,0,714001, 	(23-MAY-2025 15:11:08)
MGL,2,S,6,0,6,0,721014, 	(23-MAY-2025 15:11:08)
MGL,2,S,6,0,1,0,719003, 	(23-MAY-2025 15:11:08)
MGL,2,S,6,2,13,0,824004, 	(23-MAY-2025 15:11:08)
MGL,2,S,1,0,1,0,710027, 	(23-MAY-2025 15:11:08)
MGL,2,S,1,0,2,0,, 	(23-MAY-2025 15:11:08)	 (Not Inserted)
MGL,2,S,3,0,11,0,714001, 	(23-MAY-2025 15:11:08)
MGL,2,S,6,2,16,0,824005, 	(23-MAY-2025 15:11:08)
MGL,2,S,6,0,10,0,823034, 	(23-MAY-2025 15:11:08)
