

<<START>>,<<FMS_SUPPLY_CONT_PLANT_CHRG>>,, 	(17-MAY-2025 17:56:51)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,CONTRACT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,TIMESTAMP,
IGL,13,S,2,0,18,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
IGL,13,S,2,0,16,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
IGL,13,S,2,0,16,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
IGL,13,S,2,0,16,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
IGL,13,S,2,0,16,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
IGL,13,S,2,0,18,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
IGL,13,S,2,0,18,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
IGL,13,S,2,0,18,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HPCL,15,S,2,0,20,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HPCL,15,S,2,0,24,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HPCL,15,S,2,0,24,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HPCL,15,S,2,0,21,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HPCL,15,S,2,0,21,1, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HPCL,15,S,2,0,21,1, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HPCL,15,S,2,0,21,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HPCL,15,S,2,0,24,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
AMNS,20,S,1,0,35,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
SEMTPL,154,S,1,0,16,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
SEMTPL,154,S,1,0,16,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
SEMTPL,154,S,1,0,21,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
SEMTPL,154,S,1,0,18,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
SEMTPL,154,S,1,0,18,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
SEMTPL,154,S,1,0,21,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
SEMTPL,154,S,1,0,21,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
SEMTPL,154,S,1,0,21,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
