

<<START>>,<<FMS_ENTITY_REQ_DTL>>,,,, 	(23-SEP-2025 11:08:06)
 
COMPANY_CD,CD,ABBR,SEQ,ENTITY,TIMESTAMP
TRUCKS&PASS VEHICALS,, 	(23-SEP-2025 11:08:31)
SCOOTERS ETC,, 	(23-SEP-2025 11:08:31)
HIGH PRESSURE VESSEL,, 	(23-SEP-2025 11:08:31)
MECH. MISCELLANEOUS,, 	(23-SEP-2025 11:08:31)
STRUCTURAL WORKS,, 	(23-SEP-2025 11:08:31)
IRON & STEEL PLANTS,, 	(23-SEP-2025 11:08:31)
IRON & STEEL REWORKS,, 	(23-SEP-2025 11:08:31)
ALUMINIUM,, 	(23-SEP-2025 11:08:31)
FOUNDRIES/CASTINGS,, 	(23-SEP-2025 11:08:31)
FERROUS ALLOYS,, 	(23-SEP-2025 11:08:31)
METAL. MISCELLANEOUS,, 	(23-SEP-2025 11:08:31)
CANDLE INDUSTRY,, 	(23-SEP-2025 11:08:31)
MATCHES,, 	(23-SEP-2025 11:08:31)
RUBBER TYRES & TUBES,, 	(23-SEP-2025 11:08:31)
PAPER PRODUCTS,, 	(23-SEP-2025 11:08:31)
INDU ABRASIVES,, 	(23-SEP-2025 11:08:31)
GLASS/CERAMICS ETC,, 	(23-SEP-2025 11:08:31)
PACKING MATERIALS,, 	(23-SEP-2025 11:08:31)
PLASTIC INDUSTRIES,, 	(23-SEP-2025 11:08:31)
LEATHER,, 	(23-SEP-2025 11:08:31)
PROCESSOR,, 	(23-SEP-2025 11:08:31)
TOBACCO PRODUCTS,, 	(23-SEP-2025 11:08:31)
INDUS. MISCELLANEOUS,, 	(23-SEP-2025 11:08:31)
COTTON MILLS HOSIERY,, 	(23-SEP-2025 11:08:31)
JUTE MILLS,, 	(23-SEP-2025 11:08:31)
SYN.FIBRE/RAYON MF,, 	(23-SEP-2025 11:08:31)
TEXTI. MISCELLANEOUS,, 	(23-SEP-2025 11:08:31)
PET.EXPLO&PROD,, 	(23-SEP-2025 11:08:31)
IRON ORE,, 	(23-SEP-2025 11:08:31)
COAL,, 	(23-SEP-2025 11:08:31)
BAUXITE,, 	(23-SEP-2025 11:08:31)
MANGANESE,, 	(23-SEP-2025 11:08:31)
STONE QUARRYING,, 	(23-SEP-2025 11:08:31)
MINING MISCELLANEOUS,, 	(23-SEP-2025 11:08:31)
POST & TELEGRAPHS,, 	(23-SEP-2025 11:08:31)
STATE ELEC. BOARDS,, 	(23-SEP-2025 11:08:31)
CATERING & HOTELS,, 	(23-SEP-2025 11:08:31)
UNIVERSITIES ETC,, 	(23-SEP-2025 11:08:31)
LAUNDRIES,, 	(23-SEP-2025 11:08:31)
REFINERIES,, 	(23-SEP-2025 11:08:31)
TPP-OIL,, 	(23-SEP-2025 11:08:31)
HYDEL POWER PLANTS,, 	(23-SEP-2025 11:08:31)
ATOMIC POWER PLANTS,, 	(23-SEP-2025 11:08:31)
GAS TURBINES,, 	(23-SEP-2025 11:08:31)
POWER MISCELLANEOUS,, 	(23-SEP-2025 11:08:31)
RAILWAYS,, 	(23-SEP-2025 11:08:31)
OTHER ROAD TRANSPORT,, 	(23-SEP-2025 11:08:31)
STATE ROAD TRANSPORT,, 	(23-SEP-2025 11:08:31)
SHIP. COASTAL,, 	(23-SEP-2025 11:08:31)
SHIP. INTERNATIONAL,, 	(23-SEP-2025 11:08:31)
INLAND WATERWAYS,, 	(23-SEP-2025 11:08:31)
OTHERS (PORT TRUST),, 	(23-SEP-2025 11:08:31)
DOMESTIC DIST.,, 	(23-SEP-2025 11:08:31)
INDUSTRIAL DIST.,, 	(23-SEP-2025 11:08:31)
OWN CONSUMPTION,, 	(23-SEP-2025 11:08:31)
PARALLEL MARKETERS,, 	(23-SEP-2025 11:08:31)
TEA PLANTATION,, 	(23-SEP-2025 11:08:31)
RUBBER/COFFEE ETC,, 	(23-SEP-2025 11:08:31)
FORESTRY&TIMBER,, 	(23-SEP-2025 11:08:31)
AGRI.CROPS/ORCHARD,, 	(23-SEP-2025 11:08:31)
SUGAR MILLS,, 	(23-SEP-2025 11:08:31)
FLOUR MILLS ETC,, 	(23-SEP-2025 11:08:31)
VEG. OIL MILLS,, 	(23-SEP-2025 11:08:31)
FOOD PROCESSING,, 	(23-SEP-2025 11:08:31)
DAIRIES&MILK PROC,, 	(23-SEP-2025 11:08:31)
FISHERIES,, 	(23-SEP-2025 11:08:31)
AGRI. MISCELLANEOUS,, 	(23-SEP-2025 11:08:31)
DOMESTIC AIRLINES,, 	(23-SEP-2025 11:08:31)
FOREIGN AIRLINES,, 	(23-SEP-2025 11:08:31)
DAIRIES&MILK PROC,, 	(23-SEP-2025 11:08:31)	 (Not Inserted)
FERTILISER-GAS BASED,, 	(23-SEP-2025 11:08:31)
CAUSTIC SODA ETC.,, 	(23-SEP-2025 11:08:31)
HEAVY ACIDS,, 	(23-SEP-2025 11:08:31)
OTHER INORG.CHEM,, 	(23-SEP-2025 11:08:31)
PETRO-CHEM OTHERS,, 	(23-SEP-2025 11:08:31)
PETROCHEM -GAS BASED,, 	(23-SEP-2025 11:08:31)
DYES & DYE STUFFS,, 	(23-SEP-2025 11:08:31)
SYNTHETIC RUBBER,, 	(23-SEP-2025 11:08:31)
PESTI./AGRO CHEM,, 	(23-SEP-2025 11:08:31)
OTHER ORG.CHEMICAL,, 	(23-SEP-2025 11:08:31)
DRUGS&PHARMACEUTICAL,, 	(23-SEP-2025 11:08:31)
PAINTS ETC,, 	(23-SEP-2025 11:08:31)
INDU EXPLOSIVE,, 	(23-SEP-2025 11:08:31)
CALCINATION PLANTS,, 	(23-SEP-2025 11:08:31)
SOAPS ETC,, 	(23-SEP-2025 11:08:31)
MISC CHEM INDU,, 	(23-SEP-2025 11:08:31)
CEMENT/BUILD MAT,, 	(23-SEP-2025 11:08:31)
BITUMEN/BUILD.MAT,, 	(23-SEP-2025 11:08:31)
CIVIL MISCELLANEOUS,, 	(23-SEP-2025 11:08:31)
CITY OR LOCAL NATURAL GAS DISTRIBUTION,, 	(23-SEP-2025 11:08:31)
LDC,, 	(23-SEP-2025 11:08:31)

TOTAL DATA IN EXCEL : ,97, 	(23-SEP-2025 11:08:31)
 

TOTAL DATA INSERTED : ,96, 	(23-SEP-2025 11:08:31)
 

TOTAL SKIPPED DATA ,1, 	(23-SEP-2025 11:08:31)
 
<<END>>,<<FMS_SECTOR_MST>>, 	(23-SEP-2025 11:08:31)
 

<<START>>,<<FMS_SECTOR_DTL>>, 	(23-SEP-2025 11:08:31)
 
ABBR,,TIMESTAMP
RESELLERS,, 	(23-SEP-2025 11:08:31)
ELLECTRICAL/ ELECTRONICS,, 	(23-SEP-2025 11:08:31)
HEAVY MACHINES,, 	(23-SEP-2025 11:08:31)
LIGHT MACHINES,, 	(23-SEP-2025 11:08:31)
AIRCRAFTS,, 	(23-SEP-2025 11:08:31)
SHIPBUILD. & REPAIRS,, 	(23-SEP-2025 11:08:31)
TRUCKS&PASS VEHICALS,, 	(23-SEP-2025 11:08:31)
SCOOTERS ETC,, 	(23-SEP-2025 11:08:31)
HIGH PRESSURE VESSEL,, 	(23-SEP-2025 11:08:31)
MECH. MISCELLANEOUS,, 	(23-SEP-2025 11:08:31)
STRUCTURAL WORKS,, 	(23-SEP-2025 11:08:31)
IRON & STEEL PLANTS,, 	(23-SEP-2025 11:08:31)
IRON & STEEL REWORKS,, 	(23-SEP-2025 11:08:31)
ALUMINIUM,, 	(23-SEP-2025 11:08:31)
FOUNDRIES/CASTINGS,, 	(23-SEP-2025 11:08:31)
FERROUS ALLOYS,, 	(23-SEP-2025 11:08:31)
METAL. MISCELLANEOUS,, 	(23-SEP-2025 11:08:31)
CANDLE INDUSTRY,, 	(23-SEP-2025 11:08:31)
MATCHES,, 	(23-SEP-2025 11:08:31)
RUBBER TYRES & TUBES,, 	(23-SEP-2025 11:08:31)
PAPER PRODUCTS,, 	(23-SEP-2025 11:08:31)
INDU ABRASIVES,, 	(23-SEP-2025 11:08:31)
GLASS/CERAMICS ETC,, 	(23-SEP-2025 11:08:31)
PACKING MATERIALS,, 	(23-SEP-2025 11:08:31)
PLASTIC INDUSTRIES,, 	(23-SEP-2025 11:08:31)
LEATHER,, 	(23-SEP-2025 11:08:31)
PROCESSOR,, 	(23-SEP-2025 11:08:31)
TOBACCO PRODUCTS,, 	(23-SEP-2025 11:08:31)
INDUS. MISCELLANEOUS,, 	(23-SEP-2025 11:08:31)
COTTON MILLS HOSIERY,, 	(23-SEP-2025 11:08:31)
JUTE MILLS,, 	(23-SEP-2025 11:08:31)
SYN.FIBRE/RAYON MF,, 	(23-SEP-2025 11:08:31)
TEXTI. MISCELLANEOUS,, 	(23-SEP-2025 11:08:31)
PET.EXPLO&PROD,, 	(23-SEP-2025 11:08:31)
IRON ORE,, 	(23-SEP-2025 11:08:31)
COAL,, 	(23-SEP-2025 11:08:31)
BAUXITE,, 	(23-SEP-2025 11:08:31)
MANGANESE,, 	(23-SEP-2025 11:08:31)
STONE QUARRYING,, 	(23-SEP-2025 11:08:31)
MINING MISCELLANEOUS,, 	(23-SEP-2025 11:08:31)
POST & TELEGRAPHS,, 	(23-SEP-2025 11:08:31)
STATE ELEC. BOARDS,, 	(23-SEP-2025 11:08:31)
CATERING & HOTELS,, 	(23-SEP-2025 11:08:31)
UNIVERSITIES ETC,, 	(23-SEP-2025 11:08:31)
LAUNDRIES,, 	(23-SEP-2025 11:08:31)
REFINERIES,, 	(23-SEP-2025 11:08:31)
TPP-OIL,, 	(23-SEP-2025 11:08:31)
HYDEL POWER PLANTS,, 	(23-SEP-2025 11:08:31)
ATOMIC POWER PLANTS,, 	(23-SEP-2025 11:08:31)
GAS TURBINES,, 	(23-SEP-2025 11:08:31)
POWER MISCELLANEOUS,, 	(23-SEP-2025 11:08:31)
RAILWAYS,, 	(23-SEP-2025 11:08:31)
OTHER ROAD TRANSPORT,, 	(23-SEP-2025 11:08:31)
STATE ROAD TRANSPORT,, 	(23-SEP-2025 11:08:31)
SHIP. COASTAL,, 	(23-SEP-2025 11:08:31)
SHIP. INTERNATIONAL,, 	(23-SEP-2025 11:08:31)
INLAND WATERWAYS,, 	(23-SEP-2025 11:08:31)
OTHERS (PORT TRUST),, 	(23-SEP-2025 11:08:31)
DOMESTIC DIST.,, 	(23-SEP-2025 11:08:31)
INDUSTRIAL DIST.,, 	(23-SEP-2025 11:08:31)
OWN CONSUMPTION,, 	(23-SEP-2025 11:08:31)
PARALLEL MARKETERS,, 	(23-SEP-2025 11:08:31)
TEA PLANTATION,, 	(23-SEP-2025 11:08:31)
RUBBER/COFFEE ETC,, 	(23-SEP-2025 11:08:31)
FORESTRY&TIMBER,, 	(23-SEP-2025 11:08:31)
AGRI.CROPS/ORCHARD,, 	(23-SEP-2025 11:08:31)
SUGAR MILLS,, 	(23-SEP-2025 11:08:31)
FLOUR MILLS ETC,, 	(23-SEP-2025 11:08:31)
VEG. OIL MILLS,, 	(23-SEP-2025 11:08:31)
FOOD PROCESSING,, 	(23-SEP-2025 11:08:31)
DAIRIES&MILK PROC,, 	(23-SEP-2025 11:08:31)
FISHERIES,, 	(23-SEP-2025 11:08:31)
AGRI. MISCELLANEOUS,, 	(23-SEP-2025 11:08:31)
DOMESTIC AIRLINES,, 	(23-SEP-2025 11:08:31)
FOREIGN AIRLINES,, 	(23-SEP-2025 11:08:31)
FERTILISER-GAS BASED,, 	(23-SEP-2025 11:08:31)
CAUSTIC SODA ETC.,, 	(23-SEP-2025 11:08:31)
HEAVY ACIDS,, 	(23-SEP-2025 11:08:31)
OTHER INORG.CHEM,, 	(23-SEP-2025 11:08:31)
PETRO-CHEM OTHERS,, 	(23-SEP-2025 11:08:31)
PETROCHEM -GAS BASED,, 	(23-SEP-2025 11:08:31)
DYES & DYE STUFFS,, 	(23-SEP-2025 11:08:31)
SYNTHETIC RUBBER,, 	(23-SEP-2025 11:08:31)
PESTI./AGRO CHEM,, 	(23-SEP-2025 11:08:31)
OTHER ORG.CHEMICAL,, 	(23-SEP-2025 11:08:31)
DRUGS&PHARMACEUTICAL,, 	(23-SEP-2025 11:08:31)
PAINTS ETC,, 	(23-SEP-2025 11:08:31)
INDU EXPLOSIVE,, 	(23-SEP-2025 11:08:31)
CALCINATION PLANTS,, 	(23-SEP-2025 11:08:31)
