

<<START>>,<<FMS_ENTITY_REQ_DTL>>,,,, 	(23-SEP-2025 11:08:06)
 
COMPANY_CD,CD,ABBR,SEQ,ENTITY,TIMESTAMP
SOAPS ETC,, 	(23-SEP-2025 11:08:31)
MISC CHEM INDU,, 	(23-SEP-2025 11:08:31)
CEMENT/BUILD MAT,, 	(23-SEP-2025 11:08:31)
BITUMEN/BUILD.MAT,, 	(23-SEP-2025 11:08:31)
CIVIL MISCELLANEOUS,, 	(23-SEP-2025 11:08:31)
CITY OR LOCAL NATURAL GAS DISTRIBUTION,, 	(23-SEP-2025 11:08:31)
LDC,, 	(23-SEP-2025 11:08:31)

TOTAL DATA IN EXCEL : ,97, 	(23-SEP-2025 11:08:31)
 

TOTAL DATA INSERTED : ,96, 	(23-SEP-2025 11:08:31)
 

TOTAL SKIPPED DATA ,0, 	(23-SEP-2025 11:08:31)
 
<<END>>,<<FMS_SECTOR_DTL>>, 	(23-SEP-2025 11:08:31)
 
