

<<START>>,<<FMS_ENTITY_TAX_STRUCT_DTL>>,,,,,, 	(28-FEB-2025 18:20:48)
 
COMPANY_CD,CD,ABBR,ENTITY,PLANT_SEQ_NO,BU_UNIT,EFF_DT,TIMESTAMP
2,1 , RIL , C , 18 , 2 , 14/09/2008 00:00:00, 	(28-FEB-2025 18:20:48)
2,1 , RIL , C , 18 , 2 , 14/09/2008 00:00:00, 	(28-FEB-2025 18:20:48)	 (Not Inserted)
2,1 , RIL , C , 2 , 1 , 14/09/2008 00:00:00, 	(28-FEB-2025 18:20:48)	 (Not Inserted)
2,1 , RIL , C , 3 , 1 , 14/09/2008 00:00:00, 	(28-FEB-2025 18:20:48)	 (Not Inserted)
2,1 , RIL , C , 4 , 1 , 14/09/2008 00:00:00, 	(28-FEB-2025 18:20:48)	 (Not Inserted)
2,1 , RIL , C , 5 , 1 , 14/09/2008 00:00:00, 	(28-FEB-2025 18:20:48)	 (Not Inserted)
2,1 , RIL , C , 8 , 1 , 14/09/2008 00:00:00, 	(28-FEB-2025 18:20:48)
2,1 , RIL , C , 15 , 1 , 14/09/2008 00:00:00, 	(28-FEB-2025 18:20:48)
2,1 , RIL , C , 6 , 1 , 14/09/2008 00:00:00, 	(28-FEB-2025 18:20:48)
2,1 , RIL , C , 17 , 1 , 14/09/2008 00:00:00, 	(28-FEB-2025 18:20:48)
2,1 , RIL , C , 16 , 1 , 14/09/2008 00:00:00, 	(28-FEB-2025 18:20:48)
2,2 , MGL , C , 1 , 2 , 16/07/2009 00:00:00, 	(28-FEB-2025 18:20:48)
2,2 , MGL , C , 1 , 1 , 16/07/2009 00:00:00, 	(28-FEB-2025 18:20:48)
2,3 , GSPCL , C , 1 , 1 , 24/03/2005 00:00:00, 	(28-FEB-2025 18:20:48)
2,3 , GSPCL , C , 3 , 2 , 24/03/2005 00:00:00, 	(28-FEB-2025 18:20:48)
2,3 , GSPCL , C , 1 , 1 , 24/03/2005 00:00:00, 	(28-FEB-2025 18:20:48)	 (Not Inserted)
2,3 , GSPCL , C , 1 , 1 , 24/03/2005 00:00:00, 	(28-FEB-2025 18:20:48)	 (Not Inserted)
2,3 , GSPCL , C , 2 , 1 , 24/03/2005 00:00:00, 	(28-FEB-2025 18:20:48)
2,4 , Gail , C , 1 , 1 , 08/03/2007 00:00:00, 	(28-FEB-2025 18:20:48)
2,4 , Gail , C , 3 , 2 , 08/03/2007 00:00:00, 	(28-FEB-2025 18:20:48)
2,4 , Gail , C , 7 , 1 , 08/03/2007 00:00:00, 	(28-FEB-2025 18:20:48)
2,4 , Gail , C , 8 , 1 , 08/03/2007 00:00:00, 	(28-FEB-2025 18:20:48)
2,4 , Gail , C , 1 , 1 , 08/03/2007 00:00:00, 	(28-FEB-2025 18:20:48)	 (Not Inserted)
2,4 , Gail , C , 2 , 1 , 08/03/2007 00:00:00, 	(28-FEB-2025 18:20:48)
2,4 , Gail , C , 4 , 1 , 08/03/2007 00:00:00, 	(28-FEB-2025 18:20:48)
2,5 , NTPC , C , 2 , 1 , 01/06/2006 00:00:00, 	(28-FEB-2025 18:20:48)
2,5 , NTPC , C , 6 , 2 , 01/06/2006 00:00:00, 	(28-FEB-2025 18:20:48)
2,5 , NTPC , C , 3 , 2 , 01/06/2006 00:00:00, 	(28-FEB-2025 18:20:48)
2,5 , NTPC , C , 6 , 2 , 01/06/2006 00:00:00, 	(28-FEB-2025 18:20:48)	 (Not Inserted)
2,5 , NTPC , C , 5 , 2 , 01/06/2006 00:00:00, 	(28-FEB-2025 18:20:48)
2,5 , NTPC , C , 4 , 2 , 01/06/2006 00:00:00, 	(28-FEB-2025 18:20:48)
2,5 , NTPC , C , 1 , 2 , 01/06/2006 00:00:00, 	(28-FEB-2025 18:20:48)
2,5 , NTPC , C , 2 , 2 , 01/06/2006 00:00:00, 	(28-FEB-2025 18:20:48)
2,5 , NTPC , C , 6 , 1 , 01/06/2006 00:00:00, 	(28-FEB-2025 18:20:48)
2,5 , NTPC , C , 4 , 1 , 01/06/2006 00:00:00, 	(28-FEB-2025 18:20:48)
2,5 , NTPC , C , 3 , 1 , 01/06/2006 00:00:00, 	(28-FEB-2025 18:20:48)
2,5 , NTPC , C , 5 , 1 , 01/06/2006 00:00:00, 	(28-FEB-2025 18:20:48)
2,6 , KRIBHCO , C , 1 , 1 , 05/12/2007 00:00:00, 	(28-FEB-2025 18:20:48)
2,6 , KRIBHCO , C , 1 , 2 , 05/12/2007 00:00:00, 	(28-FEB-2025 18:20:48)
2, , Kribhco , C , 1 , 1 , 05/12/2007 00:00:00, 	(28-FEB-2025 18:20:48)	 (Not Inserted)
2,7 , DFPCL , C , 1 , 2 , 03/12/2007 00:00:00, 	(28-FEB-2025 18:20:48)
2,9 , SIGIL , C , 1 , 1 , 01/04/2009 00:00:00, 	(28-FEB-2025 18:20:48)
2,10 , GGCL , C , 1 , 1 , 11/05/2012 00:00:00, 	(28-FEB-2025 18:20:48)	 (Not Inserted)
2,11 , TPL , C , 1 , 1 , 04/08/2012 00:00:00, 	(28-FEB-2025 18:20:48)
2,11 , TPL , C , 1 , 1 , 04/08/2012 00:00:00, 	(28-FEB-2025 18:20:48)	 (Not Inserted)
2,280 , WMSL , C , 1 , 1 , 31/05/2011 00:00:00, 	(28-FEB-2025 18:20:48)
2,12 , MNGL , C , 1 , 1 , 20/06/2013 00:00:00, 	(28-FEB-2025 18:20:48)
