

<<START>>,<<FMS_TRADER_CARGO_MST>> 	(23-SEP-2025 14:36:05)
 
COMPANY_CD,CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_TYPE,CONT_NO,CONT_REV,CARGO_NO,CARGO_REF_NO,TIMESTAMP
2, 116:SELNG, M, 1, 0, N, 710038, 0,1,6002, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710039, 0,1,6004, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710040, 0,1,6005, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710041, 0,1,6006, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710042, 0,1,6007, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710043, 0,1,6008, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710044, 0,1,6009, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710045, 0,1,6010, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710046, 0,1,6011, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710047, 0,1,6013, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710048, 0,1,6014, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710049, 0,1,7001, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710050, 0,1,7002, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710051, 0,1,7003, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710052, 0,1,7005, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710053, 0,1,7006, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710054, 0,1,7008, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710055, 0,1,7009, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710056, 0,1,7010, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710057, 0,1,7011, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710058, 0,1,7013, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710059, 0,1,7014, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710060, 0,1,7015, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710061, 0,1,7016, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710062, 0,1,7017, 	(23-SEP-2025 14:36:05)
