

<<START>>,<<FMS_INV_STORAGE_CRG_DTL>>,, 	(23-JUL-2025 14:59:11)
 
COMPANY_CD,BU_STATE_TIN,INVOICE_SEQ,FINANCIAL_YEAR,STORAGE_DT,TIMESTAMP,
2,24 , 660,2020-2021,19/11/2020 00:00:00, 	(23-JUL-2025 14:59:11)
2,24 , 660,2020-2021,18/11/2020 00:00:00, 	(23-JUL-2025 14:59:11)
2,24 , 660,2020-2021,17/11/2020 00:00:00, 	(23-JUL-2025 14:59:11)
2,24 , 660,2020-2021,16/11/2020 00:00:00, 	(23-JUL-2025 14:59:11)
2,24 , 660,2020-2021,15/11/2020 00:00:00, 	(23-JUL-2025 14:59:11)
2,24 , 660,2020-2021,19/11/2020 00:00:00, 	(23-JUL-2025 14:59:11)	 (Not Inserted)
2,24 , 660,2020-2021,18/11/2020 00:00:00, 	(23-JUL-2025 14:59:11)	 (Not Inserted)
2,24 , 660,2020-2021,17/11/2020 00:00:00, 	(23-JUL-2025 14:59:11)	 (Not Inserted)
2,24 , 660,2020-2021,16/11/2020 00:00:00, 	(23-JUL-2025 14:59:11)	 (Not Inserted)
2,24 , 660,2020-2021,15/11/2020 00:00:00, 	(23-JUL-2025 14:59:11)	 (Not Inserted)
2,24 , 660,2020-2021,19/11/2020 00:00:00, 	(23-JUL-2025 14:59:11)	 (Not Inserted)
2,24 , 660,2020-2021,18/11/2020 00:00:00, 	(23-JUL-2025 14:59:11)	 (Not Inserted)
2,24 , 660,2020-2021,17/11/2020 00:00:00, 	(23-JUL-2025 14:59:11)	 (Not Inserted)
2,24 , 660,2020-2021,16/11/2020 00:00:00, 	(23-JUL-2025 14:59:11)	 (Not Inserted)
2,24 , 660,2020-2021,15/11/2020 00:00:00, 	(23-JUL-2025 14:59:11)	 (Not Inserted)
2,24 , 660,2020-2021,19/11/2020 00:00:00, 	(23-JUL-2025 14:59:11)	 (Not Inserted)
2,24 , 660,2020-2021,18/11/2020 00:00:00, 	(23-JUL-2025 14:59:11)	 (Not Inserted)
2,24 , 660,2020-2021,17/11/2020 00:00:00, 	(23-JUL-2025 14:59:11)	 (Not Inserted)
2,24 , 660,2020-2021,16/11/2020 00:00:00, 	(23-JUL-2025 14:59:11)	 (Not Inserted)
2,24 , 660,2020-2021,15/11/2020 00:00:00, 	(23-JUL-2025 14:59:11)	 (Not Inserted)
2,24 , 307,2021-2022,24/05/2021 00:00:00, 	(23-JUL-2025 14:59:11)
