

<<START>>,<<FMS_SUPPLY_CONT_TRANSPTR>>,,,,,,,, 	(13-MAY-2025 09:09:46)
 
COMPANY_CD, COUNTERPARTY_CD, AGMT_NO, AGMT_REV, CONT_NO, CONT_REV, CONTRACT_TYPE, TRANSPORTER_CD, PLANT_SEQ_NO,TIMESTAMP,
2,1,2,0,21,2,,45,2, 	(13-MAY-2025 09:09:46)	 (Not Inserted)
2,1,3,0,2,0,,45,2, 	(13-MAY-2025 09:09:46)	 (Not Inserted)
2,1,3,0,3,0,,4,4, 	(13-MAY-2025 09:09:46)	 (Not Inserted)
2,1,0,0,220004,0,,45,1, 	(13-MAY-2025 09:09:46)
2,1,0,0,220004,0,,45,2, 	(13-MAY-2025 09:09:46)
2,1,0,0,220004,0,,45,3, 	(13-MAY-2025 09:09:46)
2,1,0,0,220004,0,,45,4, 	(13-MAY-2025 09:09:46)
2,2,6,2,14,0,,4,4, 	(13-MAY-2025 09:09:46)	 (Not Inserted)
2,2,6,2,15,0,,4,4, 	(13-MAY-2025 09:09:46)	 (Not Inserted)
2,2,6,2,16,0,,4,4, 	(13-MAY-2025 09:09:46)	 (Not Inserted)
2,2,6,2,13,0,,4,4, 	(13-MAY-2025 09:09:46)	 (Not Inserted)
2,2,6,2,12,0,,4,4, 	(13-MAY-2025 09:09:46)	 (Not Inserted)
2,2,6,2,17,0,,4,1, 	(13-MAY-2025 09:09:46)	 (Not Inserted)
2,2,6,2,11,0,,4,1, 	(13-MAY-2025 09:09:46)	 (Not Inserted)
2,2,0,0,124003,0,,4,1, 	(13-MAY-2025 09:09:46)
2,2,0,0,124003,0,,4,1, 	(13-MAY-2025 09:09:46)	 (Not Inserted)
2,2,0,0,124003,0,,4,3, 	(13-MAY-2025 09:09:46)
2,2,0,0,124003,0,,4,4, 	(13-MAY-2025 09:09:46)
2,2,0,0,124003,0,,4,5, 	(13-MAY-2025 09:09:46)
2,2,0,0,124003,0,,4,6, 	(13-MAY-2025 09:09:46)
2,2,0,0,124003,0,,4,7, 	(13-MAY-2025 09:09:46)
