

<<START>>,<<FMS_FFLOW_INV_DTL>>,, 	(29-AUG-2025 17:54:34)
 
COMPANY_CD,COUNTERPARTY_CD,FINANCIAL_YEAR,BU_STATE_TIN,INVOICE_TYPE,INVOICE_SEQ,LINE_NO,TIMESTAMP,
2,4 , 2025-2026 , 24,OR,1,1, 	(29-AUG-2025 17:54:34)
2,4 , 2025-2026 , 24,OR,2,1, 	(29-AUG-2025 17:54:34)
2,20 , 2023-2024 , 24,DI,1,1, 	(29-AUG-2025 17:54:34)
2,20 , 2023-2024 , 24,DI,2,1, 	(29-AUG-2025 17:54:34)
2,20 , 2023-2024 , 24,DI,3,1, 	(29-AUG-2025 17:54:34)
2,20 , 2023-2024 , 24,DI,4,1, 	(29-AUG-2025 17:54:34)
2,20 , 2023-2024 , 24,DI,5,1, 	(29-AUG-2025 17:54:34)
2,20 , 2023-2024 , 24,SI,6,1, 	(29-AUG-2025 17:54:34)
2,20 , 2023-2024 , 24,DI,7,1, 	(29-AUG-2025 17:54:34)
2,20 , 2022-2023 , 24,DI,1,2, 	(29-AUG-2025 17:54:34)
2,20 , 2024-2025 , 24,SI,1,1, 	(29-AUG-2025 17:54:34)
2,20 , 2023-2024 , 24,DI,8,1, 	(29-AUG-2025 17:54:34)
2,20 , 2024-2025 , 24,SI,2,1, 	(29-AUG-2025 17:54:34)
2,20 , 2023-2024 , 24,DI,9,1, 	(29-AUG-2025 17:54:34)
2,20 , 2024-2025 , 24,ST,3,2, 	(29-AUG-2025 17:54:34)
2,20 , 2024-2025 , 24,ST,4,1, 	(29-AUG-2025 17:54:34)
**********AutomationEMS Error  (29-AUG-2025 17:54:34) **********
java.sql.SQLException: ORA-12899: value too large for column "MIGRATE2EMS"."FMS_FFLOW_INV_DTL"."QTY" (actual: 11, maximum: 10)


com.etrm.fms.migration.Sales_SEIPL_Data_Reader.FMS_FFLOW_INV_DTL(Sales_SEIPL_Data_Reader.java:17021)
com.etrm.fms.migration.Sales_SEIPL_Data_Reader.init(Sales_SEIPL_Data_Reader.java:283)
**************************************************

<<FUNCTION FMS_FFLOW_INV_DTL() ENDED WITH ERRORS>>
