

<<START>>,<<FMS_ENTITY_REQ_DTL>>,,, 	(17-FEB-2025 15:13:34)
 
COMPANY_CD,CD,ABBR,SEQ,TIMESTAMP
2 ,1 , RIL , 1, 	(17-FEB-2025 15:13:34)
2 ,2 , MGL , 1, 	(17-FEB-2025 15:13:34)
2 ,3 , GSPCL , 1, 	(17-FEB-2025 15:13:34)
2 ,4 , Gail , 1, 	(17-FEB-2025 15:13:34)
2 ,4 , Gail , 2, 	(17-FEB-2025 15:13:34)
2 ,  , BPL , 1, 	(17-FEB-2025 15:13:34)	 (Not Inserted)
2 ,  , EPL , 1, 	(17-FEB-2025 15:13:34)	 (Not Inserted)
2 ,217 , ESL , 1, 	(17-FEB-2025 15:13:34)
2 ,5 , NTPC , 1, 	(17-FEB-2025 15:13:34)
2 ,6 , KRIBHCO , 1, 	(17-FEB-2025 15:13:34)
2 ,7 , DFPCL , 1, 	(17-FEB-2025 15:13:34)
2 ,8 , AIGL , 1, 	(17-FEB-2025 15:13:34)
2 ,218 , ESEZ , 1, 	(17-FEB-2025 15:13:34)
2 ,  , KSFL , 1, 	(17-FEB-2025 15:13:34)	 (Not Inserted)
2 ,242 , MAHAGENCO , 1, 	(17-FEB-2025 15:13:34)
2 ,249 , NPL , 1, 	(17-FEB-2025 15:13:34)
2 ,9 , SIGIL , 1, 	(17-FEB-2025 15:13:34)
2 ,225 , VIL , 1, 	(17-FEB-2025 15:13:34)
2 ,  , VSIL , 1, 	(17-FEB-2025 15:13:34)	 (Not Inserted)
2 ,10 , GGCL , 1, 	(17-FEB-2025 15:13:34)
2 ,11 , TPL , 1, 	(17-FEB-2025 15:13:34)
2 ,280 , WMSL , 1, 	(17-FEB-2025 15:13:34)
2 ,12 , MNGL , 1, 	(17-FEB-2025 15:13:34)
2 ,13 , IGL , 1, 	(17-FEB-2025 15:13:34)
2 ,14 , BPCL , 1, 	(17-FEB-2025 15:13:34)
2 ,14 , BPCL , 2, 	(17-FEB-2025 15:13:34)
2 ,269 , TEL , 1, 	(17-FEB-2025 15:13:34)
2 ,15 , HPCL , 1, 	(17-FEB-2025 15:13:34)
2 ,15 , HPCL , 2, 	(17-FEB-2025 15:13:34)
2 ,16 , JSW , 1, 	(17-FEB-2025 15:13:34)
2 ,17 , BGL , 1, 	(17-FEB-2025 15:13:34)
2 ,18 , GSFC , 1, 	(17-FEB-2025 15:13:34)
2 ,228 , H-Energy , 1, 	(17-FEB-2025 15:13:34)
2 ,160 , SIMPL , 1, 	(17-FEB-2025 15:13:34)
2 ,19 , ATGL , 1, 	(17-FEB-2025 15:13:34)
2 ,20 , AMNS , 1, 	(17-FEB-2025 15:13:34)
2 ,20 , AMNS , 2, 	(17-FEB-2025 15:13:34)
2 ,154 , SEMTIPL , 1, 	(17-FEB-2025 15:13:34)
2 ,154 , SEMTIPL , 2, 	(17-FEB-2025 15:13:34)
2 ,21 , SGIPL , 1, 	(17-FEB-2025 15:13:34)
2 ,22 , VGL , 1, 	(17-FEB-2025 15:13:34)
2 ,23 , PGPGPL , 1, 	(17-FEB-2025 15:13:34)
2 ,24 , HCG , 1, 	(17-FEB-2025 15:13:34)
2 ,25 , GGL , 1, 	(17-FEB-2025 15:13:34)
2 ,26 , CFC , 1, 	(17-FEB-2025 15:13:34)
2 ,27 , IFFCO , 1, 	(17-FEB-2025 15:13:34)
2 ,28 , HGL-RLNG , 1, 	(17-FEB-2025 15:13:34)
2 ,29 , PipeInfra , 1, 	(17-FEB-2025 15:13:34)
2 ,29 , PipeInfra , 2, 	(17-FEB-2025 15:13:34)
2 ,  , NFL-Nangal , 1, 	(17-FEB-2025 15:13:34)	 (Not Inserted)
2 ,31 , HSIL , 1, 	(17-FEB-2025 15:13:34)
2 ,  , VVF , 1, 	(17-FEB-2025 15:13:34)	 (Not Inserted)
2 ,32 , KFL , 1, 	(17-FEB-2025 15:13:34)
2 ,197 , BIL , 1, 	(17-FEB-2025 15:13:34)
2 ,254 , RIPL , 1, 	(17-FEB-2025 15:13:34)
2 ,207 , CP , 1, 	(17-FEB-2025 15:13:34)
2 ,  , HHFG DLNG , 1, 	(17-FEB-2025 15:13:34)	 (Not Inserted)
2 ,  , VWPL , 1, 	(17-FEB-2025 15:13:34)	 (Not Inserted)
2 ,33 , AGP CGD , 1, 	(17-FEB-2025 15:13:34)
2 ,34 , MINDA , 1, 	(17-FEB-2025 15:13:34)
2 ,238 , LEIPL , 1, 	(17-FEB-2025 15:13:34)
2 ,35 , SCHOTT , 1, 	(17-FEB-2025 15:13:34)
2 ,36 , HIL , 1, 	(17-FEB-2025 15:13:34)
2 ,37 , HCGD-B , 1, 	(17-FEB-2025 15:13:34)
2 ,198 , BIPL , 1, 	(17-FEB-2025 15:13:34)
2 ,220 , EXXARO , 1, 	(17-FEB-2025 15:13:34)
2 ,257 , STVPL , 1, 	(17-FEB-2025 15:13:34)
2 ,233 , JGPL , 1, 	(17-FEB-2025 15:13:34)
2 ,279 , WALLCERA , 1, 	(17-FEB-2025 15:13:34)
2 ,193 , ASTIS , 1, 	(17-FEB-2025 15:13:34)
2 ,109 , PROTON , 1, 	(17-FEB-2025 15:13:34)
2 ,192 , ANTIQUE , 1, 	(17-FEB-2025 15:13:34)
2 ,  , ACER , 1, 	(17-FEB-2025 15:13:34)	 (Not Inserted)
2 ,38 , KAJARIA , 1, 	(17-FEB-2025 15:13:34)
2 ,222 , GASGROWS , 1, 	(17-FEB-2025 15:13:34)
2 ,39 , SISECAM , 1, 	(17-FEB-2025 15:13:34)
2 ,40 , ATPL , 1, 	(17-FEB-2025 15:13:34)
2 ,41 , OPAL , 1, 	(17-FEB-2025 15:13:34)
2 ,234 , JKPAPER , 1, 	(17-FEB-2025 15:13:34)
2 ,263 , STL , 1, 	(17-FEB-2025 15:13:34)
2 ,273 , UEPL , 1, 	(17-FEB-2025 15:13:34)
2 ,206 , CELLO , 1, 	(17-FEB-2025 15:13:34)
2 ,204 , CALDERYS , 1, 	(17-FEB-2025 15:13:34)
2 ,42 , RCF , 1, 	(17-FEB-2025 15:13:34)
2 ,201 , BWRL , 1, 	(17-FEB-2025 15:13:34)
2 ,235 , KRYO , 1, 	(17-FEB-2025 15:13:34)
2 ,276 , VIRGO , 1, 	(17-FEB-2025 15:13:34)
2 ,196 , BLPL , 1, 	(17-FEB-2025 15:13:34)
2 ,223 , GIPSKARTON , 1, 	(17-FEB-2025 15:13:34)
2 ,270 , TGPL , 1, 	(17-FEB-2025 15:13:34)
2 ,116 , SELNG , 1, 	(17-FEB-2025 15:13:34)
