

<<START>>,<<FMS_COUNTERPARTY_BU_DTL>>,,,,, 	(17-MAY-2025 18:13:21)
 
COMPANY_CD,CD,ABBR,ENTITY,SEQ_NO,EFF_DT,TIMESTAMP
2, 264 , SSAPL , S , 1 , 01/04/2013 00:00:00, 	(17-MAY-2025 18:13:21)
2, 126 , SGSINDIA , S , 1 , 01/04/2007 00:00:00, 	(17-MAY-2025 18:13:21)
2, 232 , JBB , S , 1 , 01/04/2007 00:00:00, 	(17-MAY-2025 18:13:21)
2, 232 , JBB , V , 1 , 01/04/2007 00:00:00, 	(17-MAY-2025 18:13:21)
2, 265 , SLPL , H , 1 , 21/01/2016 00:00:00, 	(17-MAY-2025 18:13:21)
2 , 265 , SLPL , H , 1 , 21/01/2016 00:00:00, 	(17-MAY-2025 18:13:21)	 (Not Inserted)
2 ,  , BOXCO , H , 1 , 11/08/2014 00:00:00, 	(17-MAY-2025 18:13:21)	 (Not Inserted)
2, 282 , JMB , H , 1 , 01/04/2005 00:00:00, 	(17-MAY-2025 18:13:21)

TOTAL DATA IN EXCEL : ,8,,,,, 	(17-MAY-2025 18:13:21)
 

TOTAL DATA INSERTED : ,6,,,,, 	(17-MAY-2025 18:13:21)
 

TOTAL SKIPPED DATA ,2,,,,, 	(17-MAY-2025 18:13:21)
 
<<END>>,<<FMS_COUNTERPARTY_BU_DTL>>,,,,, 	(17-MAY-2025 18:13:21)
 

<<START>>,<<FMS_COUNTERPARTY_BU_TAX>>,,,,, 	(17-MAY-2025 18:13:21)
 
COMPANY_CD,CD,ABBR,ENTITY,PLANT_SEQ_NO,STAT_CD,TIMESTAMP
2 ,126 , SGSINDIA , S , 1 , 1001, 	(17-MAY-2025 18:13:21)
2 ,232 , JBB , S , 1 , 1001, 	(17-MAY-2025 18:13:21)
2 ,264 , SSAPL , S , 1 , 1001, 	(17-MAY-2025 18:13:21)
2 ,232 , JBB , V , 1 , 1001, 	(17-MAY-2025 18:13:21)
2 , , BOXCO , H , 1 , 1001, 	(17-MAY-2025 18:13:21)	 (Not Inserted)
2 ,282 , JMB , H , 1 , 1001, 	(17-MAY-2025 18:13:21)
2 ,265 , SLPL , H , 1 , 1001, 	(17-MAY-2025 18:13:21)
2 ,265 , SLPL , H , 1 , 1001, 	(17-MAY-2025 18:13:21)	 (Not Inserted)

TOTAL DATA IN EXCEL : ,8,,,,, 	(17-MAY-2025 18:13:21)
 

TOTAL DATA INSERTED : ,6,,,,, 	(17-MAY-2025 18:13:21)
 

TOTAL SKIPPED DATA ,2,,,,, 	(17-MAY-2025 18:13:21)
 
<<END>>,<<FMS_COUNTERPARTY_BU_TAX>>,,,,, 	(17-MAY-2025 18:13:21)
 

<<START>>,<<FMS_COUNTERPARTY_BU_DTL>>,,,,, 	(17-MAY-2025 18:13:27)
 
COMPANY_CD,CD,ABBR,ENTITY,SEQ_NO,EFF_DT,TIMESTAMP
2 , 264 , SSAPL , S , 1 , 01/04/2013 00:00:00, 	(17-MAY-2025 18:13:27)	 (Not Inserted)
2 , 126 , SGSINDIA , S , 1 , 01/04/2007 00:00:00, 	(17-MAY-2025 18:13:27)	 (Not Inserted)
2 , 232 , JBB , S , 1 , 01/04/2007 00:00:00, 	(17-MAY-2025 18:13:27)	 (Not Inserted)
2 , 232 , JBB , V , 1 , 01/04/2007 00:00:00, 	(17-MAY-2025 18:13:27)	 (Not Inserted)
2 , 265 , SLPL , H , 1 , 21/01/2016 00:00:00, 	(17-MAY-2025 18:13:27)	 (Not Inserted)
2 , 265 , SLPL , H , 1 , 21/01/2016 00:00:00, 	(17-MAY-2025 18:13:27)	 (Not Inserted)
2 ,  , BOXCO , H , 1 , 11/08/2014 00:00:00, 	(17-MAY-2025 18:13:27)	 (Not Inserted)
2 , 282 , JMB , H , 1 , 01/04/2005 00:00:00, 	(17-MAY-2025 18:13:27)	 (Not Inserted)

TOTAL DATA IN EXCEL : ,8,,,,, 	(17-MAY-2025 18:13:27)
 

TOTAL DATA INSERTED : ,0,,,,, 	(17-MAY-2025 18:13:27)
 

TOTAL SKIPPED DATA ,8,,,,, 	(17-MAY-2025 18:13:27)
 
<<END>>,<<FMS_COUNTERPARTY_BU_DTL>>,,,,, 	(17-MAY-2025 18:13:27)
 

<<START>>,<<FMS_COUNTERPARTY_BU_TAX>>,,,,, 	(17-MAY-2025 18:13:27)
 
COMPANY_CD,CD,ABBR,ENTITY,PLANT_SEQ_NO,STAT_CD,TIMESTAMP
2 ,126 , SGSINDIA , S , 1 , 1001, 	(17-MAY-2025 18:13:27)	 (Not Inserted)
2 ,232 , JBB , S , 1 , 1001, 	(17-MAY-2025 18:13:27)	 (Not Inserted)
2 ,264 , SSAPL , S , 1 , 1001, 	(17-MAY-2025 18:13:27)	 (Not Inserted)
2 ,232 , JBB , V , 1 , 1001, 	(17-MAY-2025 18:13:27)	 (Not Inserted)
2 , , BOXCO , H , 1 , 1001, 	(17-MAY-2025 18:13:27)	 (Not Inserted)
2 ,282 , JMB , H , 1 , 1001, 	(17-MAY-2025 18:13:27)	 (Not Inserted)
2 ,265 , SLPL , H , 1 , 1001, 	(17-MAY-2025 18:13:27)	 (Not Inserted)
2 ,265 , SLPL , H , 1 , 1001, 	(17-MAY-2025 18:13:27)	 (Not Inserted)

TOTAL DATA IN EXCEL : ,8,,,,, 	(17-MAY-2025 18:13:27)
 

TOTAL DATA INSERTED : ,0,,,,, 	(17-MAY-2025 18:13:27)
 

TOTAL SKIPPED DATA ,8,,,,, 	(17-MAY-2025 18:13:27)
 
<<END>>,<<FMS_COUNTERPARTY_BU_TAX>>,,,,, 	(17-MAY-2025 18:13:27)
 
