

<<START>>,<<FMS_GTA_FFLOW_INV_DTL>>,, 	(28-AUG-2025 12:05:41)
 
COMPANY_CD, COUNTERPARTY_CD, AGMT_NO, AGMT_REV, CONT_NO, CONT_REV, CONTRACT_TYPE,INVOICE_TYPE, INVOICE_SEQ, INV_NO ,LINE_NO,LINE_DESC,TIMESTAMP,
2,4,,,,,,,16,UPG2A23109008904,2,Negative Imbalance Above 5 Rate, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,,,,,,,16,UPG2A23109009693,2,Negative Imbalance Above 5 Rate, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,,,,,,,16,UPG2A23109010046,1,Positive Imbalance Above 10 Rate, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,,,,,,,16,UPG2A23109010046,2,Negative Imbalance Above 5 Rate, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,,,,,,,16,UPG2A23109010632,2,Negative Imbalance Above 5 Rate, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,,,,,,,16,UPG2A23109010683,1,Positive Imbalance Above 10 Rate, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,,,,,,,16,UPG2A23109010683,2,Negative Imbalance Above 5 Rate, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,,,,,,,16,UPG2A23109011265,2,Negative Imbalance Above 5 Rate, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,,,,,,,16,UPG2A23109011270,1,Transmission Charge, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,,,,,,,16,UPG2A23109011270,2,Negative Imbalance Above 5 Rate, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,,,,,,,16,UPG2A23109012046,2,Negative Imbalance Above 5 Rate, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,,,,,,,16,UPG2A23109012532,2,Negative Imbalance Above 5 Rate, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,,,,,,,16,UPG2A23109013238,2,Negative Imbalance Above 5 Rate, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,,,,,,,16,UPG2A23109013255,1,Positive Imbalance Above 10 Rate, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,,,,,,,16,UPG2A23109013255,2,Negative Imbalance Above 5 Rate, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,,,,,,,16,UPG2A23109014195,2,Negative Imbalance Above 5 Rate, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,,,,,,,16,UPG2A23109014238,1,Transmission Charge, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,,,,,,,16,UPG2A23109014238,2,Negative Imbalance Above 5 Rate, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,,,,,,,16,UPG2A23109015095,2,Negative Imbalance Above 5 Rate, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,,,,,,,16,UPG2A23109015840,2,Negative Imbalance Above 5 Rate, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,,,,,,,16,UPG2A23109016448,2,Negative Imbalance Above 5 Rate, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,,,,,,,16,UPG2A23109017329,2,Negative Imbalance Above 5 Rate, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,,,,,,,16,UPG2A23109017357,1,Transmission Charge, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,,,,,,,16,UPG2A23109017357,2,Negative Imbalance Above 5 Rate, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,,,,,,,16,UPG2A24109000158,2,Negative Imbalance Above 5 Rate, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,,,,,,,16,UPG2A24109003987,1,Transmission Charge, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,,,,,,,16,UPG2A24109012607,1,Positive Imbalance Above 10 Rate, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,,,,,,,16,UPG2A24109013579,1,Positive Imbalance Above 10 Rate, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,,,,,,,16,UPG2A24109020465,1,Transmission Charge, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,,,,,,,16,UPG2A24109021429,1,Transmission Charge, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,,,,,,,16,UPG2A24109023989,1,Transmission Charge, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,,,,,,,16,UPG2A24109005915,1,Transmission Charge, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,,,,,,,16,UPG2A24109009606,1,Transmission Charge, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,,,,,,,16,UPG2A24109012606,1,Positive Imbalance Above 10 Rate, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,,,,,,,16,UPG2A24109013747,1,Positive Imbalance Above 10 Rate, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,,,,,,,16,UPG2A24109013747,1,Positive Imbalance Above 10 Rate, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,1,0,6,0,C,TC,17,UPG2A25109003991,1,Transmission Charge, 	(28-AUG-2025 12:05:41)
2,4,1,0,6,0,C,TC,18,UPG2A25109004015,1,Transmission Charge, 	(28-AUG-2025 12:05:41)
2,4,1,0,6,0,C,TC,18,UPG2A25109004015,2,Positive Imbalance Above 10 Rate, 	(28-AUG-2025 12:05:41)
2,4,1,0,6,0,C,TC,18,UPG2A25109004015,3,Negative Imbalance Above 5 Rate, 	(28-AUG-2025 12:05:41)
2,4,1,0,6,0,C,TC,19,UPG2A25109004020,1,Transmission Charge, 	(28-AUG-2025 12:05:41)
2,4,1,0,6,0,C,TC,19,UPG2A25109004020,2,Positive Imbalance Above 10 Rate, 	(28-AUG-2025 12:05:41)
2,4,1,0,6,0,C,TC,19,UPG2A25109004020,3,Negative Imbalance Above 5 Rate, 	(28-AUG-2025 12:05:41)
2,4,,,,,,,19,UPG2A25109005333,2,Positive Imbalance Above 10 Rate, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,,,,,,,19,UPG2A25109005333,3,Negative Imbalance Above 5 Rate, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,1,0,6,0,C,TC,20,UPG2A25109005471,1,Transmission Charge, 	(28-AUG-2025 12:05:41)
2,4,1,0,6,0,C,TC,20,UPG2A25109005471,2,Positive Imbalance Above 10 Rate, 	(28-AUG-2025 12:05:41)
2,4,1,0,6,0,C,TC,20,UPG2A25109005471,3,Negative Imbalance Above 5 Rate, 	(28-AUG-2025 12:05:41)
2,4,1,0,6,0,C,TC,20,UPG2A25109005471,4,UnAuthorised Overrun Above 10%, 	(28-AUG-2025 12:05:41)
2,4,1,0,6,0,C,TC,21,UPG2A25109005574,1,Transmission Charge, 	(28-AUG-2025 12:05:41)
2,4,1,0,6,0,C,TC,21,UPG2A25109005574,2,Positive Imbalance Above 10 Rate, 	(28-AUG-2025 12:05:41)
2,4,1,0,6,0,C,TC,21,UPG2A25109005574,3,Negative Imbalance Above 5 Rate, 	(28-AUG-2025 12:05:41)
2,4,,,,,,,21,UPG2A25109006425,2,Positive Imbalance Above 10 Rate, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,,,,,,,21,UPG2A25109006425,3,Negative Imbalance Above 5 Rate, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,1,0,6,0,C,TC,22,UPG2A25109006776,1,Transmission Charge, 	(28-AUG-2025 12:05:41)
2,4,1,0,6,0,C,TC,22,UPG2A25109006776,2,Positive Imbalance Above 10 Rate, 	(28-AUG-2025 12:05:41)
2,4,1,0,6,0,C,TC,22,UPG2A25109006776,3,Negative Imbalance Above 5 Rate, 	(28-AUG-2025 12:05:41)
2,4,,,,,,,22,UPG2A25109006831 REF1,1,Transmission Charge, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,1,0,6,0,C,TC,23,UPG2A25109006831,2,Positive Imbalance Above 10 Rate, 	(28-AUG-2025 12:05:41)
2,4,1,0,6,0,C,TC,23,UPG2A25109006831,3,Negative Imbalance Above 5 Rate, 	(28-AUG-2025 12:05:41)
2,4,1,0,6,0,C,TC,23,UPG2A25109006831,4,UnAuthorised Overrun Above 10%, 	(28-AUG-2025 12:05:41)
2,4,,,,,,,23,UPG2A25109009362,2,Positive Imbalance Above 10 Rate, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,,,,,,,23,UPG2A25109009362,3,Negative Imbalance Above 5 Rate, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,1,0,6,0,C,TC,24,UPG2A25109009364,1,Transmission Charge, 	(28-AUG-2025 12:05:41)
2,4,1,0,6,0,C,TC,24,UPG2A25109009364,2,Positive Imbalance Above 10 Rate, 	(28-AUG-2025 12:05:41)
2,4,1,0,6,0,C,TC,24,UPG2A25109009364,3,Negative Imbalance Above 5 Rate, 	(28-AUG-2025 12:05:41)
2,4,1,0,6,0,C,TC,25,UPG2A25109009365,1,Transmission Charge, 	(28-AUG-2025 12:05:41)
2,4,1,0,6,0,C,TC,25,UPG2A25109009365,2,Positive Imbalance Above 10 Rate, 	(28-AUG-2025 12:05:41)
2,4,1,0,6,0,C,TC,25,UPG2A25109009365,3,Negative Imbalance Above 5 Rate, 	(28-AUG-2025 12:05:41)
2,4,,,,,,,25,UPG2A24109002564,1,Positive Imbalance Above 10 Rate, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,1,0,50,0,C,TC,46,UPG2A24109003230,1,Transmission Charge, 	(28-AUG-2025 12:05:41)
2,4,,,,,,,46,UPG2A24109003849,1,Transmission Charge, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,,,,,,,46,UPG2A24109005964,1,Transmission Charge, 	(28-AUG-2025 12:05:41)	 (Not Inserted)
2,4,1,0,50,0,C,TC,47,UPG2A24109007956,1,Transmission Charge, 	(28-AUG-2025 12:05:41)
2,4,1,0,50,0,C,TC,47,UPG2A24109007956,2,Positive Imbalance Above 10 Rate, 	(28-AUG-2025 12:05:41)
