
<<START>>,<<FMS_ENTITY_BU_SVC_TAX_DTL>>,,,, 	(26-FEB-2025 11:54:57)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,ENTITY,PLANT_SEQ_NO,TAX_STRUCT_CD,TIMESTAMP
JMB,1,C,1,5, 	(26-FEB-2025 11:54:57)
JMB,1,C,1,6, 	(26-FEB-2025 11:54:57)
BOXCO,2,C,1,6, 	(26-FEB-2025 11:54:57)
JBB,2,S,1,6, 	(26-FEB-2025 11:54:57)
JBB,2,S,1,6, 	(26-FEB-2025 11:54:57)
JBB,2,S,1,9, 	(26-FEB-2025 11:54:57)
SSAPL,3,S,1,9, 	(26-FEB-2025 11:54:57)

TOTAL DATA EXTRACTED :,7,,,, 	(26-FEB-2025 11:54:57)
 
<<END>>,<<FMS_ENTITY_BU_SVC_TAX_DTL>>,,,, 	(26-FEB-2025 11:54:57)
 
