
<<START>>,<<FMS_GTA_AGMT_MST>>,, 	(09-JUN-2025 09:19:04)
 
COMPANY_CD,ABBR,AGMT_NAME,AGMT_TYPE,TIMESTAMP,
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL DAHEJ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL DAHEJ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL DAHEJ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL DAHEJ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL DAHEJ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL JAYA,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GA ONGCHAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
