
<<START>>,<<FMS_PRODUCT_MOLECULE_MST>>, 	(25-NOV-2025 10:57:20)
 
PROD_CD,PROD_ABBR,TIMESTAMP
Liquified Natural Gas,Liquified Natural Gas, 	(25-NOV-2025 10:57:20)
ReGasified Liquified Natural Gas,ReGasified Liquified Natural Gas, 	(25-NOV-2025 10:57:20)
RLNG-Imported LNG ,RLNG-Imported LNG , 	(25-NOV-2025 10:57:20)
RLNG-In tank purchase ,RLNG-In tank purchase , 	(25-NOV-2025 10:57:20)
RLNG-Third Party,RLNG-Third Party, 	(25-NOV-2025 10:57:20)
Domestic Gas-IGX ,Domestic Gas-IGX , 	(25-NOV-2025 10:57:20)
Domestic Gas-D6,Domestic Gas-D6, 	(25-NOV-2025 10:57:20)
Domestic Gas-CBM,Domestic Gas-CBM, 	(25-NOV-2025 10:57:20)
Domestic Gas-ONGC Gas,Domestic Gas-ONGC Gas, 	(25-NOV-2025 10:57:20)
Domestic Gas-SEMTIPL,Domestic Gas-SEMTIPL, 	(25-NOV-2025 10:57:20)
Domestic Gas-RIL,Domestic Gas-RIL, 	(25-NOV-2025 10:57:20)
Domestic Gas-BP,Domestic Gas-BP, 	(25-NOV-2025 10:57:20)
Domestic Gas-HPCL,Domestic Gas-HPCL, 	(25-NOV-2025 10:57:20)
Domestic Gas-AMNS,Domestic Gas-AMNS, 	(25-NOV-2025 10:57:20)
Domestic Gas,Domestic Gas, 	(25-NOV-2025 10:57:20)
Domestic Gas-D6 CAP,Domestic Gas-D6 CAP, 	(25-NOV-2025 10:57:20)
Domestic Gas-IGX  CAP,Domestic Gas-IGX  CAP, 	(25-NOV-2025 10:57:20)
1,TPLNG, 	(25-NOV-2025 10:57:20)

TOTAL DATA EXTRACTED :,18,  	(25-NOV-2025 10:57:20)
 
<<END>>,<<FMS_PRODUCT_MOLECULE_MST>>, 	(25-NOV-2025 10:57:20)
 
