
<<START>>,<<FMS_SUPPLY_CONT_FILLING_STN>>,,,,,, 	(18-JUN-2025 12:19:27)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,FILL_STATION_CD,TIMESTAMP,
2,COMFIND,1,0,2,1,F,1, 	(18-JUN-2025 12:19:28)
2,COMFIND,1,0,3,0,F,1, 	(18-JUN-2025 12:19:28)
2,BIL,1,0,13,1,F,1, 	(18-JUN-2025 12:19:28)
2,BIL,1,0,14,2,F,1, 	(18-JUN-2025 12:19:28)
2,VIGASLD,1,0,6,0,F,1, 	(18-JUN-2025 12:19:28)
2,VIGASLD,1,0,7,0,F,1, 	(18-JUN-2025 12:19:28)
2,BIL,1,0,12,1,F,1, 	(18-JUN-2025 12:19:28)
2,EXXARO,1,0,10,1,F,1, 	(18-JUN-2025 12:19:28)
2,KINGASP,1,0,1,1,F,4, 	(18-JUN-2025 12:19:28)
2,AGP CGD,1,0,13,1,F,1, 	(18-JUN-2025 12:19:28)
2,KINGASP,1,0,1,2,F,1, 	(18-JUN-2025 12:19:28)
2,BIL,1,0,16,0,F,1, 	(18-JUN-2025 12:19:28)
2,AGP CGD,1,0,14,1,F,1, 	(18-JUN-2025 12:19:28)
2,AGP CGD,1,0,13,0,F,1, 	(18-JUN-2025 12:19:28)
2,MINDA,1,0,10,0,F,1, 	(18-JUN-2025 12:19:28)
2,VIRGO,1,0,15,1,F,1, 	(18-JUN-2025 12:19:28)
2,SGIPL,1,0,7,0,F,1, 	(18-JUN-2025 12:19:28)
2,KINGASP,1,0,4,0,F,1, 	(18-JUN-2025 12:19:28)
2,AGP CGD,1,0,15,0,F,1, 	(18-JUN-2025 12:19:28)
2,MINDA,1,0,9,1,F,1, 	(18-JUN-2025 12:19:28)
2,BIL,1,0,19,1,F,1, 	(18-JUN-2025 12:19:28)
2,HALHFGL,1,0,17,1,F,1, 	(18-JUN-2025 12:19:28)
2,COMFIND,1,0,5,1,F,1, 	(18-JUN-2025 12:19:28)
