
<<START>>,<<FMS_METER_TICKET_READING>>,,,, 	(12-NOV-2025 11:15:24)
 
ABBR, METER_TYPE, METER_ID, GAS_DT,TIMESTAMP,
Gail,S,MSK-1(M1),08/12/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,Ex-Jaya Meter(M1),08/12/2024 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL SKID-2(M2),08/12/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,GAIL SKID-2(M2),17/10/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,ANK-1(M1),17/10/2024 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL SKID-2(M1),16/08/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,GAIL HAZ SEM(M1),03/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL SKID-2(M1),03/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL Gadimoga(M1),03/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,MSK-01(M1),03/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,GAIL SKID-2(M2),24/11/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,ANK-1(M1),24/11/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,MSK-1(M1),24/11/2024 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL SKID-2(M2),24/11/2024 00:00:00, 	(12-NOV-2025 11:15:25)
GSPL,S,PIL BHD(M1),25/11/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,GAIL SKID-2(M2),25/11/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,ANK-1(M1),25/11/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,MSK-1(M1),25/11/2024 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL SKID-2(M2),25/11/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,GAIL SKID-2(M1),16/08/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,ANK-1(M1),16/08/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,MSK-1(M1),16/08/2024 00:00:00, 	(12-NOV-2025 11:15:25)
GSPL,S,GSPL SKID-1 (39FC172)(M1),11/02/2025 00:00:00, 	(12-NOV-2025 11:15:25)
GSINLIM,S,GTIL KUC(M1),25/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,GAIL SKID-2(M1),11/02/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,ANK-1(M1),11/02/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,MSK-1(M1),11/02/2025 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL SKID-2(M1),11/02/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,ANK-1(M1),04/03/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,MSK-1(M1),04/03/2025 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL SKID-2(M1),14/03/2025 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL Gadimoga(M1),14/03/2025 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,MSK-01(M1),14/03/2025 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL Gadimoga(M1),04/03/2025 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,MSK-01(M1),04/03/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,GAIL SKID-2(M1),14/03/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,ANK-1(M1),14/03/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,MSK-1(M1),14/03/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,GAIL SKID-2(M2),19/09/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,ANK-1(M1),19/09/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,MSK-1(M1),19/09/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,GAIL SKID-2(M1),20/09/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,ANK-1(M1),20/09/2024 00:00:00, 	(12-NOV-2025 11:15:25)
GSPL,S,GSPL SKID-1 (39FC172)(M1),03/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
GSPL,S,PIL BHD(M1),03/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,GAIL SKID-2(M1),03/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,ANK-1(M1),03/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,MSK-1(M1),03/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,GAIL SKID-2(M2),18/09/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,ANK-1(M1),18/09/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,MSK-1(M1),18/09/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,MSK-1(M1),11/11/2024 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL SKID-2(M1),11/11/2024 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL Gadimoga(M1),10/12/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,ANK-1(M1),10/12/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,MSK-1(M1),10/12/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,Ex-Jaya Meter(M1),10/12/2024 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL SKID-2(M1),10/12/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,GAIL SKID-2(M1),25/12/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,ANK-1(M1),25/12/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,MSK-1(M1),25/12/2024 00:00:00, 	(12-NOV-2025 11:15:25)
GSPL,S,PIL BHD(M1),24/11/2024 00:00:00, 	(12-NOV-2025 11:15:25)
GSPL,S,GSPL SKID-1 (39FC172)(M1),04/03/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,GAIL SKID-2(M1),04/03/2025 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL SKID-2(M2),07/02/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,GAIL SKID-2(M1),11/11/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,ANK-1(M1),11/11/2024 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL SKID-2(M2),07/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL Gadimoga(M1),07/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,MSK-01(M1),07/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL Gadimoga(M1),07/12/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,Ex-Jaya Meter(M1),02/12/2024 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL SKID-2(M2),02/12/2024 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL Gadimoga(M1),02/12/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,GAIL SKID-2(M2),12/12/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,ANK-1(M1),12/12/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,MSK-1(M1),12/12/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,Ex-Jaya Meter(M1),12/12/2024 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL SKID-2(M2),12/12/2024 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL Gadimoga(M1),12/12/2024 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL SKID-2(M1),10/03/2025 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL Gadimoga(M1),10/03/2025 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,MSK-01(M1),10/03/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,MSK-1(M1),15/03/2025 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL SKID-2(M1),15/03/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,ANK-1(M1),25/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,MSK-1(M1),25/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL SKID-2(M1),25/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL Gadimoga(M1),25/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,MSK-01(M1),25/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
GSPL,S,GSPL SKID-2 (39FC178)(M2),07/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
GSPL,S,PIL BHD(M1),07/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,GAIL SKID-2(M2),07/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,ANK-1(M1),07/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,MSK-1(M1),07/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,GAIL HAZ SEM(M1),07/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
GSPL,S,GSPL SKID-2 (39FC178)(M2),07/02/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,GAIL SKID-2(M2),07/02/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,ANK-1(M1),01/02/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,MSK-1(M1),01/02/2025 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL Gadimoga(M1),01/02/2025 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,MSK-01(M1),01/02/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,ANK-1(M1),07/02/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,MSK-1(M1),07/02/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,GAIL SKID-2(M1),19/11/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,MSK-1(M1),29/10/2024 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL SKID-2(M2),29/10/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,GAIL SKID-2(M2),10/11/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,ANK-1(M1),10/11/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,MSK-1(M1),10/11/2024 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL SKID-2(M2),10/11/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,ANK-1(M1),19/11/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,MSK-1(M1),19/11/2024 00:00:00, 	(12-NOV-2025 11:15:25)
GSPL,S,GSPL SKID-1 (39FC172)(M1),01/02/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,GAIL SKID-2(M1),01/02/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,GAIL SKID-2(M1),02/03/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,ANK-1(M1),02/03/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,MSK-1(M1),02/03/2025 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL SKID-2(M1),02/03/2025 00:00:00, 	(12-NOV-2025 11:15:25)
GSINLIM,S,GTIL KUC(M1),20/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
GSPL,S,GSPL SKID-1 (39FC172)(M1),25/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
GSPL,S,PIL BHD(M1),25/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,GAIL SKID-2(M1),25/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL Gadimoga(M1),02/03/2025 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,MSK-01(M1),02/03/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,GAIL SKID-2(M2),27/03/2025 00:00:00, 	(12-NOV-2025 11:15:25)
GSPL,S,GSPL SKID-1 (39FC172)(M1),02/03/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,GAIL SKID-2(M2),01/10/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,ANK-1(M1),01/10/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,MSK-1(M1),01/10/2024 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL SKID-2(M2),01/10/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,GAIL SKID-2(M2),23/10/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,ANK-1(M1),23/10/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,MSK-1(M1),23/10/2024 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL SKID-2(M2),23/10/2024 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL SKID-2(M1),19/11/2024 00:00:00, 	(12-NOV-2025 11:15:25)
GSPL,S,PIL BHD(M1),19/11/2024 00:00:00, 	(12-NOV-2025 11:15:25)
GSPL,S,PIL BHD(M1),02/12/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,GAIL SKID-2(M2),02/12/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,ANK-1(M1),02/12/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,MSK-1(M1),02/12/2024 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL SKID-2(M2),25/02/2025 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL Gadimoga(M1),25/02/2025 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,MSK-01(M1),25/02/2025 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL SKID-2(M2),18/03/2025 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL Gadimoga(M1),18/03/2025 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,MSK-01(M1),18/03/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,MSK-1(M1),21/11/2024 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL SKID-2(M1),21/11/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,GAIL SKID-2(M1),22/11/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,ANK-1(M1),22/11/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,MSK-1(M1),22/11/2024 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL SKID-2(M1),22/11/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,ANK-1(M1),17/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,MSK-1(M1),17/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL SKID-2(M1),17/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL Gadimoga(M1),17/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,MSK-01(M1),17/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,GAIL SKID-2(M2),18/03/2025 00:00:00, 	(12-NOV-2025 11:15:25)
