
<<START>>,<<FMS_ENTITY_BU_SVC_TAX_DTL>>,,,, 	(13-MAR-2025 09:46:21)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,ENTITY,PLANT_SEQ_NO,TAX_STRUCT_CD,TIMESTAMP
JMB,1,C,1,5, 	(13-MAR-2025 09:46:21)
JMB,1,C,1,6, 	(13-MAR-2025 09:46:21)
BOXCO,2,C,1,6, 	(13-MAR-2025 09:46:21)
JBB,2,S,1,6, 	(13-MAR-2025 09:46:21)
JBB,2,S,1,6, 	(13-MAR-2025 09:46:21)
JBB,2,S,1,9, 	(13-MAR-2025 09:46:21)
SSAPL,3,S,1,9, 	(13-MAR-2025 09:46:21)
SLPL,4,C,1,15, 	(13-MAR-2025 09:46:21)

TOTAL DATA EXTRACTED :,8,,,, 	(13-MAR-2025 09:46:21)
 
<<END>>,<<FMS_ENTITY_BU_SVC_TAX_DTL>>,,,, 	(13-MAR-2025 09:46:21)
 
