
<<START>>,<<FMS_LTCORA_CONT_STRG_CRG>>,,,, 	(17-MAY-2025 18:06:26)
 
COUNTERPARTY_ABBR,BUY_SALE,AGMT_TYPE,AGMT_NO,AGMT_REV,CONTRACT_TYPE,CONT_NO,CONT_REV,SEQ_NO,TIMESTAMP,
4,2,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,3,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,4,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,5,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,6,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,7,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,8,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,9,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,10,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,11,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,12,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,13,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,14,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,15,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,16,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,17,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,18,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,19,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,20,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,21,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,22,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,23,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,24,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,25,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,26,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,27,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,28,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,29,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,30,1,0,K,S, 	(17-MAY-2025 18:06:27)
4,31,1,0,K,L, 	(17-MAY-2025 18:06:27)
4,32,1,0,K,L, 	(17-MAY-2025 18:06:27)
4,33,1,0,K,L, 	(17-MAY-2025 18:06:27)
4,34,1,0,K,L, 	(17-MAY-2025 18:06:27)
4,35,1,0,K,L, 	(17-MAY-2025 18:06:27)
4,36,1,0,K,L, 	(17-MAY-2025 18:06:27)
4,37,1,0,K,L, 	(17-MAY-2025 18:06:27)
4,38,1,0,K,L, 	(17-MAY-2025 18:06:27)
4,39,1,0,K,L, 	(17-MAY-2025 18:06:27)
4,40,1,0,K,L, 	(17-MAY-2025 18:06:27)
4,41,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,1,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,2,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,3,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,4,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,5,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,6,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,7,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,8,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,9,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,10,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,11,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,12,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,13,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,14,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,15,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,16,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,17,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,18,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,19,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,20,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,21,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,22,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,23,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,24,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,25,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,26,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,27,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,28,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,29,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,30,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,31,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,32,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,33,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,34,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,35,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,36,1,0,K,S, 	(17-MAY-2025 18:06:27)
7,37,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,38,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,39,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,40,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,41,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,42,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,43,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,44,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,45,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,46,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,47,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,48,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,49,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,50,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,51,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,1,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,2,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,3,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,4,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,5,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,6,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,7,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,8,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,9,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,10,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,11,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,12,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,13,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,14,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,15,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,16,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,17,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,18,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,19,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,20,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,21,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,22,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,23,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,24,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,25,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,26,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,27,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,28,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,29,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,30,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,31,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,32,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,33,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,34,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,35,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,36,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,37,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,38,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,39,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,40,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,41,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,42,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,43,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,44,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,45,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,46,1,0,K,L, 	(17-MAY-2025 18:06:27)
