

<<START>>,<<FMS_GTA_FFLOW_INV_MST>>,,, 	(19-AUG-2025 12:23:51)
Gail,16-1-1-16-1604-1101,FGSA,UPG2A24109013478,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1604-1101,FGSA,UPG2A24109013479,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1604-1101,FGSA,UPG2A24109015309,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1604-1101,FGSA,UPG2A24109015382,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1604-1101,FGSA,UPG2A24109017485,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1604-1101,FGSA,UPG2A24109017752,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1604-1101,FGSA,UPG2A24109017752,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1603-381,FGSA,UPG2A23109003194,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1603-381,FGSA,UPG2A23109003627,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1604-542,FGSA,UPG2A23109017267,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1604-1101,FGSA,UPG2A25109000626,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1604-1101,FGSA,UPG2A25109000627,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1604-1101,FGSA,UPG2A25109000918,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1604-1101,FGSA,UPG2A25109000920,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1604-1101,FGSA,UPG2A25109002684,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1604-1101,FGSA,UPG2A25109002685,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1604-1101,FGSA,UPG2A25109002860,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1604-1101,FGSA,UPG2A25109002861,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1603-381,FGSA,UPG2A23109008904,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1603-381,FGSA,UPG2A23109008904,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1603-381,FGSA,UPG2A23109010046,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1603-381,FGSA,UPG2A23109010683,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1603-381,FGSA,UPG2A23109011270,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1603-381,FGSA,UPG2A23109013255,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1603-381,FGSA,UPG2A23109014238,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1603-381,FGSA,UPG2A23109017357,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-581,FGSA,UPG2A24109012607,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-581,FGSA,UPG2A24109013579,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-581,FGSA,UPG2A24109020468,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1603-581,FGSA,UPG2A24109003988,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1603-581,FGSA,UPG2A24109012606,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1603-581,FGSA,UPG2A24109013747,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1604-1101,FGSA,UPG2A25109003991,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1604-1101,FGSA,UPG2A25109004015,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1604-1101,FGSA,UPG2A25109004020,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1604-1101,FGSA,UPG2A25109004020,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1604-1101,FGSA,UPG2A25109005471,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1604-1101,FGSA,UPG2A25109005574,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1604-1101,FGSA,UPG2A25109006776,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1604-1101,FGSA,UPG2A25109006776,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1604-1101,FGSA,UPG2A25109006831,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1604-1101,FGSA,UPG2A25109009364,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1604-1101,FGSA,UPG2A25109009365,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-381,FGSA,UPG2A24109002564,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1603-381,FGSA,UPG2A24109007956,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1603-701,FGSA,UPG2A23109011759,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1603-392,FGSA,UPG2A23109007850,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109000073,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109000303,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109004236,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109004237,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109004636,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109004846,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109004847,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109004847,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109005726,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109005726,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109005742,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109007220,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109007221,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109007221,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109008171,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109008172,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109008172,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109008766,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109008766,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109008767,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109011730,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109011732,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109013648,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109013650,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109014700,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109015922,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109015929,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109017273,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1607-701,FGSA,UPG2A24109000074,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1607-701,FGSA,UPG2A24109000304,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1607-701,FGSA,UPG2A24109001036,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1608-701,FGSA,UPG2A24109017278,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1603-701,FGSA,UPG2A23109016592,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1603-701,FGSA,UPG2A23109017486,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1603-701,FGSA,UPG2A23109017520,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1603-701,FGSA,UPG2A24109009692,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1603-701,FGSA,UPG2A24109011729,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1603-701,FGSA,UPG2A24109011731,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1603-701,FGSA,UPG2A24109014699,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1603-701,FGSA,UPG2A24109014701,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1603-701,FGSA,UPG2A24109014702,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1603-701,FGSA,UPG2A24109014799,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1603-701,FGSA,UPG2A24109014826,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1603-701,FGSA,UPG2A24109016522,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1603-701,FGSA,UPG2A24109017449,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-381,FGSA,UPG2A24109007189,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1604-881,FGSA,UPG2A23109004889,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1604-881,FGSA,UPG2A23109004889,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1604-881,FGSA,UPG2A23109005570,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1604-881,FGSA,UPG2A23109005613,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1604-881,FGSA,UPG2A23109005613,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1604-881,FGSA,UPG2A23109005613,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-391,FGSA,UPG2A24109024007,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-391,FGSA,UPG2A24109024017,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-371,FGSA,UPG2A23109016534,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-372,FGSA,UPG2A23109016665,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1603-372,FGSA,UPG2A23109007814,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-348,FGSA,UPG2A23109004747,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1604-349,FGSA,UPG2A23109004748,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1603-371,FGSA,UPG2A24109011721,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1603-371,FGSA,UPG2A24109011722,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1603-372,FGSA,UPG2A24109024020,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1603-372,FGSA,UPG2A24109024022,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1603-372,FGSA,UPG2A24109025262,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-371,FGSA,UPG2A24109013367,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-371,FGSA,UPG2A24109013368,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-371,FGSA,UPG2A24109014671,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-371,FGSA,UPG2A24109014673,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-371,FGSA,UPG2A24109021627,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-371,FGSA,UPG2A24109021628,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-372,FGSA,UPG2A24109021637,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-372,FGSA,UPG2A24109021638,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1606-372,FGSA,UPG2A25109009355,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1604-333,FGSA,UPG2A23109004659,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1606-332,FGSA,UPG2A23109007139,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1603-332,FGSA,UPG2A23109010924,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1603-332,FGSA,UPG2A23109010925,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1604-333,FGSA,UPG2A23109013301,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-1211,Tender,UPG2A23109007478,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-1211,Tender,UPG2A23109007478,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-1211,Tender,UPG2A23109007989,TC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-1211,Tender,UPG2A23109008796,IC, 	(19-AUG-2025 12:23:52)
Gail,16-1-1-16-1601-1201,Tender,UPG2A23109012053,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-1211,Tender,UPG2A24109020368,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-1211,Tender,UPG2A24109020370,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-1211,Tender,UPG2A24109020371,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1606-892,Tender,UPG2A23109012526,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-292,Tender,UPG2A24109020631,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-292,Tender,UPG2A24109020632,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-292,Tender,UPG2A24109020633,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-1032,Tender,UPG2A24109020306,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-1032,Tender,UPG2A24109020307,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-1032,Tender,UPG2A24109020308,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-5-16-1603-861,Trans,UPG2A22109006201,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-16-16-1605-10000165,Trans,UPG2A23109017553,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1604-721,Tender,UPG2A23109016854,IC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1604-721,Tender,UPG2A23109016855,IC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1604-721,Tender,UPG2A23109017634,IC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1604-721,Tender,UPG2A23109017635,IC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1604-721,Tender,UPG2A23109017667,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-412,Tender,UPG2A24109021004,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-412,Tender,UPG2A24109021005,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-412,Tender,UPG2A24109021006,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1603-722,Tender,UPG2A24109019181,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-24-16-1604-333,Trans,UPG2A23109000385,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-722,Tender,UPG2A24109024315,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-722,Tender,UPG2A24109024316,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1604-1135,Tender,UPG2A25109000475,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1604-1135,Tender,UPG2A25109000476,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1604-1135,Tender,UPG2A25109000477,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1604-1135,Tender,UPG2A25109000478,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1604-1135,Tender,UPG2A25109000898,IC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1604-1135,Tender,UPG2A25109002330,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1604-1135,Tender,UPG2A25109002332,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1604-1135,Tender,UPG2A25109002333,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1604-1135,Tender,UPG2A25109002334,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-1132,Tender,UPG2A25109000471,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-1132,Tender,UPG2A25109002322,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-1132,Tender,UPG2A25109002324,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-1132,Tender,UPG2A25109002325,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-1132,Tender,UPG2A25109002326,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1604-1134,Tender,UPG2A25109009153,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1604-1135,Tender,UPG2A25109009159,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1604-1135,Tender,UPG2A25109009160,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1606-91,Tender,UPG2A23109012832,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-43-16-1604-1141,Trans,UPG2A23109003577,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-44-16-1604-881,Trans,UPG2A23109003060,IC, 	(19-AUG-2025 12:23:53)
Gail,16-1-44-16-1604-881,Trans,UPG2A23109003060,IC, 	(19-AUG-2025 12:23:53)
Gail,16-1-44-16-1604-881,Trans,UPG2A23109003060,IC, 	(19-AUG-2025 12:23:53)
Gail,16-1-44-16-1604-881,Trans,UPG2A23109003117,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-54-16-1603-392,Trans,UPG2A23109001920,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-56-16-1604-881,Trans,UPG2A23109003059,IC, 	(19-AUG-2025 12:23:53)
Gail,16-1-56-16-1604-881,Trans,UPG2A23109003059,IC, 	(19-AUG-2025 12:23:53)
Gail,16-1-56-16-1604-881,Trans,UPG2A23109003116,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-57-16-1601-84,Trans,UPG2A23109004520,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-64-16-1604-333,Trans,UPG2A23109009990,IC, 	(19-AUG-2025 12:23:53)
Gail,16-1-65-16-1603-333,Trans,UPG2A23109009207,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-67-16-1604-261,Trans,UPG2A23109009199,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-69-16-1603-332,Trans,UPG2A23109009861,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-70-16-1603-892,Trans,UPG2A23109009741,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-75-16-1603-701,Trans,UPG2A24109017280,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-78-16-1601-451,Trans,UPG2A24109023093,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-81,Tender,UPG2A23109004307,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-81,Tender,UPG2A23109004307,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-82,Tender,UPG2A23109003668,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-83,Tender,UPG2A23109003542,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-84,Tender,UPG2A23109004013,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-84,Tender,UPG2A23109004013,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-85,Tender,UPG2A23109003649,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-85,Tender,UPG2A23109003934,IC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-82,Tender,UPG2A23109005598,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-82,Tender,UPG2A23109005598,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-83,Tender,UPG2A23109004703,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-83,Tender,UPG2A23109004704,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-83,Tender,UPG2A23109005411,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-84,Tender,UPG2A23109005368,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-81,Tender,UPG2A23109004914,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-81,Tender,UPG2A23109005786,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-81,Tender,UPG2A23109005786,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-83,Tender,UPG2A23109007181,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-83,Tender,UPG2A23109007669,IC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-84,Tender,UPG2A23109008808,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-84,Tender,UPG2A23109009611,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-84,Tender,UPG2A23109010075,IC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-83,Tender,UPG2A23109009007,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-81,Tender,UPG2A23109012507,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-81,Tender,UPG2A23109012647,IC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-82,Tender,UPG2A23109012479,IC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-82,Tender,UPG2A23109012482,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-81,Tender,UPG2A23109013293,IC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-81,Tender,UPG2A23109013339,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-81,Tender,UPG2A23109013994,IC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-81,Tender,UPG2A23109014033,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-82,Tender,UPG2A23109013488,IC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-82,Tender,UPG2A23109013527,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-82,Tender,UPG2A23109014409,IC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1601-82,Tender,UPG2A23109014520,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1604-811,Tender,UPG2A23109015077,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1604-811,Tender,UPG2A23109015214,IC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1604-810,Tender,UPG2A23109015260,IC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1604-810,Tender,UPG2A24109013982,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1604-88,Tender,UPG2A23109015347,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1604-87,Tender,UPG2A23109016242,TC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1604-89,Tender,UPG2A23109015479,IC, 	(19-AUG-2025 12:23:53)
Gail,16-1-1-16-1604-89,Tender,UPG2A24109013998,TC, 	(19-AUG-2025 12:23:53)
