
<<START>>,<<FMS_TRADER_CONT_BU>>, 	(31-AUG-2025 10:55:20)
 
TRADER_ABBR,FGSA_NO,FGSA_REV_NO,SN_NO,SN_REV_NO,TIMESTAMP
RIL,0,0,11,0, 	(31-AUG-2025 10:55:21)
RIL,0,0,12,0, 	(31-AUG-2025 10:55:21)
RIL,0,0,13,2, 	(31-AUG-2025 10:55:21)
RIL,0,0,13,2, 	(31-AUG-2025 10:55:21)
RIL,0,0,13,1, 	(31-AUG-2025 10:55:21)
RIL,0,0,13,0, 	(31-AUG-2025 10:55:21)
RIL,0,0,14,2, 	(31-AUG-2025 10:55:21)
RIL,0,0,14,2, 	(31-AUG-2025 10:55:21)
RIL,0,0,14,1, 	(31-AUG-2025 10:55:21)
RIL,0,0,14,0, 	(31-AUG-2025 10:55:21)
RIL,0,0,15,1, 	(31-AUG-2025 10:55:21)
RIL,0,0,15,0, 	(31-AUG-2025 10:55:21)
RIL,0,0,16,1, 	(31-AUG-2025 10:55:21)
RIL,0,0,16,0, 	(31-AUG-2025 10:55:21)
RIL,0,0,17,1, 	(31-AUG-2025 10:55:21)
RIL,0,0,17,0, 	(31-AUG-2025 10:55:21)
RIL,0,0,18,1, 	(31-AUG-2025 10:55:21)
RIL,0,0,18,0, 	(31-AUG-2025 10:55:21)
RIL,0,0,1,4, 	(31-AUG-2025 10:55:21)
RIL,0,0,1,4, 	(31-AUG-2025 10:55:21)
RIL,0,0,1,4, 	(31-AUG-2025 10:55:21)
RIL,0,0,1,4, 	(31-AUG-2025 10:55:21)
RIL,0,0,1,4, 	(31-AUG-2025 10:55:21)
RIL,0,0,1,4, 	(31-AUG-2025 10:55:21)
RIL,0,0,1,4, 	(31-AUG-2025 10:55:21)
RIL,0,0,1,4, 	(31-AUG-2025 10:55:21)
RIL,0,0,1,4, 	(31-AUG-2025 10:55:21)
RIL,0,0,1,4, 	(31-AUG-2025 10:55:21)
RIL,0,0,1,4, 	(31-AUG-2025 10:55:21)
RIL,0,0,1,4, 	(31-AUG-2025 10:55:21)
RIL,0,0,1,4, 	(31-AUG-2025 10:55:21)
RIL,0,0,1,4, 	(31-AUG-2025 10:55:21)
RIL,0,0,1,4, 	(31-AUG-2025 10:55:21)
RIL,0,0,1,4, 	(31-AUG-2025 10:55:21)
RIL,0,0,1,4, 	(31-AUG-2025 10:55:21)
RIL,0,0,1,4, 	(31-AUG-2025 10:55:21)
RIL,0,0,1,4, 	(31-AUG-2025 10:55:21)
RIL,0,0,1,4, 	(31-AUG-2025 10:55:21)
RIL,0,0,1,4, 	(31-AUG-2025 10:55:21)
RIL,0,0,1,4, 	(31-AUG-2025 10:55:21)
RIL,0,0,1,4, 	(31-AUG-2025 10:55:21)
RIL,0,0,1,4, 	(31-AUG-2025 10:55:21)
RIL,0,0,1,4, 	(31-AUG-2025 10:55:21)
RIL,0,0,1,4, 	(31-AUG-2025 10:55:21)
RIL,0,0,1,4, 	(31-AUG-2025 10:55:21)
RIL,0,0,1,4, 	(31-AUG-2025 10:55:21)
RIL,0,0,1,4, 	(31-AUG-2025 10:55:21)
RIL,0,0,1,4, 	(31-AUG-2025 10:55:21)
RIL,0,0,1,4, 	(31-AUG-2025 10:55:21)
RIL,0,0,1,4, 	(31-AUG-2025 10:55:21)
RIL,0,0,1,4, 	(31-AUG-2025 10:55:21)
RIL,0,0,1,4, 	(31-AUG-2025 10:55:21)
RIL,0,0,1,4, 	(31-AUG-2025 10:55:21)
RIL,0,0,1,4, 	(31-AUG-2025 10:55:21)
