
<<START>>,<<FMS_ENTITY_TAX_STRUCT_DTL>>,,, 	(26-FEB-2025 11:52:53)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,ENTITY,PLANT_SEQ_NO,TIMESTAMP
GSPCL,3,C,1, 	(26-FEB-2025 11:52:53)
Kribhco,9,C,1, 	(26-FEB-2025 11:52:53)
SIGIL,16,C,1, 	(26-FEB-2025 11:52:53)
GGCL,19,C,1, 	(26-FEB-2025 11:52:53)
WMSL,21,C,1, 	(26-FEB-2025 11:52:53)
MNGL,22,C,1, 	(26-FEB-2025 11:52:53)
BPCL,24,C,1, 	(26-FEB-2025 11:52:53)
TEL,25,C,1, 	(26-FEB-2025 11:52:53)

TOTAL DATA EXTRACTED :,8,,, 	(26-FEB-2025 11:52:53)
 
<<END>>,<<FMS_ENTITY_TAX_STRUCT_DTL>>,,, 	(26-FEB-2025 11:52:53)
 
