
<<START>>,<<LOG_SUPPLY_CONT_MST>>,,, 	(28-APR-2025 12:02:26)
 
COUNTERPARTY_ABBR,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
MGL,S,0, 	(28-APR-2025 12:02:27)
MGL,S,0, 	(28-APR-2025 12:02:27)
MGL,S,0, 	(28-APR-2025 12:02:27)
MGL,S,0, 	(28-APR-2025 12:02:27)
MGL,S,0, 	(28-APR-2025 12:02:27)
MGL,S,0, 	(28-APR-2025 12:02:27)
MGL,S,0, 	(28-APR-2025 12:02:27)
MGL,S,0, 	(28-APR-2025 12:02:27)
MGL,S,0, 	(28-APR-2025 12:02:27)
MGL,S,2, 	(28-APR-2025 12:02:27)
MGL,S,2, 	(28-APR-2025 12:02:27)
MGL,S,2, 	(28-APR-2025 12:02:27)
MGL,S,0, 	(28-APR-2025 12:02:27)
MGL,S,0, 	(28-APR-2025 12:02:27)
MGL,S,0, 	(28-APR-2025 12:02:27)
MGL,S,0, 	(28-APR-2025 12:02:27)
MGL,S,0, 	(28-APR-2025 12:02:27)
MGL,S,0, 	(28-APR-2025 12:02:27)
MGL,S,0, 	(28-APR-2025 12:02:27)
MGL,S,0, 	(28-APR-2025 12:02:27)
MGL,S,0, 	(28-APR-2025 12:02:27)
MGL,S,0, 	(28-APR-2025 12:02:27)
MGL,S,0, 	(28-APR-2025 12:02:27)
MGL,S,2, 	(28-APR-2025 12:02:27)
MGL,S,2, 	(28-APR-2025 12:02:27)
MGL,S,2, 	(28-APR-2025 12:02:27)
MGL,S,2, 	(28-APR-2025 12:02:27)
MGL,S,2, 	(28-APR-2025 12:02:27)
MGL,S,2, 	(28-APR-2025 12:02:27)
MGL,S,2, 	(28-APR-2025 12:02:27)
MGL,S,2, 	(28-APR-2025 12:02:27)
MGL,S,2, 	(28-APR-2025 12:02:27)
MGL,S,2, 	(28-APR-2025 12:02:27)
MGL,S,2, 	(28-APR-2025 12:02:27)
MGL,S,2, 	(28-APR-2025 12:02:27)
MGL,S,2, 	(28-APR-2025 12:02:27)
MGL,S,2, 	(28-APR-2025 12:02:27)
MGL,S,2, 	(28-APR-2025 12:02:27)
MGL,S,2, 	(28-APR-2025 12:02:27)
MGL,S,2, 	(28-APR-2025 12:02:27)
MGL,S,2, 	(28-APR-2025 12:02:27)
MGL,K,2, 	(28-APR-2025 12:02:27)
MGL,K,2, 	(28-APR-2025 12:02:27)
MGL,K,2, 	(28-APR-2025 12:02:27)
MGL,K,2, 	(28-APR-2025 12:02:27)
MGL,K,2, 	(28-APR-2025 12:02:27)
MGL,K,2, 	(28-APR-2025 12:02:27)
MGL,K,2, 	(28-APR-2025 12:02:27)
MGL,K,2, 	(28-APR-2025 12:02:27)
MGL,K,2, 	(28-APR-2025 12:02:27)
MGL,K,2, 	(28-APR-2025 12:02:27)
MGL,K,2, 	(28-APR-2025 12:02:27)
MGL,K,2, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:27)
GSPCL,S,3, 	(28-APR-2025 12:02:28)
GSPCL,S,3, 	(28-APR-2025 12:02:28)
GSPCL,S,3, 	(28-APR-2025 12:02:28)
GSPCL,S,3, 	(28-APR-2025 12:02:28)
GSPCL,S,3, 	(28-APR-2025 12:02:28)
GSPCL,S,3, 	(28-APR-2025 12:02:28)
GSPCL,S,3, 	(28-APR-2025 12:02:28)
GSPCL,S,3, 	(28-APR-2025 12:02:28)
GSPCL,S,3, 	(28-APR-2025 12:02:28)
GSPCL,S,3, 	(28-APR-2025 12:02:28)
GSPCL,S,3, 	(28-APR-2025 12:02:28)
GSPCL,S,3, 	(28-APR-2025 12:02:28)
GSPCL,S,3, 	(28-APR-2025 12:02:28)
GSPCL,S,3, 	(28-APR-2025 12:02:28)
GSPCL,S,3, 	(28-APR-2025 12:02:28)
GSPCL,S,3, 	(28-APR-2025 12:02:28)
GSPCL,S,3, 	(28-APR-2025 12:02:28)
GSPCL,S,4, 	(28-APR-2025 12:02:28)
GSPCL,S,4, 	(28-APR-2025 12:02:28)
GSPCL,S,4, 	(28-APR-2025 12:02:28)
GSPCL,S,4, 	(28-APR-2025 12:02:28)
GSPCL,S,4, 	(28-APR-2025 12:02:28)
GSPCL,S,4, 	(28-APR-2025 12:02:28)
Gail,S,1, 	(28-APR-2025 12:02:28)
Gail,S,1, 	(28-APR-2025 12:02:28)
Gail,S,1, 	(28-APR-2025 12:02:28)
Gail,S,1, 	(28-APR-2025 12:02:28)
Gail,S,1, 	(28-APR-2025 12:02:28)
Gail,S,1, 	(28-APR-2025 12:02:28)
Gail,S,1, 	(28-APR-2025 12:02:28)
Gail,S,1, 	(28-APR-2025 12:02:28)
Gail,S,1, 	(28-APR-2025 12:02:28)
Gail,S,1, 	(28-APR-2025 12:02:28)
Gail,S,1, 	(28-APR-2025 12:02:28)
Gail,S,1, 	(28-APR-2025 12:02:28)
Gail,S,1, 	(28-APR-2025 12:02:28)
Gail,S,1, 	(28-APR-2025 12:02:28)
Gail,S,1, 	(28-APR-2025 12:02:28)
Gail,S,1, 	(28-APR-2025 12:02:28)
Gail,S,1, 	(28-APR-2025 12:02:28)
Gail,S,1, 	(28-APR-2025 12:02:28)
Gail,S,1, 	(28-APR-2025 12:02:28)
Gail,S,1, 	(28-APR-2025 12:02:28)
