
<<START>>,<<FMS_ENTITY_SERVICE_TAX_DTL>>,,,, 	(19-AUG-2025 15:06:43)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,ENTITY,PLANT_SEQ_NO,TAX_STRUCT_CD,TIMESTAMP
NTPC,8,C,4,CST TIN No., 	(19-AUG-2025 15:06:53)
NTPC,8,C,4,PAN No., 	(19-AUG-2025 15:06:53)
NTPC,8,C,5,PAN No., 	(19-AUG-2025 15:06:53)
NTPC,8,C,5,GSTIN, 	(19-AUG-2025 15:06:53)
NTPC,8,C,5,CST TIN No., 	(19-AUG-2025 15:06:53)
NTPC,8,C,6,CST TIN No., 	(19-AUG-2025 15:06:53)
NTPC,8,C,6,GSTIN, 	(19-AUG-2025 15:06:53)
NTPC,8,C,6,PAN No., 	(19-AUG-2025 15:06:53)
NTPC,8,C,7,CST TIN No., 	(19-AUG-2025 15:06:53)
NTPC,8,C,7,GVAT TIN No., 	(19-AUG-2025 15:06:53)
NTPC,8,C,7,PAN No., 	(19-AUG-2025 15:06:53)
NTPC,8,C,7,GSTIN, 	(19-AUG-2025 15:06:53)
NTPC,8,C,8,GSTIN, 	(19-AUG-2025 15:06:53)
NTPC,8,C,8,PAN No., 	(19-AUG-2025 15:06:53)
NTPC,8,C,8,GVAT TIN No., 	(19-AUG-2025 15:06:53)
NTPC,8,C,8,CST TIN No., 	(19-AUG-2025 15:06:53)
NTPC,8,C,9,GSTIN, 	(19-AUG-2025 15:06:53)
NTPC,8,C,9,PAN No., 	(19-AUG-2025 15:06:53)
NTPC,8,C,9,CST TIN No., 	(19-AUG-2025 15:06:53)
NTPC,8,C,10,GSTIN, 	(19-AUG-2025 15:06:53)
NTPC,8,C,10,CST TIN No., 	(19-AUG-2025 15:06:53)
NTPC,8,C,10,PAN No., 	(19-AUG-2025 15:06:53)
NTPC,8,C,11,GSTIN, 	(19-AUG-2025 15:06:53)
NTPC,8,C,11,PAN No., 	(19-AUG-2025 15:06:53)
NTPC,8,C,11,CST TIN No., 	(19-AUG-2025 15:06:53)
NTPC,8,C,12,GSTIN, 	(19-AUG-2025 15:06:53)
NTPC,8,C,12,CST TIN No., 	(19-AUG-2025 15:06:53)
NTPC,8,C,12,PAN No., 	(19-AUG-2025 15:06:53)
KRIBHCO,9,C,1,PAN No., 	(19-AUG-2025 15:06:53)
KRIBHCO,9,C,1,GVAT TIN No., 	(19-AUG-2025 15:06:53)
KRIBHCO,9,C,1,GSTIN, 	(19-AUG-2025 15:06:53)
KRIBHCO,9,C,2,GSTIN, 	(19-AUG-2025 15:06:53)
KRIBHCO,9,C,2,PAN No., 	(19-AUG-2025 15:06:53)
KRIBHCO,9,C,2,GVAT TIN No., 	(19-AUG-2025 15:06:53)
DFPCL,10,C,1,VAT TIN No., 	(19-AUG-2025 15:06:53)
DFPCL,10,C,1,GSTIN, 	(19-AUG-2025 15:06:53)
DFPCL,10,C,1,CST TIN No., 	(19-AUG-2025 15:06:53)
DFPCL,10,C,1,PAN No., 	(19-AUG-2025 15:06:53)
AIGL,11,C,1,VAT TIN No., 	(19-AUG-2025 15:06:53)
AIGL,11,C,1,PAN No., 	(19-AUG-2025 15:06:53)
AIGL,11,C,1,CST TIN No., 	(19-AUG-2025 15:06:53)
AIGL,11,C,1,GSTIN, 	(19-AUG-2025 15:06:53)
KFL,13,C,1,CST TIN No., 	(19-AUG-2025 15:06:53)
NPL,15,C,1,CST TIN No., 	(19-AUG-2025 15:06:53)
SIGIL,16,C,1,CST TIN No., 	(19-AUG-2025 15:06:53)
VIL,17,C,1,CST TIN No., 	(19-AUG-2025 15:06:53)
TPL,20,C,1,GSTIN, 	(19-AUG-2025 15:06:53)
TPL,20,C,1,CST TIN No., 	(19-AUG-2025 15:06:53)
TPL,20,C,1,GSTIN, 	(19-AUG-2025 15:06:53)
TPL,20,C,1,PAN No., 	(19-AUG-2025 15:06:53)
TPL,20,C,1,GVAT TIN No., 	(19-AUG-2025 15:06:53)
MNGL,22,C,1,CST TIN No., 	(19-AUG-2025 15:06:53)
MNGL,22,C,1,VAT TIN No., 	(19-AUG-2025 15:06:53)
MNGL,22,C,1,PAN No., 	(19-AUG-2025 15:06:53)
IGL,23,C,1,CST TIN No., 	(19-AUG-2025 15:06:53)
IGL,23,C,1,VAT TIN No., 	(19-AUG-2025 15:06:53)
IGL,23,C,1,PAN No., 	(19-AUG-2025 15:06:53)
IGL,23,C,1,GSTIN, 	(19-AUG-2025 15:06:53)
IGL,23,C,2,GSTIN, 	(19-AUG-2025 15:06:53)
IGL,23,C,2,CST TIN No., 	(19-AUG-2025 15:06:53)
IGL,23,C,2,VAT TIN No., 	(19-AUG-2025 15:06:53)
IGL,23,C,2,PAN No., 	(19-AUG-2025 15:06:53)
IGL,23,C,3,PAN No., 	(19-AUG-2025 15:06:53)
IGL,23,C,3,CST TIN No., 	(19-AUG-2025 15:06:53)
IGL,23,C,3,GVAT TIN No., 	(19-AUG-2025 15:06:53)
IGL,23,C,4,GSTIN, 	(19-AUG-2025 15:06:53)
IGL,23,C,4,PAN No., 	(19-AUG-2025 15:06:53)
IGL,23,C,4,CST TIN No., 	(19-AUG-2025 15:06:53)
IGL,23,C,5,CST TIN No., 	(19-AUG-2025 15:06:53)
IGL,23,C,5,PAN No., 	(19-AUG-2025 15:06:53)
IGL,23,C,5,GSTIN, 	(19-AUG-2025 15:06:53)
IGL,23,C,6,PAN No., 	(19-AUG-2025 15:06:53)
IGL,23,C,6,CST TIN No., 	(19-AUG-2025 15:06:53)
IGL,23,C,7,GSTIN, 	(19-AUG-2025 15:06:53)
IGL,23,C,7,VAT TIN No., 	(19-AUG-2025 15:06:53)
IGL,23,C,7,CST TIN No., 	(19-AUG-2025 15:06:53)
IGL,23,C,7,PAN No., 	(19-AUG-2025 15:06:53)
BPCL,24,C,1,GSTIN, 	(19-AUG-2025 15:06:53)
BPCL,24,C,1,PAN No., 	(19-AUG-2025 15:06:53)
BPCL,24,C,1,CST TIN No., 	(19-AUG-2025 15:06:53)
BPCL,24,C,1,VAT TIN No., 	(19-AUG-2025 15:06:53)
BPCL,24,C,1,GVAT TIN No., 	(19-AUG-2025 15:06:53)
BPCL,24,C,2,PAN No., 	(19-AUG-2025 15:06:53)
BPCL,24,C,2,VAT TIN No., 	(19-AUG-2025 15:06:53)
BPCL,24,C,2,CST TIN No., 	(19-AUG-2025 15:06:53)
BPCL,24,C,3,PAN No., 	(19-AUG-2025 15:06:53)
BPCL,24,C,3,CST TIN No., 	(19-AUG-2025 15:06:53)
BPCL,24,C,3,VAT TIN No., 	(19-AUG-2025 15:06:53)
BPCL,24,C,3,GSTIN, 	(19-AUG-2025 15:06:53)
BPCL,24,C,4,CST TIN No., 	(19-AUG-2025 15:06:53)
BPCL,24,C,4,VAT TIN No., 	(19-AUG-2025 15:06:53)
BPCL,24,C,4,GSTIN, 	(19-AUG-2025 15:06:53)
BPCL,24,C,4,PAN No., 	(19-AUG-2025 15:06:53)
BPCL,24,C,4,GSTIN, 	(19-AUG-2025 15:06:53)
HPCL,26,C,1,VAT TIN No., 	(19-AUG-2025 15:06:53)
HPCL,26,C,1,CST TIN No., 	(19-AUG-2025 15:06:53)
HPCL,26,C,1,PAN No., 	(19-AUG-2025 15:06:53)
HPCL,26,C,1,GSTIN, 	(19-AUG-2025 15:06:53)
HPCL,26,C,1,GSTIN, 	(19-AUG-2025 15:06:53)
HPCL,26,C,2,GVAT TIN No., 	(19-AUG-2025 15:06:53)
HPCL,26,C,2,CST TIN No., 	(19-AUG-2025 15:06:53)
HPCL,26,C,2,PAN No., 	(19-AUG-2025 15:06:53)
HPCL,26,C,2,GSTIN, 	(19-AUG-2025 15:06:53)
HPCL,26,C,3,VAT TIN No., 	(19-AUG-2025 15:06:53)
HPCL,26,C,3,PAN No., 	(19-AUG-2025 15:06:53)
HPCL,26,C,4,GVAT TIN No., 	(19-AUG-2025 15:06:53)
HPCL,26,C,4,GSTIN, 	(19-AUG-2025 15:06:53)
HPCL,26,C,4,PAN No., 	(19-AUG-2025 15:06:53)
HPCL,26,C,4,GSTIN, 	(19-AUG-2025 15:06:53)
HPCL,26,C,4,CST TIN No., 	(19-AUG-2025 15:06:53)
HPCL,26,C,5,GSTIN, 	(19-AUG-2025 15:06:53)
HPCL,26,C,5,CST TIN No., 	(19-AUG-2025 15:06:53)
HPCL,26,C,5,PAN No., 	(19-AUG-2025 15:06:53)
GSFC,29,C,1,GSTIN, 	(19-AUG-2025 15:06:53)
GSFC,29,C,1,PAN No., 	(19-AUG-2025 15:06:53)
GSFC,29,C,1,GVAT TIN No., 	(19-AUG-2025 15:06:53)
GSFC,29,C,2,PAN No., 	(19-AUG-2025 15:06:53)
GSFC,29,C,2,GSTIN, 	(19-AUG-2025 15:06:53)
GSFC,29,C,2,GVAT TIN No., 	(19-AUG-2025 15:06:53)
H-Energy,30,C,1,PAN No., 	(19-AUG-2025 15:06:53)
H-Energy,30,C,1,CST TIN No., 	(19-AUG-2025 15:06:53)
H-Energy,30,C,1,GVAT TIN No., 	(19-AUG-2025 15:06:53)
H-Energy,30,C,2,PAN No., 	(19-AUG-2025 15:06:53)
H-Energy,30,C,2,GVAT TIN No., 	(19-AUG-2025 15:06:53)
H-Energy,30,C,2,CST TIN No., 	(19-AUG-2025 15:06:53)
SIMPL,31,C,1,GVAT TIN No., 	(19-AUG-2025 15:06:53)
SIMPL,31,C,1,CST TIN No., 	(19-AUG-2025 15:06:53)
SIMPL,31,C,1,PAN No., 	(19-AUG-2025 15:06:53)
SIMPL,31,C,2,PAN No., 	(19-AUG-2025 15:06:53)
ATGL,32,C,2,CST TIN No., 	(19-AUG-2025 15:06:53)
ATGL,32,C,2,VAT TIN No., 	(19-AUG-2025 15:06:53)
ATGL,32,C,2,GSTIN, 	(19-AUG-2025 15:06:53)
ATGL,32,C,2,PAN No., 	(19-AUG-2025 15:06:53)
ATGL,32,C,2,GSTIN, 	(19-AUG-2025 15:06:53)
AMNS,33,C,1,GSTIN, 	(19-AUG-2025 15:06:53)
AMNS,33,C,1,GVAT TIN No., 	(19-AUG-2025 15:06:53)
AMNS,33,C,1,Service Tax Registration No., 	(19-AUG-2025 15:06:53)
AMNS,33,C,1,PAN No., 	(19-AUG-2025 15:06:53)
AMNS,33,C,2,GSTIN, 	(19-AUG-2025 15:06:53)
AMNS,33,C,2,PAN No., 	(19-AUG-2025 15:06:53)
AMNS,33,C,2,Service Tax Registration No., 	(19-AUG-2025 15:06:53)
AMNS,33,C,2,GVAT TIN No., 	(19-AUG-2025 15:06:53)
AMNS,33,C,3,GSTIN, 	(19-AUG-2025 15:06:53)
AMNS,33,C,3,Service Tax Registration No., 	(19-AUG-2025 15:06:53)
AMNS,33,C,3,PAN No., 	(19-AUG-2025 15:06:53)
AMNS,33,C,3,GVAT TIN No., 	(19-AUG-2025 15:06:53)
AMNS,33,C,3,GSTIN, 	(19-AUG-2025 15:06:53)
AMNS,33,C,4,PAN No., 	(19-AUG-2025 15:06:53)
AMNS,33,C,4,VAT TIN No., 	(19-AUG-2025 15:06:53)
AMNS,33,C,4,CST TIN No., 	(19-AUG-2025 15:06:53)
AMNS,33,C,5,PAN No., 	(19-AUG-2025 15:06:53)
AMNS,33,C,5,GVAT TIN No., 	(19-AUG-2025 15:06:53)
AMNS,33,C,5,GSTIN, 	(19-AUG-2025 15:06:53)
AMNS,33,T,1,PAN No., 	(19-AUG-2025 15:06:53)
AMNS,33,T,2,PAN No., 	(19-AUG-2025 15:06:53)
SEMTPL,34,C,1,PAN No., 	(19-AUG-2025 15:06:53)
SEMTPL,34,C,1,VAT TIN No., 	(19-AUG-2025 15:06:53)
SEMTPL,34,C,2,GSTIN, 	(19-AUG-2025 15:06:53)
SEMTPL,34,C,2,TAN No., 	(19-AUG-2025 15:06:53)
SEMTPL,34,C,2,CST TIN No., 	(19-AUG-2025 15:06:53)
SEMTPL,34,C,2,GVAT TIN No., 	(19-AUG-2025 15:06:53)
SEMTPL,34,C,2,PAN No., 	(19-AUG-2025 15:06:53)
SEMTPL,34,C,3,CST TIN No., 	(19-AUG-2025 15:06:53)
SEMTPL,34,C,3,PAN No., 	(19-AUG-2025 15:06:53)
SEMTPL,34,C,3,GSTIN, 	(19-AUG-2025 15:06:53)
SEMTPL,34,C,3,VAT TIN No., 	(19-AUG-2025 15:06:53)
SEMTPL,34,C,4,CST TIN No., 	(19-AUG-2025 15:06:53)
SEMTPL,34,C,4,VAT TIN No., 	(19-AUG-2025 15:06:53)
SEMTPL,34,C,4,PAN No., 	(19-AUG-2025 15:06:53)
SEMTPL,34,C,5,VAT TIN No., 	(19-AUG-2025 15:06:53)
SEMTPL,34,C,5,PAN No., 	(19-AUG-2025 15:06:53)
SEMTPL,34,C,6,VAT TIN No., 	(19-AUG-2025 15:06:53)
SEMTPL,34,C,6,CST TIN No., 	(19-AUG-2025 15:06:53)
SEMTPL,34,C,6,PAN No., 	(19-AUG-2025 15:06:53)
SEMTPL,34,C,7,PAN No., 	(19-AUG-2025 15:06:53)
SEMTPL,34,C,7,VAT TIN No., 	(19-AUG-2025 15:06:53)
SEMTPL,34,C,7,CST TIN No., 	(19-AUG-2025 15:06:53)
SEMTPL,34,C,8,VAT TIN No., 	(19-AUG-2025 15:06:53)
SEMTPL,34,C,8,PAN No., 	(19-AUG-2025 15:06:53)
SEMTPL,34,C,8,CST TIN No., 	(19-AUG-2025 15:06:53)
SEMTPL,34,C,9,CST TIN No., 	(19-AUG-2025 15:06:53)
SEMTPL,34,C,9,VAT TIN No., 	(19-AUG-2025 15:06:53)
SEMTPL,34,C,9,PAN No., 	(19-AUG-2025 15:06:53)
SEMTPL,34,C,10,VAT TIN No., 	(19-AUG-2025 15:06:53)
SEMTPL,34,C,10,CST TIN No., 	(19-AUG-2025 15:06:53)
SEMTPL,34,C,10,PAN No., 	(19-AUG-2025 15:06:53)
SEMTPL,34,C,11,CST TIN No., 	(19-AUG-2025 15:06:53)
SEMTPL,34,C,11,VAT TIN No., 	(19-AUG-2025 15:06:53)
SEMTPL,34,C,11,GSTIN, 	(19-AUG-2025 15:06:53)
SEMTPL,34,C,11,PAN No., 	(19-AUG-2025 15:06:53)
SEMTPL,34,T,1,PAN No., 	(19-AUG-2025 15:06:53)
SEMTPL,34,T,2,PAN No., 	(19-AUG-2025 15:06:53)
SEMTPL,34,T,3,PAN No., 	(19-AUG-2025 15:06:53)
SEMTPL,34,T,4,PAN No., 	(19-AUG-2025 15:06:53)
SGIPL,35,C,1,GSTIN, 	(19-AUG-2025 15:06:53)
SGIPL,35,C,1,PAN No., 	(19-AUG-2025 15:06:53)
SGIPL,35,C,1,CST TIN No., 	(19-AUG-2025 15:06:53)
SGIPL,35,C,1,VAT TIN No., 	(19-AUG-2025 15:06:53)
SGIPL,35,C,2,PAN No., 	(19-AUG-2025 15:06:53)
SGIPL,35,C,2,GST TIN No., 	(19-AUG-2025 15:06:53)
SGIPL,35,C,2,GSTIN, 	(19-AUG-2025 15:06:53)
SGIPL,35,C,2,CST TIN No., 	(19-AUG-2025 15:06:53)
SGIPL,35,C,3,GSTIN, 	(19-AUG-2025 15:06:53)
SGIPL,35,C,3,GSTIN, 	(19-AUG-2025 15:06:53)
SGIPL,35,C,3,GVAT TIN No., 	(19-AUG-2025 15:06:53)
SGIPL,35,C,3,PAN No., 	(19-AUG-2025 15:06:53)
SGIPL,35,C,4,GSTIN, 	(19-AUG-2025 15:06:53)
