
<<START>>,<<FMS_METER_MST>>,,,, 	(21-FEB-2025 10:34:03)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,PLANT_SEQ,METER_SEQ,METER_ID,TIMESTAMP
PIL-Haz,1,1,1,HLPL [PIL FC 410]-1, 	(21-FEB-2025 10:34:04)
PIL-Haz,1,2,1,HLPL [PIL FC 413]-2, 	(21-FEB-2025 10:34:04)
GSPL,2,1,1,HLPL [GSPL39 FC 178]-1, 	(21-FEB-2025 10:34:04)
GSPL,2,2,1,HLPL [GSPL39 FC 172]-2, 	(21-FEB-2025 10:34:04)
GSPL,2,3,1,-3, 	(21-FEB-2025 10:34:04)
GSPL,2,4,1,PLL GSPL Dahej-4, 	(21-FEB-2025 10:34:04)
GAIL-Haz,3,1,1,HLPL [Gail FC 411]-1, 	(21-FEB-2025 10:34:04)
GAIL-Haz,3,2,1,HLPL [Gail FC 412]-2, 	(21-FEB-2025 10:34:04)
GAIL-Haz,3,3,1,GAIL 3-3, 	(21-FEB-2025 10:34:04)
PLLD,4,1,1,PLL [Dahej FC]-1, 	(21-FEB-2025 10:34:04)
PLLD,4,2,1,PLL2-2, 	(21-FEB-2025 10:34:04)
D6Gadimoga,5,1,1,D6 Gadimoga-1, 	(21-FEB-2025 10:34:04)
PANKGA,6,1,1,PILANT-1, 	(21-FEB-2025 10:34:04)
PANKGA,6,2,1,Oduru to Ankot-2, 	(21-FEB-2025 10:34:04)
PANKGA,6,3,1,HPCL supply-3, 	(21-FEB-2025 10:34:04)
PMSKGA,7,1,1,PILMSK-1, 	(21-FEB-2025 10:34:04)
PMSKGA,7,2,1,HPCL supply-2, 	(21-FEB-2025 10:34:04)
PMSKGA,7,3,1,Delivery point-3, 	(21-FEB-2025 10:34:04)
PBHDGS,8,1,1,PILBHD-1, 	(21-FEB-2025 10:34:04)
PBHDGS,8,2,1,BHD sale via IGX-2, 	(21-FEB-2025 10:34:04)
PBHDGS,8,3,1,BHD sale via IGX-3, 	(21-FEB-2025 10:34:04)
PURCHASE-T,9,1,1,Purchase-1, 	(21-FEB-2025 10:34:04)
PURCHASE-T,9,2,1,purchase-2, 	(21-FEB-2025 10:34:04)
PARK-ANK,10,1,1,Parking-1, 	(21-FEB-2025 10:34:04)
PARK-ANK,10,2,1,PIL Hazira parking-2, 	(21-FEB-2025 10:34:04)
PHUCBM,11,1,1,Delivery point-1, 	(21-FEB-2025 10:34:04)
PHUCBM,11,2,1,PHUCBM-2, 	(21-FEB-2025 10:34:04)
PARK-MSK,12,1,1,Parking-1, 	(21-FEB-2025 10:34:04)
PARK-BHD,13,1,1,Parking-1, 	(21-FEB-2025 10:34:04)
PARKPHUCBM,14,1,1,Parking-1, 	(21-FEB-2025 10:34:04)
PMSKP,15,1,1,Delivery point-1, 	(21-FEB-2025 10:34:04)
Gail,16,1,1,GAIL SKID-2-1, 	(21-FEB-2025 10:34:04)
Gail,16,2,1,PHUCBM-1-2, 	(21-FEB-2025 10:34:04)
Gail,16,3,1,ANK-1-3, 	(21-FEB-2025 10:34:04)
Gail,16,4,1,MSK-1-4, 	(21-FEB-2025 10:34:04)
Gail,16,5,1,-5, 	(21-FEB-2025 10:34:04)
