

<<START>>,<<FMS_SUPPLY_CONT_TRANSPTR>>,,,,,,,, 	(04-JUN-2025 10:15:47)
 
COUNTERPARTY_CD, AGMT_NO, AGMT_REV, CONT_NO, CONT_REV, CONTRACT_TYPE, TRANSPORTER_CD, PLANT_SEQ_NO, TIMESTAMP
1,2,0,24,1,S,GSPL,4, 	(04-JUN-2025 10:15:48)
1,2,1,33,0,S,GSPL,1, 	(04-JUN-2025 10:15:48)
1,2,1,33,0,S,GSPL,2, 	(04-JUN-2025 10:15:48)
1,2,1,33,0,S,GSPL,3, 	(04-JUN-2025 10:15:48)
1,2,1,33,0,S,GSPL,4, 	(04-JUN-2025 10:15:48)
1,2,1,37,0,S,GSPL,1, 	(04-JUN-2025 10:15:48)
1,2,1,37,0,S,GSPL,2, 	(04-JUN-2025 10:15:48)
1,2,1,37,0,S,GSPL,3, 	(04-JUN-2025 10:15:48)
1,2,1,37,0,S,GSPL,4, 	(04-JUN-2025 10:15:48)
1,2,0,27,2,S,GSPL,1, 	(04-JUN-2025 10:15:48)
1,2,0,27,2,S,GSPL,2, 	(04-JUN-2025 10:15:48)
1,2,0,27,2,S,GSPL,3, 	(04-JUN-2025 10:15:48)
1,2,0,27,2,S,GSPL,4, 	(04-JUN-2025 10:15:48)
1,2,0,18,0,S,GSPL,1, 	(04-JUN-2025 10:15:48)
1,2,0,18,0,S,GSPL,2, 	(04-JUN-2025 10:15:48)
1,2,0,18,0,S,GSPL,3, 	(04-JUN-2025 10:15:48)
1,2,0,18,0,S,GSPL,4, 	(04-JUN-2025 10:15:48)
1,3,0,3,0,S,Gail,1, 	(04-JUN-2025 10:15:48)
1,3,0,3,0,S,Gail,2, 	(04-JUN-2025 10:15:48)
1,3,0,3,0,S,Gail,3, 	(04-JUN-2025 10:15:48)
1,3,0,3,0,S,Gail,4, 	(04-JUN-2025 10:15:48)
1,3,0,3,0,S,Gail,5, 	(04-JUN-2025 10:15:48)
1,3,0,3,0,S,Gail,6, 	(04-JUN-2025 10:15:48)
1,3,0,3,0,S,Gail,7, 	(04-JUN-2025 10:15:48)
1,3,0,3,0,S,Gail,8, 	(04-JUN-2025 10:15:48)
1,3,0,3,0,S,Gail,9, 	(04-JUN-2025 10:15:48)
1,2,0,9,0,S,GSPL,1, 	(04-JUN-2025 10:15:48)
1,2,0,9,0,S,GSPL,2, 	(04-JUN-2025 10:15:48)
1,2,0,9,0,S,GSPL,3, 	(04-JUN-2025 10:15:48)
1,2,0,9,0,S,GSPL,4, 	(04-JUN-2025 10:15:48)
1,2,0,24,0,S,GSPL,1, 	(04-JUN-2025 10:15:48)
1,2,0,24,0,S,GSPL,2, 	(04-JUN-2025 10:15:48)
1,2,0,24,0,S,GSPL,3, 	(04-JUN-2025 10:15:48)
1,2,0,24,0,S,GSPL,4, 	(04-JUN-2025 10:15:48)
1,2,1,43,0,S,GSPL,1, 	(04-JUN-2025 10:15:48)
1,2,1,43,0,S,GSPL,2, 	(04-JUN-2025 10:15:48)
1,2,1,43,0,S,GSPL,3, 	(04-JUN-2025 10:15:48)
1,2,1,43,0,S,GSPL,4, 	(04-JUN-2025 10:15:48)
1,2,1,32,0,S,GSPL,1, 	(04-JUN-2025 10:15:48)
1,2,1,32,0,S,GSPL,2, 	(04-JUN-2025 10:15:48)
1,2,1,32,0,S,GSPL,3, 	(04-JUN-2025 10:15:48)
1,2,1,32,0,S,GSPL,4, 	(04-JUN-2025 10:15:48)
1,2,0,28,1,S,GSPL,1, 	(04-JUN-2025 10:15:48)
1,2,0,28,1,S,GSPL,2, 	(04-JUN-2025 10:15:48)
1,2,0,28,1,S,GSPL,3, 	(04-JUN-2025 10:15:48)
1,2,0,28,1,S,GSPL,4, 	(04-JUN-2025 10:15:48)
1,2,0,21,1,S,GSPL,1, 	(04-JUN-2025 10:15:48)
1,2,0,21,1,S,GSPL,2, 	(04-JUN-2025 10:15:48)
1,2,0,21,1,S,GSPL,3, 	(04-JUN-2025 10:15:48)
1,2,0,21,1,S,GSPL,4, 	(04-JUN-2025 10:15:48)
1,2,0,13,0,S,GSPL,1, 	(04-JUN-2025 10:15:48)
1,2,0,13,0,S,GSPL,2, 	(04-JUN-2025 10:15:48)
1,2,0,13,0,S,GSPL,3, 	(04-JUN-2025 10:15:48)
1,2,0,13,0,S,GSPL,4, 	(04-JUN-2025 10:15:48)
1,2,0,25,1,S,GSPL,1, 	(04-JUN-2025 10:15:48)
1,2,0,25,1,S,GSPL,2, 	(04-JUN-2025 10:15:48)
