
<<START>>,<<FMS_ENTITY_TAX_STRUCT_DTL>>,,, 	(09-SEP-2025 13:21:53)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,ENTITY,PLANT_SEQ_NO,TIMESTAMP
SEMTIPL,34,C,6, 	(09-SEP-2025 13:21:54)
SEMTIPL,34,C,5, 	(09-SEP-2025 13:21:54)
SGIPL,35,C,3, 	(09-SEP-2025 13:21:54)
SGIPL,35,C,5, 	(09-SEP-2025 13:21:54)
SGIPL,35,C,1, 	(09-SEP-2025 13:21:54)
SGIPL,35,C,1, 	(09-SEP-2025 13:21:54)
SGIPL,35,C,1, 	(09-SEP-2025 13:21:54)
SGIPL,35,C,2, 	(09-SEP-2025 13:21:54)
SGIPL,35,C,1, 	(09-SEP-2025 13:21:54)
VGL,36,C,1, 	(09-SEP-2025 13:21:54)
VGL,36,C,2, 	(09-SEP-2025 13:21:54)
VGL,36,C,3, 	(09-SEP-2025 13:21:54)
PGPGPL,37,C,1, 	(09-SEP-2025 13:21:54)
PGPGPL,37,C,2, 	(09-SEP-2025 13:21:54)
PGPGPL,37,C,2, 	(09-SEP-2025 13:21:54)
PGPGPL,37,C,2, 	(09-SEP-2025 13:21:54)
PGPGPL,37,C,1, 	(09-SEP-2025 13:21:54)
PGPGPL,37,C,1, 	(09-SEP-2025 13:21:54)
PGPGPL,37,C,3, 	(09-SEP-2025 13:21:54)
PGPGPL,37,C,3, 	(09-SEP-2025 13:21:54)
PGPGPL,37,C,3, 	(09-SEP-2025 13:21:54)
HCG,38,C,1, 	(09-SEP-2025 13:21:54)
GGL,39,C,1, 	(09-SEP-2025 13:21:54)
GGL,39,C,1, 	(09-SEP-2025 13:21:54)
GGL,39,C,1, 	(09-SEP-2025 13:21:54)
CFC,40,C,3, 	(09-SEP-2025 13:21:54)
CFC,40,C,1, 	(09-SEP-2025 13:21:54)
CFC,40,C,2, 	(09-SEP-2025 13:21:54)
IFFCO,41,C,3, 	(09-SEP-2025 13:21:54)
IFFCO,41,C,2, 	(09-SEP-2025 13:21:54)
IFFCO,41,C,1, 	(09-SEP-2025 13:21:54)
HGL-RLNG,42,C,1, 	(09-SEP-2025 13:21:54)
PipeInfra,43,C,5, 	(09-SEP-2025 13:21:54)
PipeInfra,43,C,10, 	(09-SEP-2025 13:21:54)
PipeInfra,43,C,5, 	(09-SEP-2025 13:21:54)
PipeInfra,43,C,11, 	(09-SEP-2025 13:21:54)
PipeInfra,43,C,11, 	(09-SEP-2025 13:21:54)
PipeInfra,43,C,10, 	(09-SEP-2025 13:21:54)
PipeInfra,43,C,2, 	(09-SEP-2025 13:21:54)
PipeInfra,43,C,7, 	(09-SEP-2025 13:21:54)
PipeInfra,43,C,7, 	(09-SEP-2025 13:21:54)
PipeInfra,43,C,6, 	(09-SEP-2025 13:21:54)
PipeInfra,43,C,6, 	(09-SEP-2025 13:21:54)
PipeInfra,43,C,3, 	(09-SEP-2025 13:21:54)
PipeInfra,43,C,3, 	(09-SEP-2025 13:21:54)
PipeInfra,43,C,2, 	(09-SEP-2025 13:21:54)
PipeInfra,43,C,1, 	(09-SEP-2025 13:21:54)
PipeInfra,43,C,1, 	(09-SEP-2025 13:21:54)
PipeInfra,43,C,4, 	(09-SEP-2025 13:21:54)
PipeInfra,43,C,9, 	(09-SEP-2025 13:21:54)
PipeInfra,43,C,8, 	(09-SEP-2025 13:21:54)
PipeInfra,43,C,4, 	(09-SEP-2025 13:21:54)
PipeInfra,43,C,9, 	(09-SEP-2025 13:21:54)
PipeInfra,43,C,8, 	(09-SEP-2025 13:21:54)
NFL,44,C,3, 	(09-SEP-2025 13:21:54)
NFL,44,C,1, 	(09-SEP-2025 13:21:54)
NFL,44,C,2, 	(09-SEP-2025 13:21:54)
HSIL,45,C,1, 	(09-SEP-2025 13:21:54)
HSIL,45,C,1, 	(09-SEP-2025 13:21:54)
HSIL,45,C,1, 	(09-SEP-2025 13:21:54)
VVF India,46,C,3, 	(09-SEP-2025 13:21:54)
KFL,47,C,1, 	(09-SEP-2025 13:21:54)
KFL,47,C,2, 	(09-SEP-2025 13:21:54)
BIL,48,C,1, 	(09-SEP-2025 13:21:54)
RIPL,49,C,1, 	(09-SEP-2025 13:21:54)
CP,50,C,1, 	(09-SEP-2025 13:21:54)
CP,50,C,1, 	(09-SEP-2025 13:21:54)
HALHFGL,51,C,1, 	(09-SEP-2025 13:21:54)
VIDUWIL,52,C,1, 	(09-SEP-2025 13:21:54)
AGP CGD,53,C,2, 	(09-SEP-2025 13:21:54)
AGP CGD,53,C,1, 	(09-SEP-2025 13:21:54)
MINDA,54,C,1, 	(09-SEP-2025 13:21:54)
MINDA,54,C,2, 	(09-SEP-2025 13:21:54)
MINDA,54,C,2, 	(09-SEP-2025 13:21:54)
LEIPL,55,C,1, 	(09-SEP-2025 13:21:54)
SCHOTT,56,C,1, 	(09-SEP-2025 13:21:54)
HIL,57,C,3, 	(09-SEP-2025 13:21:54)
HIL,57,C,4, 	(09-SEP-2025 13:21:54)
HIL,57,C,1, 	(09-SEP-2025 13:21:54)
HIL,57,C,2, 	(09-SEP-2025 13:21:54)
HCGD-B,58,C,1, 	(09-SEP-2025 13:21:54)
BIPL,59,C,2, 	(09-SEP-2025 13:21:54)
BIPL,59,C,1, 	(09-SEP-2025 13:21:54)
EXXARO,60,C,1, 	(09-SEP-2025 13:21:54)
EXXARO,60,C,1, 	(09-SEP-2025 13:21:54)
KAJARIA,68,C,2, 	(09-SEP-2025 13:21:54)
KAJARIA,68,C,1, 	(09-SEP-2025 13:21:54)
SISECAM,70,C,1, 	(09-SEP-2025 13:21:54)
SISECAM,70,C,1, 	(09-SEP-2025 13:21:54)
ATPL,71,C,1, 	(09-SEP-2025 13:21:54)
ATPL,71,C,2, 	(09-SEP-2025 13:21:54)
OPAL,72,C,1, 	(09-SEP-2025 13:21:54)
OPAL,72,C,1, 	(09-SEP-2025 13:21:54)
OPAL,72,C,1, 	(09-SEP-2025 13:21:54)
JKPAPER,73,C,1, 	(09-SEP-2025 13:21:54)
STL,74,C,1, 	(09-SEP-2025 13:21:54)
CELLO,76,C,1, 	(09-SEP-2025 13:21:54)
RCF,78,C,2, 	(09-SEP-2025 13:21:54)
RCF,78,C,2, 	(09-SEP-2025 13:21:54)
RCF,78,C,1, 	(09-SEP-2025 13:21:54)
RCF,78,C,2, 	(09-SEP-2025 13:21:54)
RCF,78,C,1, 	(09-SEP-2025 13:21:54)
BWRL,79,C,1, 	(09-SEP-2025 13:21:54)
VIRGO,81,C,1, 	(09-SEP-2025 13:21:54)
GIPSKARTON,83,C,1, 	(09-SEP-2025 13:21:54)
TGLPL,84,C,2, 	(09-SEP-2025 13:21:54)
