

<<START>>,<<FMS_GTA_FFLOW_INV_MST>>,,, 	(30-AUG-2025 10:37:22)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,GAS_DT,NOM_REV_NO,TRANSPORTER_MAP,CONT_MAP,MDQ,TIMESTAMP,

TOTAL DATA EXTRACTED :,237 ,,, 	(30-AUG-2025 10:37:25)
 
<<END>>,<<FMS_GTA_FFLOW_INV_MST>>,,, 	(30-AUG-2025 10:37:25)
 

<<START>>,<<FMS_GTA_FFLOW_INV_DTL>>,,, 	(30-AUG-2025 10:37:25)
 
COMPANY_CD,COUNTERPARTY_CD,CONTRACT_TYPE,INVOICE_NO,INVOICE_TYPE,TIMESTAMP,
Gail,16-1-1-16-1601-581,FGSA,UPG2A24109021429,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-581,FGSA,UPG2A24109023989,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-581,FGSA,UPG2A24109003988,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-581,FGSA,UPG2A24109005915,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-581,FGSA,UPG2A24109009606,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-581,FGSA,UPG2A24109012606,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-581,FGSA,UPG2A24109013747,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-581,FGSA,UPG2A24109013747,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1604-1101,FGSA,UPG2A25109003991,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1604-1101,FGSA,UPG2A25109004015,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1604-1101,FGSA,UPG2A25109004020,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1604-1101,FGSA,UPG2A25109004020,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1604-1101,FGSA,UPG2A25109005471,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1604-1101,FGSA,UPG2A25109005574,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1604-1101,FGSA,UPG2A25109006776,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1604-1101,FGSA,UPG2A25109006776,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1604-1101,FGSA,UPG2A25109006831,IC, 	(30-AUG-2025 10:37:25)
