

<<START>>,<<FMS_AGMT_MST>>,,, 	(03-MAR-2025 12:33:51)
 
COUNTERPARTY_ABBR,AGMT_TYPE,AGMT_NO,AGMT_REV 	(03-MAR-2025 12:33:52)
MGL,F,7,0,GSPL,3, 	(03-MAR-2025 12:33:53)
MGL,F,7,0,GSPL,4, 	(03-MAR-2025 12:33:53)
GSPCL,F,1,2,GSPL,1, 	(03-MAR-2025 12:33:53)
GSPCL,F,1,2,GSPL,2, 	(03-MAR-2025 12:33:53)
GSPCL,F,1,2,GSPL,3, 	(03-MAR-2025 12:33:53)
GSPCL,F,1,2,GSPL,4, 	(03-MAR-2025 12:33:53)
GSPCL,F,1,0,GSPL,1, 	(03-MAR-2025 12:33:53)
GSPCL,F,1,0,GSPL,2, 	(03-MAR-2025 12:33:53)
GSPCL,F,1,0,GSPL,3, 	(03-MAR-2025 12:33:53)
GSPCL,F,1,0,GSPL,4, 	(03-MAR-2025 12:33:53)
GSPCL,F,1,1,GSPL,1, 	(03-MAR-2025 12:33:53)
GSPCL,F,1,1,GSPL,2, 	(03-MAR-2025 12:33:53)
GSPCL,F,1,1,GSPL,3, 	(03-MAR-2025 12:33:53)
GSPCL,F,1,1,GSPL,4, 	(03-MAR-2025 12:33:53)
GSPCL,F,2,0,GSPL,1, 	(03-MAR-2025 12:33:53)
GSPCL,F,2,0,GSPL,2, 	(03-MAR-2025 12:33:53)
GSPCL,F,2,0,GSPL,3, 	(03-MAR-2025 12:33:53)
GSPCL,F,2,0,GSPL,4, 	(03-MAR-2025 12:33:53)
GSPCL,F,3,0,GSPL,1, 	(03-MAR-2025 12:33:53)
GSPCL,F,3,0,GSPL,2, 	(03-MAR-2025 12:33:53)
GSPCL,F,3,0,GSPL,3, 	(03-MAR-2025 12:33:53)
GSPCL,F,3,0,GSPL,4, 	(03-MAR-2025 12:33:53)
GSPCL,F,1,3,GSPL,1, 	(03-MAR-2025 12:33:53)
GSPCL,F,1,3,GSPL,2, 	(03-MAR-2025 12:33:53)
GSPCL,F,1,3,GSPL,3, 	(03-MAR-2025 12:33:53)
GSPCL,F,1,3,GSPL,4, 	(03-MAR-2025 12:33:53)
BPL,F,1,0,GSPL,1, 	(03-MAR-2025 12:33:53)
BPL,F,1,0,GSPL,2, 	(03-MAR-2025 12:33:53)
