
<<START>>,<<FMS_ENTITY_TAX_STRUCT_DTL>>,,, 	(18-FEB-2025 11:41:17)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,ENTITY,PLANT_SEQ_NO,TIMESTAMP
SGIPL,35,C,6, 	(18-FEB-2025 11:41:19)
SGIPL,35,C,1, 	(18-FEB-2025 11:41:19)
SGIPL,35,C,1, 	(18-FEB-2025 11:41:19)
VGL,36,C,1, 	(18-FEB-2025 11:41:19)
VGL,36,C,2, 	(18-FEB-2025 11:41:19)
VGL,36,C,3, 	(18-FEB-2025 11:41:19)
PGPGPL,37,C,1, 	(18-FEB-2025 11:41:19)
PGPGPL,37,C,2, 	(18-FEB-2025 11:41:19)
PGPGPL,37,C,3, 	(18-FEB-2025 11:41:19)
HCG,38,C,1, 	(18-FEB-2025 11:41:19)
GGL,39,C,2, 	(18-FEB-2025 11:41:19)
GGL,39,C,3, 	(18-FEB-2025 11:41:19)
GGL,39,C,1, 	(18-FEB-2025 11:41:19)
CFC,40,C,1, 	(18-FEB-2025 11:41:19)
CFC,40,C,2, 	(18-FEB-2025 11:41:19)
CFC,40,C,3, 	(18-FEB-2025 11:41:19)
IFFCO,41,C,1, 	(18-FEB-2025 11:41:19)
IFFCO,41,C,2, 	(18-FEB-2025 11:41:19)
IFFCO,41,C,3, 	(18-FEB-2025 11:41:19)
HGL-RLNG,42,C,1, 	(18-FEB-2025 11:41:19)
PipeInfra,43,C,1, 	(18-FEB-2025 11:41:19)
PipeInfra,43,C,2, 	(18-FEB-2025 11:41:19)
PipeInfra,43,C,3, 	(18-FEB-2025 11:41:19)
PipeInfra,43,C,4, 	(18-FEB-2025 11:41:19)
PipeInfra,43,C,5, 	(18-FEB-2025 11:41:19)
PipeInfra,43,C,6, 	(18-FEB-2025 11:41:19)
PipeInfra,43,C,7, 	(18-FEB-2025 11:41:19)
PipeInfra,43,C,8, 	(18-FEB-2025 11:41:19)
PipeInfra,43,C,9, 	(18-FEB-2025 11:41:19)
PipeInfra,43,C,10, 	(18-FEB-2025 11:41:19)
PipeInfra,43,C,11, 	(18-FEB-2025 11:41:19)
NFL-Nangal,44,C,2, 	(18-FEB-2025 11:41:19)
NFL-Nangal,44,C,1, 	(18-FEB-2025 11:41:19)
NFL-Nangal,44,C,3, 	(18-FEB-2025 11:41:19)
HSIL,45,C,1, 	(18-FEB-2025 11:41:19)
HSIL,45,C,1, 	(18-FEB-2025 11:41:19)
HSIL,45,C,1, 	(18-FEB-2025 11:41:19)
VVF,46,C,3, 	(18-FEB-2025 11:41:19)
KFL,47,C,1, 	(18-FEB-2025 11:41:19)
KFL,47,C,2, 	(18-FEB-2025 11:41:19)
BIL,48,C,1, 	(18-FEB-2025 11:41:19)
RIPL,49,C,1, 	(18-FEB-2025 11:41:19)
CP,50,C,1, 	(18-FEB-2025 11:41:19)
CP,50,C,1, 	(18-FEB-2025 11:41:19)
HHFGPL,51,C,1, 	(18-FEB-2025 11:41:19)
VWPL,52,C,1, 	(18-FEB-2025 11:41:19)
AGP CGD,53,C,1, 	(18-FEB-2025 11:41:19)
AGP CGD,53,C,2, 	(18-FEB-2025 11:41:19)
MINDA,54,C,1, 	(18-FEB-2025 11:41:19)
MINDA,54,C,2, 	(18-FEB-2025 11:41:19)
MINDA,54,C,2, 	(18-FEB-2025 11:41:19)
LEIPL,55,C,1, 	(18-FEB-2025 11:41:19)
SCHOTT,56,C,1, 	(18-FEB-2025 11:41:19)
HIL,57,C,1, 	(18-FEB-2025 11:41:19)
HIL,57,C,2, 	(18-FEB-2025 11:41:19)
HIL,57,C,3, 	(18-FEB-2025 11:41:19)
HIL,57,C,4, 	(18-FEB-2025 11:41:19)
HCGD-B,58,C,1, 	(18-FEB-2025 11:41:19)
BIPL,59,C,1, 	(18-FEB-2025 11:41:19)
BIPL,59,C,2, 	(18-FEB-2025 11:41:19)
EXXARO,60,C,1, 	(18-FEB-2025 11:41:19)
KAJARIA,68,C,1, 	(18-FEB-2025 11:41:19)
KAJARIA,68,C,2, 	(18-FEB-2025 11:41:19)
SISECAM,70,C,1, 	(18-FEB-2025 11:41:19)
SISECAM,70,C,1, 	(18-FEB-2025 11:41:19)
ATPL,71,C,1, 	(18-FEB-2025 11:41:19)
ATPL,71,C,2, 	(18-FEB-2025 11:41:19)
OPAL,72,C,1, 	(18-FEB-2025 11:41:19)
OPAL,72,C,1, 	(18-FEB-2025 11:41:19)
OPAL,72,C,1, 	(18-FEB-2025 11:41:19)
JKPAPER,73,C,1, 	(18-FEB-2025 11:41:19)
STL,74,C,1, 	(18-FEB-2025 11:41:19)
CELLO,76,C,1, 	(18-FEB-2025 11:41:19)
RCF,78,C,2, 	(18-FEB-2025 11:41:19)
RCF,78,C,1, 	(18-FEB-2025 11:41:19)
RCF,78,C,2, 	(18-FEB-2025 11:41:19)
RCF,78,C,2, 	(18-FEB-2025 11:41:19)
RCF,78,C,1, 	(18-FEB-2025 11:41:19)
BWRL,79,C,1, 	(18-FEB-2025 11:41:19)
VIRGO,81,C,1, 	(18-FEB-2025 11:41:19)
GIPSKARTON,83,C,1, 	(18-FEB-2025 11:41:19)
TGLPL,84,C,2, 	(18-FEB-2025 11:41:19)
TGLPL,84,C,1, 	(18-FEB-2025 11:41:19)
TGBPL,85,C,1, 	(18-FEB-2025 11:41:19)
TGBPL,85,C,2, 	(18-FEB-2025 11:41:19)
BGEPL,86,C,1, 	(18-FEB-2025 11:41:19)
IMCL,87,C,1, 	(18-FEB-2025 11:41:19)
VVF India,88,C,1, 	(18-FEB-2025 11:41:19)
GNFC,89,C,2, 	(18-FEB-2025 11:41:19)
GNFC,89,C,2, 	(18-FEB-2025 11:41:19)
GNFC,89,C,1, 	(18-FEB-2025 11:41:19)
MEIL,90,C,1, 	(18-FEB-2025 11:41:19)
GLIL,91,C,4, 	(18-FEB-2025 11:41:19)
GLIL,91,C,3, 	(18-FEB-2025 11:41:19)
GLIL,91,C,5, 	(18-FEB-2025 11:41:19)
GLIL,91,C,2, 	(18-FEB-2025 11:41:19)
GLIL,91,C,6, 	(18-FEB-2025 11:41:19)
GLIL,91,C,1, 	(18-FEB-2025 11:41:19)
GLIL,91,C,7, 	(18-FEB-2025 11:41:19)
SGI-AP,93,C,1, 	(18-FEB-2025 11:41:19)
PEPL,99,C,2, 	(18-FEB-2025 11:41:19)
PEPL,99,C,1, 	(18-FEB-2025 11:41:19)
GFCL,100,C,1, 	(18-FEB-2025 11:41:19)
GFCL,100,C,2, 	(18-FEB-2025 11:41:19)
CPL,101,C,1, 	(18-FEB-2025 11:41:19)
IRM,102,C,1, 	(18-FEB-2025 11:41:19)
PPL,103,C,1, 	(18-FEB-2025 11:41:19)
PPL,103,C,1, 	(18-FEB-2025 11:41:19)
YARALTD,104,C,1, 	(18-FEB-2025 11:41:19)
YARALTD,104,C,1, 	(18-FEB-2025 11:41:19)
INPEROX,105,C,1, 	(18-FEB-2025 11:41:19)
RAFECHL,106,C,1, 	(18-FEB-2025 11:41:19)
CNTENKA,107,C,1, 	(18-FEB-2025 11:41:19)
HCGPUTE,108,C,1, 	(18-FEB-2025 11:41:19)
IGSPL,109,C,2, 	(18-FEB-2025 11:41:19)
IGSPL,109,C,1, 	(18-FEB-2025 11:41:19)
GOAGLSF,110,C,1, 	(18-FEB-2025 11:41:19)
MGRPL,111,C,2, 	(18-FEB-2025 11:41:19)
MGRPL,111,C,1, 	(18-FEB-2025 11:41:19)
PEFORCV,112,C,1, 	(18-FEB-2025 11:41:19)
HMEL,113,C,3, 	(18-FEB-2025 11:41:19)
HMEL,113,C,5, 	(18-FEB-2025 11:41:19)
HMEL,113,C,6, 	(18-FEB-2025 11:41:19)
HMEL,113,C,1, 	(18-FEB-2025 11:41:19)
HMEL,113,C,5, 	(18-FEB-2025 11:41:19)
HMEL,113,C,4, 	(18-FEB-2025 11:41:19)
HMEL,113,C,2, 	(18-FEB-2025 11:41:19)
HMEL,113,C,1, 	(18-FEB-2025 11:41:19)
HMEL,113,C,4, 	(18-FEB-2025 11:41:19)
HMEL,113,C,6, 	(18-FEB-2025 11:41:19)
TASTELI,114,C,1, 	(18-FEB-2025 11:41:19)
AGPCGIN,115,C,2, 	(18-FEB-2025 11:41:19)
AGPCGIN,115,C,1, 	(18-FEB-2025 11:41:19)
HINDURV,116,C,1, 	(18-FEB-2025 11:41:19)
HINDURV,116,C,2, 	(18-FEB-2025 11:41:19)
ESSARRM,117,C,1, 	(18-FEB-2025 11:41:19)
VISHPRI,118,C,1, 	(18-FEB-2025 11:41:19)
SOMANY,119,C,1, 	(18-FEB-2025 11:41:19)
IDOINVA,120,C,1, 	(18-FEB-2025 11:41:19)
DCMSHRI,121,C,1, 	(18-FEB-2025 11:41:19)
GOLDPFG,122,C,1, 	(18-FEB-2025 11:41:19)
VIGASLD,123,C,1, 	(18-FEB-2025 11:41:19)
EFSPL,125,C,1, 	(18-FEB-2025 11:41:19)
VEDALTD,126,C,1, 	(18-FEB-2025 11:41:19)
VEDALTD,126,C,1, 	(18-FEB-2025 11:41:19)
GAILGAS,127,C,2, 	(18-FEB-2025 11:41:19)
GAILGAS,127,C,1, 	(18-FEB-2025 11:41:19)
RATNAGI,128,C,1, 	(18-FEB-2025 11:41:19)
RATNAGI,128,C,1, 	(18-FEB-2025 11:41:19)
BHOGATD,129,C,1, 	(18-FEB-2025 11:41:19)
BHOGATD,129,C,2, 	(18-FEB-2025 11:41:19)
KINGASP,130,C,2, 	(18-FEB-2025 11:41:19)
KINGASP,130,C,1, 	(18-FEB-2025 11:41:19)
SEMTEXP,131,C,1, 	(18-FEB-2025 11:41:19)
COMFIND,133,C,1, 	(18-FEB-2025 11:41:19)
SUMGLAS,134,C,1, 	(18-FEB-2025 11:41:19)
