
<<START>>,<<FMS_PRODUCT_MST>>, 	(26-MAR-2025 10:01:51)
 
PROD_CD,PROD_ABBR,TIMESTAMP
1,LNG, 	(26-MAR-2025 10:01:51)
2,RLNG, 	(26-MAR-2025 10:01:51)
201,ImpLNG, 	(26-MAR-2025 10:01:51)
202,ITankPur, 	(26-MAR-2025 10:01:51)
203,TP(RLNG), 	(26-MAR-2025 10:01:51)
301,IGX(DOMG) , 	(26-MAR-2025 10:01:51)
302,D6(DOMG), 	(26-MAR-2025 10:01:51)
303,CBM(DOMG), 	(26-MAR-2025 10:01:51)
304,ONGC Gas , 	(26-MAR-2025 10:01:51)
305,SEMTIPL(DOMG) , 	(26-MAR-2025 10:01:51)
306,RIL(DOMG), 	(26-MAR-2025 10:01:51)
307,BP(DOMG), 	(26-MAR-2025 10:01:51)
308,HPCL(DOMG) , 	(26-MAR-2025 10:01:51)
309,AMNS(DOMG), 	(26-MAR-2025 10:01:51)
3,DOMG, 	(26-MAR-2025 10:01:51)
310,D6(DOMG-CAP), 	(26-MAR-2025 10:01:51)
311,IGX(DOMG-CAP) , 	(26-MAR-2025 10:01:51)

TOTAL DATA EXTRACTED :,17,  	(26-MAR-2025 10:01:52)
 
<<END>>,<<FMS_PRODUCT_MST>>, 	(26-MAR-2025 10:01:52)
 
