
<<START>>,<<FMS_SECURITY_DEAL_MAP>>,,,,, 	(03-JUN-2025 11:32:58)
 
 COUNTERPARTY_CD, SEQ_NO, MAP_SEQ_NO, SEQ_REV_NO, GX ,  CONT_TYPE,TIMESTAMP
4,23,1,K,L, 	(03-JUN-2025 11:32:59)
4,24,1,K,L, 	(03-JUN-2025 11:32:59)
4,25,1,K,L, 	(03-JUN-2025 11:32:59)
4,26,1,K,L, 	(03-JUN-2025 11:32:59)
4,27,1,K,L, 	(03-JUN-2025 11:32:59)
4,28,1,K,L, 	(03-JUN-2025 11:32:59)
4,29,1,K,L, 	(03-JUN-2025 11:32:59)
4,30,1,K,L, 	(03-JUN-2025 11:32:59)
4,31,1,K,L, 	(03-JUN-2025 11:32:59)
4,32,1,K,L, 	(03-JUN-2025 11:32:59)
4,33,1,K,L, 	(03-JUN-2025 11:32:59)
4,34,1,K,L, 	(03-JUN-2025 11:32:59)
4,35,1,K,L, 	(03-JUN-2025 11:32:59)
4,36,1,K,L, 	(03-JUN-2025 11:32:59)
4,37,1,K,L, 	(03-JUN-2025 11:32:59)
4,38,1,K,L, 	(03-JUN-2025 11:32:59)
4,39,1,K,L, 	(03-JUN-2025 11:32:59)
4,40,1,K,L, 	(03-JUN-2025 11:32:59)
4,41,1,K,L, 	(03-JUN-2025 11:32:59)
4,42,1,K,L, 	(03-JUN-2025 11:32:59)
4,43,1,K,L, 	(03-JUN-2025 11:32:59)
4,44,1,K,L, 	(03-JUN-2025 11:32:59)
4,45,1,K,L, 	(03-JUN-2025 11:32:59)
4,46,1,K,L, 	(03-JUN-2025 11:32:59)
4,47,1,K,L, 	(03-JUN-2025 11:32:59)
4,48,1,K,L, 	(03-JUN-2025 11:32:59)
4,49,1,K,L, 	(03-JUN-2025 11:32:59)
4,50,1,K,L, 	(03-JUN-2025 11:32:59)
4,51,1,K,L, 	(03-JUN-2025 11:32:59)
4,52,1,K,L, 	(03-JUN-2025 11:32:59)
4,53,1,K,L, 	(03-JUN-2025 11:32:59)
4,54,1,K,L, 	(03-JUN-2025 11:32:59)
4,55,1,K,L, 	(03-JUN-2025 11:32:59)
4,56,1,K,L, 	(03-JUN-2025 11:32:59)
4,57,1,K,L, 	(03-JUN-2025 11:32:59)
4,58,1,K,L, 	(03-JUN-2025 11:32:59)
4,59,1,K,L, 	(03-JUN-2025 11:32:59)
4,60,1,K,L, 	(03-JUN-2025 11:32:59)
4,61,1,K,L, 	(03-JUN-2025 11:32:59)
4,62,1,K,L, 	(03-JUN-2025 11:32:59)
4,63,1,K,L, 	(03-JUN-2025 11:32:59)
4,64,1,K,L, 	(03-JUN-2025 11:32:59)
4,65,1,K,L, 	(03-JUN-2025 11:32:59)
4,66,1,K,L, 	(03-JUN-2025 11:32:59)
4,67,1,K,L, 	(03-JUN-2025 11:32:59)
4,68,1,K,L, 	(03-JUN-2025 11:32:59)
4,69,1,K,L, 	(03-JUN-2025 11:32:59)
4,70,1,K,L, 	(03-JUN-2025 11:33:00)
4,71,1,K,L, 	(03-JUN-2025 11:33:00)
4,72,1,K,L, 	(03-JUN-2025 11:33:00)
4,73,1,K,L, 	(03-JUN-2025 11:33:00)
4,74,1,K,L, 	(03-JUN-2025 11:33:00)
4,75,1,K,L, 	(03-JUN-2025 11:33:00)
4,76,1,K,L, 	(03-JUN-2025 11:33:00)
4,77,1,K,L, 	(03-JUN-2025 11:33:00)
4,78,1,K,L, 	(03-JUN-2025 11:33:00)
4,79,1,K,L, 	(03-JUN-2025 11:33:00)
4,80,1,K,L, 	(03-JUN-2025 11:33:00)
4,81,1,K,L, 	(03-JUN-2025 11:33:00)
4,82,1,K,L, 	(03-JUN-2025 11:33:00)
4,83,1,K,L, 	(03-JUN-2025 11:33:00)
4,84,1,K,L, 	(03-JUN-2025 11:33:00)
4,85,1,K,L, 	(03-JUN-2025 11:33:00)
4,86,1,K,L, 	(03-JUN-2025 11:33:00)
4,87,1,K,L, 	(03-JUN-2025 11:33:00)
4,88,1,K,L, 	(03-JUN-2025 11:33:00)
4,89,1,K,L, 	(03-JUN-2025 11:33:00)
4,90,1,K,L, 	(03-JUN-2025 11:33:00)
4,91,1,K,L, 	(03-JUN-2025 11:33:00)
4,92,1,K,L, 	(03-JUN-2025 11:33:00)
4,93,1,K,L, 	(03-JUN-2025 11:33:00)
4,94,1,K,L, 	(03-JUN-2025 11:33:00)
4,95,1,K,L, 	(03-JUN-2025 11:33:00)
4,96,1,K,L, 	(03-JUN-2025 11:33:00)
4,97,1,K,L, 	(03-JUN-2025 11:33:00)
4,98,1,K,L, 	(03-JUN-2025 11:33:00)
4,99,1,K,L, 	(03-JUN-2025 11:33:00)
4,100,1,K,L, 	(03-JUN-2025 11:33:00)
4,101,1,K,L, 	(03-JUN-2025 11:33:00)
4,102,1,K,L, 	(03-JUN-2025 11:33:00)
4,103,1,K,L, 	(03-JUN-2025 11:33:00)
4,104,1,K,L, 	(03-JUN-2025 11:33:00)
4,105,1,K,L, 	(03-JUN-2025 11:33:00)
4,1,1,K,L, 	(03-JUN-2025 11:33:00)
4,2,1,K,L, 	(03-JUN-2025 11:33:00)
4,3,1,K,L, 	(03-JUN-2025 11:33:00)
4,4,1,K,L, 	(03-JUN-2025 11:33:00)
4,5,1,K,L, 	(03-JUN-2025 11:33:00)
4,6,1,K,L, 	(03-JUN-2025 11:33:00)
4,7,1,K,L, 	(03-JUN-2025 11:33:00)
4,8,1,K,L, 	(03-JUN-2025 11:33:00)
4,9,1,K,L, 	(03-JUN-2025 11:33:00)
4,10,1,K,L, 	(03-JUN-2025 11:33:00)
4,11,1,K,L, 	(03-JUN-2025 11:33:00)
4,12,1,K,L, 	(03-JUN-2025 11:33:00)
10,1,1,K,S, 	(03-JUN-2025 11:33:00)
