
<<START>>,<<FMS_GTA_AGMT_MST>>,, 	(13-MAY-2025 15:42:54)
 

TOTAL DATA EXTRACTED :,6,,  	(13-MAY-2025 15:42:55)
 
<<END>>,<<FMS_GTA_AGMT_MST>>,, 	(13-MAY-2025 15:42:55)
 
<<START>>,<<FMS_GTA_ENTRY_POINT>>,, 	(13-MAY-2025 15:42:55)
 

TOTAL DATA EXTRACTED :,392,,  	(13-MAY-2025 15:42:55)
 
<<END>>,<<FMS_GTA_ENTRY_POINT>>,, 	(13-MAY-2025 15:42:55)
 
<<START>>,<<FMS_GTA_EXIT_POINT>>,, 	(13-MAY-2025 15:42:55)
 

TOTAL DATA EXTRACTED :,392,,  	(13-MAY-2025 15:42:58)
 
<<END>>,<<FMS_GTA_EXIT_POINT>>,, 	(13-MAY-2025 15:42:58)
 

<<START>>,<<FMS_GTA_CONT_MST>>,,, 	(13-MAY-2025 15:42:58)
 
COUNTERPARTY_ABBR,PARTY_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,TIMESTAMP,
Gail,16,16,1,0,63,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,64,0,GA ONGCHAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,65,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,66,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,67,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,68,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,69,0,GAIL MSK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,70,0,GAIL MSK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,71,0,GAIL MSK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,72,0,GAIL ANK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,73,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,74,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,75,0,GAIL MSK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,76,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,77,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,78,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,79,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,80,0,GAIL MSK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,81,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,82,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,83,0,GAIL MSK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,84,0,GAIL ANK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,85,0,GAIL MSK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,86,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,87,0,GAIL MSK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,88,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,89,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,90,0,GAIL MSK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,91,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,92,0,GAIL MSK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,93,0,GAIL ANK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,94,0,GAIL ANK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,95,0,GAIL ANK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,96,0,GAIL ANK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,97,0,GAIL ANK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,98,0,GAIL MSK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,99,0,GAIL JAYA, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,100,0,GAIL MSK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,101,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,102,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,103,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,104,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,105,0,GAIL ANK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,106,0,GAIL ANK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,107,0,GAIL MSK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,108,0,GAIL MSK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,109,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,110,0,GAIL ANK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,111,0,GAIL MSK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,112,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,113,0,GAIL ANK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,114,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,115,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,116,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,117,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,118,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,119,0,GAIL MSK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,120,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,121,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,122,0,GAIL ANK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,123,0,GAIL ANK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,124,0,GAIL MSK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,125,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,126,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,127,0,GAIL ANK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,128,0,GAIL MSK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,129,0,GAIL MSK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,130,0,GAIL MSK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,131,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,132,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,133,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,134,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,135,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,136,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,137,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,138,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,139,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,140,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,141,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,142,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,143,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,144,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,145,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,146,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,147,0,GAIL MSK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,148,0,GAIL DAHEJ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,149,0,GAIL MSK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,150,0,GAIL ANK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,151,0,GAIL ANK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,152,0,GAIL ANK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,153,0,GAIL MSK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,154,0,GAIL MSK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,155,0,GAIL ANK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,156,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,157,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,158,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,159,0,GAIL ANK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,160,0,GAIL MSK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,161,0,GAIL MSK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,162,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,163,0,GAIL ANK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,164,0,GAIL MSK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,165,0,GAIL ANK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,166,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,167,0,GAIL MSK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,168,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,169,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,170,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,171,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,172,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,173,0,GAIL MSK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,174,0,GAIL ANK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,175,0,GAIL ANK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,176,0,GAIL ANK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,177,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,178,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,179,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,180,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,181,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,182,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,183,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,184,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,185,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,186,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,187,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,188,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,189,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,190,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,191,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,192,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,193,0,GAIL MSK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,194,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,195,0,GAIL MSK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,196,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,197,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,198,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,199,0,GAIL MSK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,200,0,GAIL ANK, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,201,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,202,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,203,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
Gail,16,16,1,0,204,0,GAIL HAZ, 	(13-MAY-2025 15:42:58)
PipeInfra,18,18,1,0,2,0,PIL GADI, 	(13-MAY-2025 15:42:58)
PipeInfra,18,18,1,0,3,0,PIL HAZ, 	(13-MAY-2025 15:42:58)
PipeInfra,18,18,1,0,4,0,PIL MSK, 	(13-MAY-2025 15:42:58)
PipeInfra,18,18,1,0,5,0,PIL HAZ, 	(13-MAY-2025 15:42:58)
PipeInfra,18,18,1,0,6,0,PIL BHAD, 	(13-MAY-2025 15:42:58)
PipeInfra,18,18,1,0,7,0,PIL MSK, 	(13-MAY-2025 15:42:58)
PipeInfra,18,18,1,0,8,0,PIL MSK, 	(13-MAY-2025 15:42:58)
PipeInfra,18,18,1,0,9,0,PIL MSK, 	(13-MAY-2025 15:42:58)
PipeInfra,1,1,1,0,2,0,PIL HAZ, 	(13-MAY-2025 15:42:58)
PipeInfra,1,1,1,0,3,0,PIL HAZ, 	(13-MAY-2025 15:42:58)
PipeInfra,1,1,1,0,4,0,PIL HAZ, 	(13-MAY-2025 15:42:58)
PipeInfra,1,1,1,0,5,0,PIL HAZ, 	(13-MAY-2025 15:42:58)
PipeInfra,1,1,1,0,6,0,PIL HAZ, 	(13-MAY-2025 15:42:58)
PipeInfra,1,1,1,0,7,0,PIL HAZ, 	(13-MAY-2025 15:42:58)
PipeInfra,1,1,1,0,8,0,PIL HAZ, 	(13-MAY-2025 15:42:58)
GSPL,2,2,1,0,2,0,GSPL HAZ, 	(13-MAY-2025 15:42:58)
GSPL,2,2,1,0,3,0,GSPL BHD, 	(13-MAY-2025 15:42:58)
GSPL,2,2,1,0,4,0,GSPL BHD, 	(13-MAY-2025 15:42:58)
GSPL,2,2,1,0,5,0,GSPL BHD, 	(13-MAY-2025 15:42:58)
GSPL,2,2,1,0,6,0,GSPL BHD, 	(13-MAY-2025 15:42:58)
GSPL,2,2,1,0,7,0,GSPL BHD, 	(13-MAY-2025 15:42:58)
GSPL,2,2,1,0,8,0,GSPL BHD, 	(13-MAY-2025 15:42:58)
GSPL,2,2,1,0,9,0,GSPL BHD, 	(13-MAY-2025 15:42:58)
GSPL,2,2,1,0,10,0,GSPL BHD, 	(13-MAY-2025 15:42:58)
GSPL,2,2,1,0,11,0,GSPL BHD, 	(13-MAY-2025 15:42:58)
GSPL,2,2,1,0,12,0,GSPL BHD, 	(13-MAY-2025 15:42:58)
GSPL,2,2,1,0,13,0,GSPL BHD, 	(13-MAY-2025 15:42:58)
GSPL,2,2,1,0,14,0,GSPL HAZ, 	(13-MAY-2025 15:42:58)
GSPL,2,2,1,0,15,0,GSPL BHD, 	(13-MAY-2025 15:42:58)
GSPL,2,2,1,0,16,0,GSPL BHD, 	(13-MAY-2025 15:42:58)
