
<<START>>,<<FMS_COUNTERPARTY_BU_DTL>>,,,, 	(26-FEB-2025 11:33:40)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,ENTITY,SEQ_NO,EFF_DT,TIMESTAMP
SSAPL,2,S,1,01/04/2013 00:00:00, 	(26-FEB-2025 11:33:40)
SGSINDIA,2,S,1,01/04/2007 00:00:00, 	(26-FEB-2025 11:33:40)
JBB,2,V,1,01/04/2007 00:00:00, 	(26-FEB-2025 11:33:40)
BOXCO,2,H,1,11/08/2014 00:00:00, 	(26-FEB-2025 11:33:40)
JMB,2,H,1,01/04/2005 00:00:00, 	(26-FEB-2025 11:33:40)

TOTAL DATA EXTRACTED :,5 ,,,,  	(26-FEB-2025 11:33:40)
 
<<END>>,<<FMS_COUNTERPARTY_BU_DTL>>,,,, 	(26-FEB-2025 11:33:40)
 
