
<<START>>,<<FMS_GTA_AGMT_MST>>,, 	(05-MAY-2025 16:39:05)
 

TOTAL DATA EXTRACTED :,15,,  	(05-MAY-2025 16:39:06)
 
<<END>>,<<FMS_GTA_AGMT_MST>>,, 	(05-MAY-2025 16:39:06)
 
<<START>>,<<FMS_GTA_ENTRY_POINT>>,, 	(05-MAY-2025 16:39:06)
 

TOTAL DATA EXTRACTED :,392,,  	(05-MAY-2025 16:39:06)
 
<<END>>,<<FMS_GTA_ENTRY_POINT>>,, 	(05-MAY-2025 16:39:06)
 
<<START>>,<<FMS_GTA_EXIT_POINT>>,, 	(05-MAY-2025 16:39:06)
 

TOTAL DATA EXTRACTED :,392,,  	(05-MAY-2025 16:39:06)
 
<<END>>,<<FMS_GTA_EXIT_POINT>>,, 	(05-MAY-2025 16:39:06)
 

<<START>>,<<FMS_GTA_CONT_MST>>,,, 	(05-MAY-2025 16:39:06)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,TIMESTAMP,

TOTAL DATA EXTRACTED :,392 ,,, 	(05-MAY-2025 16:39:07)
 
<<END>>,<<FMS_GTA_CONT_MST>>,,, 	(05-MAY-2025 16:39:07)
 

<<START>>,<<FMS_GTA_CONT_MAP>>,,, 	(05-MAY-2025 16:39:07)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,TIMESTAMP,

TOTAL DATA EXTRACTED :,392 ,,, 	(05-MAY-2025 16:39:07)
 
<<END>>,<<FMS_GTA_CONT_MAP>>,,, 	(05-MAY-2025 16:39:07)
 

<<START>>,<<FMS_DAILY_TRANSPORTER_NOM>>,,, 	(05-MAY-2025 16:39:07)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,GAS_DT,NOM_REV_NO,TIMESTAMP,

TOTAL DATA EXTRACTED :,26991 ,,, 	(05-MAY-2025 16:39:11)
 
<<END>>,<<FMS_DAILY_TRANSPORTER_NOM>>,,, 	(05-MAY-2025 16:39:11)
 

<<START>>,<<FMS_DAILY_TRANSPORTER_SCH>>,,, 	(05-MAY-2025 16:39:11)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,GAS_DT,NOM_REV_NO,TIMESTAMP,

TOTAL DATA EXTRACTED :,36280 ,,, 	(05-MAY-2025 16:39:15)
 
<<END>>,<<FMS_DAILY_TRANSPORTER_SCH>>,,, 	(05-MAY-2025 16:39:15)
 

<<START>>,<<FMS_DAILY_TRANSPORTER_ALLOC>>,,, 	(05-MAY-2025 16:39:15)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,GAS_DT,NOM_REV_NO,TIMESTAMP,

TOTAL DATA EXTRACTED :,17769 ,,, 	(05-MAY-2025 16:39:17)
 
<<END>>,<<FMS_DAILY_TRANSPORTER_ALLOC>>,,, 	(05-MAY-2025 16:39:17)
 
