
<<START>>,<<FMS_METER_MST>>,,,, 	(21-FEB-2025 11:59:44)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,PLANT_SEQ,METER_SEQ,METER_ID,TIMESTAMP
PIL-Haz,1,0,0,PIL-Haz-P0-M0, 	(21-FEB-2025 11:59:46)
GSPL,2,0,0,GSPL-P0-M0, 	(21-FEB-2025 11:59:46)
GAIL-Haz,3,0,0,GAIL-Haz-P0-M0, 	(21-FEB-2025 11:59:46)
PLLD,4,0,0,PLLD-P0-M0, 	(21-FEB-2025 11:59:46)
D6Gadimoga,5,0,0,D6Gadimoga-P0-M0, 	(21-FEB-2025 11:59:46)
PANKGA,6,0,0,PANKGA-P0-M0, 	(21-FEB-2025 11:59:46)
PMSKGA,7,0,0,PMSKGA-P0-M0, 	(21-FEB-2025 11:59:46)
PBHDGS,8,0,0,PBHDGS-P0-M0, 	(21-FEB-2025 11:59:46)
PBHDGS,8,0,0,PBHDGS-P0-M0, 	(21-FEB-2025 11:59:46)
PURCHASE-T,9,0,0,PURCHASE-T-P0-M0, 	(21-FEB-2025 11:59:46)
PARK-ANK,10,0,0,PARK-ANK-P0-M0, 	(21-FEB-2025 11:59:46)
PHUCBM,11,0,0,PHUCBM-P0-M0, 	(21-FEB-2025 11:59:46)
PARK-MSK,12,0,0,PARK-MSK-P0-M0, 	(21-FEB-2025 11:59:46)
PARK-BHD,13,0,0,PARK-BHD-P0-M0, 	(21-FEB-2025 11:59:46)
PARKPHUCBM,14,0,0,PARKPHUCBM-P0-M0, 	(21-FEB-2025 11:59:46)
PMSKP,15,0,0,PMSKP-P0-M0, 	(21-FEB-2025 11:59:46)
Gail,16,0,0,Gail-P0-M0, 	(21-FEB-2025 11:59:46)
RGPL,17,0,0,RGPL-P0-M0, 	(21-FEB-2025 11:59:46)
PipeInfra,18,0,0,PipeInfra-P0-M0, 	(21-FEB-2025 11:59:46)
GSIGLIM,19,0,0,GSIGLIM-P0-M0, 	(21-FEB-2025 11:59:46)
GSINLIM,20,0,0,GSINLIM-P0-M0, 	(21-FEB-2025 11:59:46)

TOTAL DATA EXTRACTED :,95,,,, 	(21-FEB-2025 11:59:46)
 
<<END>>,<<FMS_METER_MST>>,,,, 	(21-FEB-2025 11:59:46)
 
