
<<START>>,<<FMS_DLNG_INVOICE_MST_LP>>,,,, 	(12-FEB-2026 11:13:12)
 
COUNTERPARTY_ABBR,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,LOG_SEQ_NO,TIMESTAMP,
KUTCHCL,I,, 	(12-FEB-2026 11:13:15)
KUTCHCL,I,, 	(12-FEB-2026 11:13:15)
KUTCHCL,I,, 	(12-FEB-2026 11:13:15)
KUTCHCL,I,, 	(12-FEB-2026 11:13:15)
KUTCHCL,I,, 	(12-FEB-2026 11:13:15)
KUTCHCL,I,, 	(12-FEB-2026 11:13:15)
KUTCHCL,I,, 	(12-FEB-2026 11:13:15)
KUTCHCL,I,, 	(12-FEB-2026 11:13:15)
KUTCHCL,I,, 	(12-FEB-2026 11:13:15)
KUTCHCL,I,, 	(12-FEB-2026 11:13:15)
KUTCHCL,I,, 	(12-FEB-2026 11:13:15)
KUTCHCL,I,, 	(12-FEB-2026 11:13:15)
KUTCHCL,I,, 	(12-FEB-2026 11:13:15)
KUTCHCL,I,, 	(12-FEB-2026 11:13:15)
KUTCHCL,I,, 	(12-FEB-2026 11:13:15)
KUTCHCL,I,, 	(12-FEB-2026 11:13:15)
KUTCHCL,I,, 	(12-FEB-2026 11:13:15)
KUTCHCL,I,, 	(12-FEB-2026 11:13:15)
KUTCHCL,I,, 	(12-FEB-2026 11:13:15)

TOTAL DATA EXTRACTED :,127,,,, 	(12-FEB-2026 11:13:15)
 
<<END>>,<<FMS_DLNG_INVOICE_MST_LP>>,,,, 	(12-FEB-2026 11:13:15)
 
