

<<START>>,<<FMS_COUNTERPARTY_MST>>,,, 	(25-FEB-2025 16:51:09)
 
COUNTERPARTY_CD,EFF_DT,CATEGORY,WEB_ADDR,TIMESTAMP
'VVF&@&46',01/05/2020 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'KFL&@&47',23/07/2020 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'BIL&@&48',25/06/2020 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'RIPL&@&49',19/11/2020 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'CP&@&50',15/10/2020 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'HHFG DLNG&@&51',26/10/2020 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'VIDUWIL&@&52',01/01/2021 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'AGP CGD&@&53',25/01/2021 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'MINDA&@&54',29/01/2021 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'LEIPL&@&55',04/11/2020 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'SCHOTT&@&56',24/02/2020 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'HIL&@&57',01/01/2021 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'HCGD-B&@&58',01/04/2021 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'BIPL&@&59',21/07/2020 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'EXXARO&@&60',23/06/2021 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'EXXARO&@&60',29/05/2021 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'STVPL&@&61',11/10/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'STVPL&@&61',18/02/2021 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'JGPL&@&62',11/10/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'JGPL&@&62',18/02/2021 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'WALLCERA&@&63',17/02/2021 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'ASTIS&@&64',11/10/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'ASTIS&@&64',17/02/2021 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'PROTON&@&65',11/10/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'PROTON&@&65',16/06/2021 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'PROTON&@&65',16/02/2021 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'ANTIQUE&@&66',11/10/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'ANTIQUE&@&66',16/06/2021 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'ANTIQUE&@&66',16/02/2021 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'ACER&@&67',11/10/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'ACER&@&67',16/06/2021 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'ACER&@&67',16/02/2021 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'KAJARIA&@&68',30/11/2020 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'GASGROWS&@&69',11/10/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'GASGROWS&@&69',07/05/2020 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'SISECAM&@&70',09/06/2021 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'ATPL&@&71',17/12/2020 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'OPAL&@&72',28/07/2021 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'JKPAPER&@&73',02/08/2021 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'STL&@&74',25/08/2021 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'UEPL&@&75',11/10/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'UEPL&@&75',03/09/2021 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'CELLO&@&76',01/12/2021 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'CALDERYS&@&77',11/10/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'CALDERYS&@&77',20/12/2021 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'RCF&@&78',30/12/2021 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'BWRL&@&79',25/01/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'KRYO&@&80',11/10/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'KRYO&@&80',31/01/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'VIRGO&@&81',12/02/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'BLPL&@&82',02/03/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'GIPSKARTON&@&83',24/03/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'TGPL&@&84',27/04/2005 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'SELNG&@&85',29/04/2005 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'SITME&@&86',20/10/2008 00:00:00 , Group , 'null' ,  	(25-FEB-2025 16:51:11)
'DT&@&87',01/04/2005 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'ThirdParty&@&88',01/03/2012 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'Gunvor &@&89',10/02/2021 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'RIL-D6&@&90',01/01/2021 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'BP &@&91',01/01/2021 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'AMNS-T&@&92',01/01/2019 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'RIL-CBM&@&93',25/03/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'HPPL&@&95',01/07/2017 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'PIL-Haz&@&96',23/03/2018 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'GSPL&@&97',21/04/2006 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'GAIL-Haz&@&98',08/03/2007 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'PLLD&@&99',01/01/2020 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'D6Gadimoga&@&100',01/03/2021 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'PANKGA&@&101',01/01/2021 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'PMSKGA&@&102',01/01/2021 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'PBHDGS&@&103',01/01/2021 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'PURCHASE-T&@&104',01/10/2021 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'PARK-ANK&@&105',01/02/2022 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'PHUCBM&@&106',31/03/2022 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'PARK-MSK&@&107',19/04/2022 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'PARK-BHD&@&108',19/04/2022 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'PARKPHUCBM&@&109',19/04/2022 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'TGLPL&@&110',29/04/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'TGBPL&@&111',29/04/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'BGEPL&@&112',29/04/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'IMCL&@&113',12/05/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'PMSKP&@&114',13/05/2022 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'VVF India&@&115',14/05/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'GNFC&@&116',24/05/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'MEGHHQX&@&117',02/06/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'ONGC&@&118',07/06/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'GLIL&@&119',07/06/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'UGEL&@&120',09/06/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'SGI-AP&@&121',27/06/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'IGX&@&122',29/06/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'IGX&@&123',30/06/2022 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'IGX&@&123',29/06/2022 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'RGPL&@&124',29/06/2022 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'GTIPL&@&125',01/07/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'GSPL-C&@&126',12/07/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'PEPL&@&127',13/07/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'GFCL&@&128',14/07/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'DERL&@&129',16/08/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'CPL&@&130',16/08/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'IRM&@&131',07/12/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'IRM&@&131',24/08/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'PPL&@&132',26/08/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'YARALTD&@&133',06/09/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'INPEROX&@&134',13/09/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'RAFECHL&@&135',28/09/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'MGRPL&@&136',07/10/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'MGRPL&@&136',01/10/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'CNTENKA&@&137',17/10/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'EFSPL&@&138',25/10/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'WELSMEL&@&139',16/11/2022 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'HINDURV&@&140',17/11/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'DONOTUSE&@&141',21/11/2022 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'DONOTUSE&@&141',17/11/2022 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'HCGPUTE&@&142',18/11/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'GOAGLSF&@&143',25/11/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'IGSPL&@&144',16/12/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'IGSPL&@&144',25/11/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'ELAWPRC&@&145',02/12/2022 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'PEFORCV&@&146',08/12/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'AARVKRO&@&147',12/12/2022 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'ACOVIED&@&148',12/12/2022 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'ANTIQAC&@&149',15/12/2022 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'ANTIQAC&@&149',12/12/2022 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'ASIANPL&@&150',12/12/2022 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'AVLCRMC&@&151',12/12/2022 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'AXWELLG&@&152',12/12/2022 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'BEGLASS&@&153',12/12/2022 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'BHRTFRG&@&154',12/12/2022 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'BHEL&@&155',12/12/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'BICELLO&@&156',12/12/2022 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'CAPAROE&@&157',12/12/2022 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'CLVTPVL&@&158',12/12/2022 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'COMFIND&@&159',13/12/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'DCMSHRI&@&160',13/12/2022 00:00:00 , 3rd Party , 'null' ,  	(25-FEB-2025 16:51:11)
'DEENOVK&@&161',13/12/2022 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'DHARLTD&@&162',13/12/2022 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'DURAVIT&@&163',13/12/2022 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'DURZGRA&@&164',13/12/2022 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'ERACLTD&@&165',13/12/2022 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'EURILTD&@&166',13/12/2022 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'FIORGPL&@&167',13/12/2022 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'GAMALTD&@&168',13/12/2022 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'GFLLTD&@&169',14/12/2022 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'GMRLTD&@&170',14/12/2022 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'GOCOPRL&@&171',14/12/2022 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'GLDIDLI&@&172',14/12/2022 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'GJALCHEM&@&173',14/12/2022 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'GUJASZR&@&174',14/12/2022 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'GUJAGAS&@&175',14/12/2022 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'JOHNTBK&@&176',14/12/2022 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'HARYCIT&@&177',14/12/2022 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'HCGKCEP&@&178',14/12/2022 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
'HEGLPWN&@&179',14/12/2022 00:00:00 , null , 'null' ,  	(25-FEB-2025 16:51:11)
