

<<START>>,<<FMS_ENTITY_ACCOUNT_CODE_SUN>>,,, 	(21-AUG-2025 10:05:57)
 
COUNTERPARTY_ABBR,PLANT_SEQ_NO,ENTITY,ACCOUNT_TYPE,TIMESTAMP,
SCHOTT,0,C,DFT, 	(21-AUG-2025 10:05:58)
HIL,0,C,DFT, 	(21-AUG-2025 10:05:58)
HCGD-B,0,C,DFT, 	(21-AUG-2025 10:05:58)
BIPL,0,C,DFT, 	(21-AUG-2025 10:05:58)
EXXARO,0,C,DFT, 	(21-AUG-2025 10:05:58)
EXXARO,0,C,DFT, 	(21-AUG-2025 10:05:58)
KAJARIA,0,C,DFT, 	(21-AUG-2025 10:05:58)
SISECAM,0,C,DFT, 	(21-AUG-2025 10:05:58)
ATPL,0,C,DFT, 	(21-AUG-2025 10:05:58)
OPAL,0,C,DFT, 	(21-AUG-2025 10:05:58)
JKPAPER,0,C,DFT, 	(21-AUG-2025 10:05:58)
STL,0,C,DFT, 	(21-AUG-2025 10:05:58)
CELLO,0,C,DFT, 	(21-AUG-2025 10:05:58)
RCF,0,C,DFT, 	(21-AUG-2025 10:05:58)
BWRL,0,C,DFT, 	(21-AUG-2025 10:05:58)
VIRGO,0,C,DFT, 	(21-AUG-2025 10:05:58)
GIPSKARTON,0,C,DFT, 	(21-AUG-2025 10:05:58)
TGPL,0,T,DFT, 	(21-AUG-2025 10:05:58)
TGPL,0,R,S, 	(21-AUG-2025 10:05:58)
TGPL,0,R,CD, 	(21-AUG-2025 10:05:58)
SELNG,0,T,DFT, 	(21-AUG-2025 10:05:58)
SELNG,0,R,S, 	(21-AUG-2025 10:05:58)
SELNG,0,R,CD, 	(21-AUG-2025 10:05:58)
SITME,0,T,DFT, 	(21-AUG-2025 10:05:58)
SITME,0,R,S, 	(21-AUG-2025 10:05:58)
SITME,0,R,CD, 	(21-AUG-2025 10:05:58)
GUNSPL,0,T,DFT, 	(21-AUG-2025 10:05:59)
GUNSPL,0,R,S, 	(21-AUG-2025 10:05:59)
GUNSPL,0,R,CD, 	(21-AUG-2025 10:05:59)
RIL,0,T,DFT, 	(21-AUG-2025 10:05:59)
RIL,0,R,S, 	(21-AUG-2025 10:05:59)
