

<<START>>,<<FMS_ENTITY_REQ_DTL>>,,, 	(18-MAR-2025 14:15:58)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,SEQ_NO,ENTITY,TIMESTAMP
RIL , 1 , 1 , C ,  	(18-MAR-2025 14:15:59)
MGL , 2 , 1 , C ,  	(18-MAR-2025 14:15:59)
GSPCL , 3 , 1 , C ,  	(18-MAR-2025 14:15:59)
Gail , 4 , 1 , C ,  	(18-MAR-2025 14:15:59)
Gail , 4 , 2 , R ,  	(18-MAR-2025 14:15:59)
BPL , 5 , 1 , C ,  	(18-MAR-2025 14:15:59)
EPL , 6 , 1 , C ,  	(18-MAR-2025 14:15:59)
ESL , 7 , 1 , C ,  	(18-MAR-2025 14:15:59)
NTPC , 8 , 1 , C ,  	(18-MAR-2025 14:15:59)
KRIBHCO , 9 , 1 , C ,  	(18-MAR-2025 14:15:59)
DFPCL , 10 , 1 , C ,  	(18-MAR-2025 14:15:59)
AIGL , 11 , 1 , C ,  	(18-MAR-2025 14:15:59)
ESEZ , 12 , 1 , C ,  	(18-MAR-2025 14:15:59)
KSFL , 13 , 1 , C ,  	(18-MAR-2025 14:15:59)
MAHAGENCO , 14 , 1 , C ,  	(18-MAR-2025 14:15:59)
NPL , 15 , 1 , C ,  	(18-MAR-2025 14:15:59)
SIGIL , 16 , 1 , C ,  	(18-MAR-2025 14:15:59)
VIL , 17 , 1 , C ,  	(18-MAR-2025 14:15:59)
VSIL , 18 , 1 , C ,  	(18-MAR-2025 14:15:59)
GGCL , 19 , 1 , C ,  	(18-MAR-2025 14:15:59)
TPL , 20 , 1 , C ,  	(18-MAR-2025 14:15:59)
WMSL , 21 , 1 , C ,  	(18-MAR-2025 14:15:59)
MNGL , 22 , 1 , C ,  	(18-MAR-2025 14:15:59)
IGL , 23 , 1 , C ,  	(18-MAR-2025 14:15:59)
BPCL , 24 , 1 , C ,  	(18-MAR-2025 14:15:59)
BPCL , 24 , 2 , T ,  	(18-MAR-2025 14:15:59)
TEL , 25 , 1 , C ,  	(18-MAR-2025 14:15:59)
HPCL , 26 , 1 , C ,  	(18-MAR-2025 14:15:59)
