

<<START>>,<<FMS_DAILY_TRANSPORTER_NOM>>,,, 	(13-MAY-2025 12:22:55)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,GAS_DT,NOM_REV_NO,TIMESTAMP,

TOTAL DATA EXTRACTED :,26991 ,,, 	(13-MAY-2025 12:23:00)
 
<<END>>,<<FMS_DAILY_TRANSPORTER_NOM>>,,, 	(13-MAY-2025 12:23:00)
 

<<START>>,<<FMS_DAILY_TRANSPORTER_SCH>>,,, 	(13-MAY-2025 12:23:00)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,GAS_DT,NOM_REV_NO,TIMESTAMP,

TOTAL DATA EXTRACTED :,36280 ,,, 	(13-MAY-2025 12:23:37)
 
<<END>>,<<FMS_DAILY_TRANSPORTER_SCH>>,,, 	(13-MAY-2025 12:23:37)
 

<<START>>,<<FMS_DAILY_TRANSPORTER_ALLOC>>,,, 	(13-MAY-2025 12:23:37)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,GAS_DT,NOM_REV_NO,TIMESTAMP,

TOTAL DATA EXTRACTED :,17769 ,,, 	(13-MAY-2025 12:23:54)
 
<<END>>,<<FMS_DAILY_TRANSPORTER_ALLOC>>,,, 	(13-MAY-2025 12:23:54)
 
