
<<START>>,<<FMS_ENTITY_TURNOVER_DTL>>,,, 	(21-FEB-2025 10:05:59)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,ENTITY,FINANCIAL_YEAR,TIMESTAMP
MINDA,54,C,2020-2021, 	(21-FEB-2025 10:06:00)
MINDA,54,C,2021-2022, 	(21-FEB-2025 10:06:00)
MINDA,54,C,2022-2023, 	(21-FEB-2025 10:06:00)
MINDA,54,C,2023-2024, 	(21-FEB-2025 10:06:00)
LEIPL,55,C,2020-2021, 	(21-FEB-2025 10:06:00)
LEIPL,55,C,2021-2022, 	(21-FEB-2025 10:06:00)
LEIPL,55,C,2022-2023, 	(21-FEB-2025 10:06:00)
SCHOTT,56,C,2020-2021, 	(21-FEB-2025 10:06:00)
SCHOTT,56,C,2022-2023, 	(21-FEB-2025 10:06:00)
HIL,57,C,2020-2021, 	(21-FEB-2025 10:06:00)
HIL,57,C,2022-2023, 	(21-FEB-2025 10:06:00)
HCGD-B,58,C,2021-2022, 	(21-FEB-2025 10:06:00)
HCGD-B,58,C,2023-2024, 	(21-FEB-2025 10:06:00)
BIPL,59,C,2020-2021, 	(21-FEB-2025 10:06:00)
BIPL,59,C,2022-2023, 	(21-FEB-2025 10:06:00)
BIPL,59,C,2023-2024, 	(21-FEB-2025 10:06:00)
EXXARO,60,C,2020-2021, 	(21-FEB-2025 10:06:00)
EXXARO,60,C,2021-2022, 	(21-FEB-2025 10:06:00)
EXXARO,60,C,2022-2023, 	(21-FEB-2025 10:06:00)
EXXARO,60,C,2023-2024, 	(21-FEB-2025 10:06:00)
KAJARIA,68,C,2020-2021, 	(21-FEB-2025 10:06:00)
KAJARIA,68,C,2021-2022, 	(21-FEB-2025 10:06:00)
SISECAM,70,C,2020-2021, 	(21-FEB-2025 10:06:00)
SISECAM,70,C,2021-2022, 	(21-FEB-2025 10:06:00)
SISECAM,70,C,2022-2023, 	(21-FEB-2025 10:06:00)
SISECAM,70,C,2023-2024, 	(21-FEB-2025 10:06:00)
ATPL,71,C,2021-2022, 	(21-FEB-2025 10:06:00)
OPAL,72,C,2020-2021, 	(21-FEB-2025 10:06:00)
OPAL,72,C,2021-2022, 	(21-FEB-2025 10:06:00)
OPAL,72,C,2022-2023, 	(21-FEB-2025 10:06:00)
OPAL,72,C,2023-2024, 	(21-FEB-2025 10:06:00)
JKPAPER,73,C,2020-2021, 	(21-FEB-2025 10:06:00)
JKPAPER,73,C,2021-2022, 	(21-FEB-2025 10:06:00)
JKPAPER,73,C,2022-2023, 	(21-FEB-2025 10:06:00)
STL,74,C,2020-2021, 	(21-FEB-2025 10:06:00)
STL,74,C,2021-2022, 	(21-FEB-2025 10:06:00)
