
<<START>>,<<FMS_DLNG_FFLOW_INV_MST>>,,,, 	(28-JAN-2026 09:58:39)
 
COUNTERPARTY_ABBR,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,LOG_SEQ_NO,TIMESTAMP,
KUTCHCL,S,, 	(28-JAN-2026 09:58:46)
KUTCHCL,S,, 	(28-JAN-2026 09:58:46)
KUTCHCL,S,, 	(28-JAN-2026 09:58:46)
KUTCHCL,S,, 	(28-JAN-2026 09:58:46)
KUTCHCL,S,, 	(28-JAN-2026 09:58:46)
KUTCHCL,S,, 	(28-JAN-2026 09:58:46)
KUTCHCL,S,, 	(28-JAN-2026 09:58:46)
KUTCHCL,S,, 	(28-JAN-2026 09:58:46)
KUTCHCL,S,, 	(28-JAN-2026 09:58:46)
KUTCHCL,S,, 	(28-JAN-2026 09:58:46)
KUTCHCL,S,, 	(28-JAN-2026 09:58:46)
KUTCHCL,S,, 	(28-JAN-2026 09:58:46)
KUTCHCL,S,, 	(28-JAN-2026 09:58:46)
KUTCHCL,S,, 	(28-JAN-2026 09:58:47)
KUTCHCL,S,, 	(28-JAN-2026 09:58:47)
KUTCHCL,S,, 	(28-JAN-2026 09:58:47)
KUTCHCL,S,, 	(28-JAN-2026 09:58:47)
KUTCHCL,S,, 	(28-JAN-2026 09:58:47)
KUTCHCL,S,, 	(28-JAN-2026 09:58:47)
KUTCHCL,S,, 	(28-JAN-2026 09:58:47)
KUTCHCL,S,, 	(28-JAN-2026 09:58:47)
KUTCHCL,S,, 	(28-JAN-2026 09:58:47)
KUTCHCL,S,, 	(28-JAN-2026 09:58:47)
KUTCHCL,S,, 	(28-JAN-2026 09:58:47)
KUTCHCL,S,, 	(28-JAN-2026 09:58:47)
KUTCHCL,S,, 	(28-JAN-2026 09:58:47)
KUTCHCL,S,, 	(28-JAN-2026 09:58:47)

TOTAL DATA EXTRACTED :,136,,,, 	(28-JAN-2026 09:58:47)
 
<<END>>,<<FMS_DLNG_FFLOW_INV_MST>>,,,, 	(28-JAN-2026 09:58:47)
 
<<START>>,<<FMS_DLNG_FFLOW_INV_FILE_DTL>>,,,, 	(28-JAN-2026 09:58:47)
 
COMPANY_CD,BU_STATE_TIN,INVOICE_SEQ,FINANCIAL_YEAR,PDF_TYPE,INVOICE_TYPE,TIMESTAMP,
2,24,25,2025-2026,O,TLU, 	(28-JAN-2026 09:58:47)
2,24,25,2025-2026,D,TLU, 	(28-JAN-2026 09:58:47)
2,24,26,2025-2026,O,TLU, 	(28-JAN-2026 09:58:47)
2,24,26,2025-2026,D,TLU, 	(28-JAN-2026 09:58:47)
2,24,32,2025-2026,O,TLU, 	(28-JAN-2026 09:58:47)
2,24,32,2025-2026,D,TLU, 	(28-JAN-2026 09:58:47)
2,24,37,2025-2026,O,TLU, 	(28-JAN-2026 09:58:47)
2,24,37,2025-2026,D,TLU, 	(28-JAN-2026 09:58:47)
2,24,38,2025-2026,O,TLU, 	(28-JAN-2026 09:58:47)
2,24,38,2025-2026,D,TLU, 	(28-JAN-2026 09:58:47)
2,24,47,2025-2026,O,TLU, 	(28-JAN-2026 09:58:47)
2,24,48,2025-2026,O,TLU, 	(28-JAN-2026 09:58:47)
2,24,49,2025-2026,O,TLU, 	(28-JAN-2026 09:58:47)
2,24,50,2025-2026,O,TLU, 	(28-JAN-2026 09:58:47)
2,24,50,2025-2026,D,TLU, 	(28-JAN-2026 09:58:47)
2,24,5,2024-2025,D,LP, 	(28-JAN-2026 09:58:47)
2,24,5,2024-2025,O,LP, 	(28-JAN-2026 09:58:47)
2,24,5,2024-2025,T,LP, 	(28-JAN-2026 09:58:47)
2,24,6,2024-2025,D,LP, 	(28-JAN-2026 09:58:47)
2,24,6,2024-2025,O,LP, 	(28-JAN-2026 09:58:47)
2,24,6,2024-2025,T,LP, 	(28-JAN-2026 09:58:47)
2,24,9,2025-2026,O,LP, 	(28-JAN-2026 09:58:47)
2,24,1,2022-2023,D,LP, 	(28-JAN-2026 09:58:48)
2,24,1,2022-2023,O,LP, 	(28-JAN-2026 09:58:48)
2,24,1,2022-2023,T,LP, 	(28-JAN-2026 09:58:48)
2,24,2,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,2,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,2,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,2,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,2,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,2,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,2,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,2,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,2,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,2,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,2,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,2,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,2,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,2,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,2,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,2,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,2,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,2,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,2,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,2,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,2,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,2,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,2,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,2,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,2,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,2,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,2,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,3,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,3,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,3,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,4,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,4,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,4,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,5,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,5,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,5,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,6,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,6,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,6,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,7,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,7,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,7,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,8,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,8,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,8,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,9,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,9,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,9,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,10,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,10,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,10,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,11,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,11,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,11,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,12,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,12,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,12,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,13,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,13,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,13,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,14,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,14,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,14,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,15,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,15,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,15,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,16,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,16,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,16,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
