
<<START>>,<<FMS_ENTITY_ADDR_MST>>,,,, 	(01-MAR-2025 10:29:31)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,ADRESS_TYPE,ENTITY,EFF_DATE,TIMESTAMP
MNGL , 22 , C , C , 20/06/2013 00:00:00 ,  	(01-MAR-2025 10:29:33)
IGL , 23 , C , C , 04/02/2011 00:00:00 ,  	(01-MAR-2025 10:29:33)
IGL , 23 , R , C , 04/02/2011 00:00:00 ,  	(01-MAR-2025 10:29:33)
IGL , 23 , B , C , 04/02/2011 00:00:00 ,  	(01-MAR-2025 10:29:33)
BPCL , 24 , R , C , 01/08/2022 00:00:00 ,  	(01-MAR-2025 10:29:33)
BPCL , 24 , R , C , 16/12/2022 00:00:00 ,  	(01-MAR-2025 10:29:33)
BPCL , 24 , B , C , 24/07/2014 00:00:00 ,  	(01-MAR-2025 10:29:33)
BPCL , 24 , R , C , 24/07/2014 00:00:00 ,  	(01-MAR-2025 10:29:33)
BPCL , 24 , C , C , 24/07/2014 00:00:00 ,  	(01-MAR-2025 10:29:33)
BPCL , 24 , C , T , 01/08/2022 00:00:00 ,  	(01-MAR-2025 10:29:33)
BPCL , 24 , C , T , 16/12/2022 00:00:00 ,  	(01-MAR-2025 10:29:33)
TEL , 25 , C , C , 06/08/2014 00:00:00 ,  	(01-MAR-2025 10:29:33)
TEL , 25 , R , C , 06/08/2014 00:00:00 ,  	(01-MAR-2025 10:29:33)
TEL , 25 , B , C , 06/08/2014 00:00:00 ,  	(01-MAR-2025 10:29:33)
HPCL , 26 , R , C , 15/06/2016 00:00:00 ,  	(01-MAR-2025 10:29:33)
HPCL , 26 , C , C , 15/06/2016 00:00:00 ,  	(01-MAR-2025 10:29:33)
HPCL , 26 , B , C , 15/06/2016 00:00:00 ,  	(01-MAR-2025 10:29:33)
HPCL , 26 , R , C , 16/09/2014 00:00:00 ,  	(01-MAR-2025 10:29:33)
HPCL , 26 , B , C , 16/09/2014 00:00:00 ,  	(01-MAR-2025 10:29:33)
HPCL , 26 , R , C , 17/11/2010 00:00:00 ,  	(01-MAR-2025 10:29:33)
HPCL , 26 , R , T , 15/06/2016 00:00:00 ,  	(01-MAR-2025 10:29:33)
JSW , 27 , B , C , 25/11/2014 00:00:00 ,  	(01-MAR-2025 10:29:33)
JSW , 27 , C , C , 25/11/2014 00:00:00 ,  	(01-MAR-2025 10:29:33)
JSW , 27 , R , C , 25/11/2014 00:00:00 ,  	(01-MAR-2025 10:29:33)
JSW , 27 , B , C , 31/05/2011 00:00:00 ,  	(01-MAR-2025 10:29:33)
JSW , 27 , C , C , 31/05/2011 00:00:00 ,  	(01-MAR-2025 10:29:33)
JSW , 27 , R , C , 31/05/2011 00:00:00 ,  	(01-MAR-2025 10:29:33)
BGL , 28 , R , C , 28/07/2016 00:00:00 ,  	(01-MAR-2025 10:29:33)
BGL , 28 , C , C , 28/07/2016 00:00:00 ,  	(01-MAR-2025 10:29:34)
BGL , 28 , B , C , 28/07/2016 00:00:00 ,  	(01-MAR-2025 10:29:34)
GSFC , 29 , C , C , 14/03/2016 00:00:00 ,  	(01-MAR-2025 10:29:34)
GSFC , 29 , R , C , 14/03/2016 00:00:00 ,  	(01-MAR-2025 10:29:34)
GSFC , 29 , B , C , 14/03/2016 00:00:00 ,  	(01-MAR-2025 10:29:34)
H-Energy , 30 , C , C , 14/11/2016 00:00:00 ,  	(01-MAR-2025 10:29:34)
H-Energy , 30 , B , C , 14/11/2016 00:00:00 ,  	(01-MAR-2025 10:29:34)
H-Energy , 30 , R , C , 14/11/2016 00:00:00 ,  	(01-MAR-2025 10:29:34)
SIMPL , 31 , C , C , 14/11/2016 00:00:00 ,  	(01-MAR-2025 10:29:34)
SIMPL , 31 , R , C , 14/11/2016 00:00:00 ,  	(01-MAR-2025 10:29:34)
SIMPL , 31 , B , C , 14/11/2016 00:00:00 ,  	(01-MAR-2025 10:29:34)
ATGL , 32 , C , C , 04/04/2022 00:00:00 ,  	(01-MAR-2025 10:29:34)
ATGL , 32 , R , C , 04/04/2022 00:00:00 ,  	(01-MAR-2025 10:29:34)
ATGL , 32 , B , C , 04/04/2022 00:00:00 ,  	(01-MAR-2025 10:29:34)
