
<<START>>,<<FMS_SUPPLY_CONT_PLANT(DLNG)>>,,,, 	(12-JUN-2025 12:13:13)
 
COUNTERPARTY_ABBR,CONTRACT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,PLANT_SEQ_NO,TIMESTAMP,
HALHFGL,1,0,1, 	(12-JUN-2025 12:13:14)
HALHFGL,1,0,1, 	(12-JUN-2025 12:13:14)
VIDUWIL,1,0,1, 	(12-JUN-2025 12:13:14)
VIDUWIL,1,0,1, 	(12-JUN-2025 12:13:14)
VIDUWIL,1,0,1, 	(12-JUN-2025 12:13:14)
VIDUWIL,1,0,1, 	(12-JUN-2025 12:13:14)
AGP CGD,1,0,1, 	(12-JUN-2025 12:13:14)
AGP CGD,1,0,1, 	(12-JUN-2025 12:13:14)
AGP CGD,1,0,2, 	(12-JUN-2025 12:13:14)
AGP CGD,1,0,1, 	(12-JUN-2025 12:13:14)
AGP CGD,1,0,1, 	(12-JUN-2025 12:13:14)
AGP CGD,1,0,1, 	(12-JUN-2025 12:13:14)
AGP CGD,1,0,1, 	(12-JUN-2025 12:13:14)
AGP CGD,1,0,1, 	(12-JUN-2025 12:13:14)
AGP CGD,1,0,1, 	(12-JUN-2025 12:13:14)
AGP CGD,1,0,1, 	(12-JUN-2025 12:13:14)
AGP CGD,1,0,1, 	(12-JUN-2025 12:13:14)
AGP CGD,1,0,1, 	(12-JUN-2025 12:13:14)
AGP CGD,1,0,1, 	(12-JUN-2025 12:13:14)
AGP CGD,1,0,1, 	(12-JUN-2025 12:13:14)
AGP CGD,1,0,1, 	(12-JUN-2025 12:13:14)
AGP CGD,1,0,1, 	(12-JUN-2025 12:13:14)
AGP CGD,1,0,1, 	(12-JUN-2025 12:13:14)
AGP CGD,1,0,1, 	(12-JUN-2025 12:13:14)
AGP CGD,1,0,1, 	(12-JUN-2025 12:13:14)
AGP CGD,1,0,1, 	(12-JUN-2025 12:13:14)
AGP CGD,1,0,1, 	(12-JUN-2025 12:13:14)
AGP CGD,1,0,1, 	(12-JUN-2025 12:13:14)
AGP CGD,1,0,1, 	(12-JUN-2025 12:13:14)
AGP CGD,1,0,1, 	(12-JUN-2025 12:13:14)
AGP CGD,1,0,1, 	(12-JUN-2025 12:13:14)
AGP CGD,1,0,2, 	(12-JUN-2025 12:13:14)
AGP CGD,1,0,1, 	(12-JUN-2025 12:13:14)
AGP CGD,1,0,2, 	(12-JUN-2025 12:13:14)
AGP CGD,1,0,2, 	(12-JUN-2025 12:13:14)
AGP CGD,1,0,1, 	(12-JUN-2025 12:13:14)
AGP CGD,1,0,1, 	(12-JUN-2025 12:13:14)
AGP CGD,1,0,2, 	(12-JUN-2025 12:13:14)
AGP CGD,1,0,1, 	(12-JUN-2025 12:13:14)
AGP CGD,1,0,1, 	(12-JUN-2025 12:13:14)
AGP CGD,1,0,1, 	(12-JUN-2025 12:13:14)
AGP CGD,1,0,1, 	(12-JUN-2025 12:13:14)
AGP CGD,1,0,1, 	(12-JUN-2025 12:13:14)
MINDA,1,0,1, 	(12-JUN-2025 12:13:14)
MINDA,1,0,1, 	(12-JUN-2025 12:13:14)
MINDA,1,0,1, 	(12-JUN-2025 12:13:14)
MINDA,1,0,1, 	(12-JUN-2025 12:13:14)
MINDA,1,0,1, 	(12-JUN-2025 12:13:14)
MINDA,1,0,1, 	(12-JUN-2025 12:13:14)
MINDA,1,0,1, 	(12-JUN-2025 12:13:14)
MINDA,1,0,1, 	(12-JUN-2025 12:13:14)
MINDA,1,0,1, 	(12-JUN-2025 12:13:14)
MINDA,1,0,1, 	(12-JUN-2025 12:13:14)
MINDA,1,0,1, 	(12-JUN-2025 12:13:14)
MINDA,1,0,1, 	(12-JUN-2025 12:13:14)
MINDA,1,0,1, 	(12-JUN-2025 12:13:14)
MINDA,1,0,1, 	(12-JUN-2025 12:13:14)
MINDA,1,0,1, 	(12-JUN-2025 12:13:14)
MINDA,1,0,1, 	(12-JUN-2025 12:13:14)
MINDA,1,0,1, 	(12-JUN-2025 12:13:14)
MINDA,1,0,1, 	(12-JUN-2025 12:13:14)
