
<<START>>,<<FMS_COUNTERPARTY_PLANT_DTL>>,,,, 	(26-FEB-2025 12:32:56)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,ENTITY,SEQ_NO,EFF_DT,TIMESTAMP

TOTAL DATA EXTRACTED :,0 ,,,,  	(26-FEB-2025 12:32:56)
 
<<END>>,<<FMS_COUNTERPARTY_PLANT_DTL>>,,,, 	(26-FEB-2025 12:32:56)
 
<<START>>,<<FMS_COUNTERPARTY_BU_DTL>>,,,, 	(26-FEB-2025 12:32:56)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,ENTITY,SEQ_NO,EFF_DT,TIMESTAMP
SLPL,2,H,1,21/01/2016 00:00:00, 	(26-FEB-2025 12:32:56)
SLPL,2,H,1,21/01/2016 00:00:00, 	(26-FEB-2025 12:32:56)

TOTAL DATA EXTRACTED :,2 ,,,,  	(26-FEB-2025 12:32:56)
 
<<END>>,<<FMS_COUNTERPARTY_BU_DTL>>,,,, 	(26-FEB-2025 12:32:56)
 
