
<<START>>,<<FMS_SUPPLY_CONT_MST(DLNG)>>,, 	(14-SEP-2025 12:45:07)
AGP CGD,1,0,19,0,F, 	(14-SEP-2025 12:45:08)
AGP CGD,1,0,9,1,F, 	(14-SEP-2025 12:45:08)
AGP CGD,1,0,10,1,F, 	(14-SEP-2025 12:45:08)
AGP CGD,1,0,17,0,F, 	(14-SEP-2025 12:45:08)
AGP CGD,1,0,19,1,F, 	(14-SEP-2025 12:45:08)
AGP CGD,1,0,11,0,F, 	(14-SEP-2025 12:45:08)
AGP CGD,1,0,16,0,F, 	(14-SEP-2025 12:45:08)
AGP CGD,1,0,13,0,F, 	(14-SEP-2025 12:45:08)
AGP CGD,1,0,11,1,F, 	(14-SEP-2025 12:45:08)
AGP CGD,1,0,12,1,F, 	(14-SEP-2025 12:45:08)
AGP CGD,1,0,8,1,F, 	(14-SEP-2025 12:45:08)
AGP CGD,1,0,7,1,F, 	(14-SEP-2025 12:45:08)
AGP CGD,1,0,4,1,F, 	(14-SEP-2025 12:45:08)
AGP CGD,1,0,13,1,F, 	(14-SEP-2025 12:45:08)
AGP CGD,1,0,14,1,F, 	(14-SEP-2025 12:45:08)
AGP CGD,1,0,15,0,F, 	(14-SEP-2025 12:45:08)
AGP CGD,1,0,15,1,F, 	(14-SEP-2025 12:45:08)
MINDA,1,0,2,0,F, 	(14-SEP-2025 12:45:08)
MINDA,1,0,3,0,F, 	(14-SEP-2025 12:45:08)
MINDA,1,0,4,0,F, 	(14-SEP-2025 12:45:08)
MINDA,1,0,1,0,F, 	(14-SEP-2025 12:45:08)
MINDA,1,0,2,1,F, 	(14-SEP-2025 12:45:08)
MINDA,1,0,1,1,F, 	(14-SEP-2025 12:45:08)
MINDA,1,0,6,0,F, 	(14-SEP-2025 12:45:08)
MINDA,1,0,4,1,F, 	(14-SEP-2025 12:45:08)
MINDA,1,0,5,0,F, 	(14-SEP-2025 12:45:08)
MINDA,1,0,7,0,F, 	(14-SEP-2025 12:45:08)
MINDA,1,0,10,0,F, 	(14-SEP-2025 12:45:08)
MINDA,1,0,5,1,F, 	(14-SEP-2025 12:45:08)
MINDA,1,0,3,1,F, 	(14-SEP-2025 12:45:08)
MINDA,1,0,7,1,F, 	(14-SEP-2025 12:45:08)
MINDA,1,0,6,1,F, 	(14-SEP-2025 12:45:08)
MINDA,1,0,9,1,F, 	(14-SEP-2025 12:45:08)
MINDA,1,0,9,0,F, 	(14-SEP-2025 12:45:08)
MINDA,1,0,8,1,F, 	(14-SEP-2025 12:45:08)
MINDA,1,0,11,0,F, 	(14-SEP-2025 12:45:08)
MINDA,1,0,8,0,F, 	(14-SEP-2025 12:45:08)
LEIPL,1,0,1,0,F, 	(14-SEP-2025 12:45:08)
LEIPL,1,0,1,1,F, 	(14-SEP-2025 12:45:08)
LEIPL,1,0,2,1,F, 	(14-SEP-2025 12:45:08)
LEIPL,1,0,3,1,F, 	(14-SEP-2025 12:45:08)
LEIPL,1,0,2,0,F, 	(14-SEP-2025 12:45:08)
LEIPL,1,0,2,2,F, 	(14-SEP-2025 12:45:08)
LEIPL,1,0,3,0,F, 	(14-SEP-2025 12:45:08)
SCHOTT,1,0,1,0,F, 	(14-SEP-2025 12:45:08)
SCHOTT,1,0,2,0,F, 	(14-SEP-2025 12:45:08)
SCHOTT,1,0,2,1,F, 	(14-SEP-2025 12:45:08)
SCHOTT,1,0,1,1,F, 	(14-SEP-2025 12:45:08)
SCHOTT,1,0,1,2,F, 	(14-SEP-2025 12:45:08)
SCHOTT,1,0,2,2,F, 	(14-SEP-2025 12:45:08)
BIPL,1,0,2,0,F, 	(14-SEP-2025 12:45:08)
BIPL,1,0,1,0,F, 	(14-SEP-2025 12:45:08)
BIPL,1,0,2,1,F, 	(14-SEP-2025 12:45:08)
BIPL,1,0,1,1,F, 	(14-SEP-2025 12:45:08)
BIPL,1,0,8,0,F, 	(14-SEP-2025 12:45:08)
BIPL,1,0,9,1,F, 	(14-SEP-2025 12:45:08)
BIPL,1,0,3,0,F, 	(14-SEP-2025 12:45:08)
BIPL,1,0,4,0,F, 	(14-SEP-2025 12:45:08)
BIPL,1,0,4,1,F, 	(14-SEP-2025 12:45:08)
BIPL,1,0,6,0,F, 	(14-SEP-2025 12:45:08)
BIPL,1,0,7,0,F, 	(14-SEP-2025 12:45:08)
BIPL,1,0,3,1,F, 	(14-SEP-2025 12:45:08)
BIPL,1,0,5,0,F, 	(14-SEP-2025 12:45:08)
BIPL,1,0,9,0,F, 	(14-SEP-2025 12:45:08)
EXXARO,1,0,3,0,F, 	(14-SEP-2025 12:45:08)
EXXARO,1,0,1,0,F, 	(14-SEP-2025 12:45:08)
EXXARO,1,0,2,0,F, 	(14-SEP-2025 12:45:08)
EXXARO,1,0,1,1,F, 	(14-SEP-2025 12:45:08)
EXXARO,1,0,2,1,F, 	(14-SEP-2025 12:45:08)
EXXARO,1,0,4,0,F, 	(14-SEP-2025 12:45:08)
EXXARO,1,0,11,0,F, 	(14-SEP-2025 12:45:08)
EXXARO,1,0,4,1,F, 	(14-SEP-2025 12:45:08)
EXXARO,1,0,7,0,F, 	(14-SEP-2025 12:45:08)
EXXARO,1,0,5,1,F, 	(14-SEP-2025 12:45:08)
EXXARO,1,0,7,1,F, 	(14-SEP-2025 12:45:08)
EXXARO,1,0,9,1,F, 	(14-SEP-2025 12:45:08)
EXXARO,1,0,8,1,F, 	(14-SEP-2025 12:45:08)
EXXARO,1,0,10,1,F, 	(14-SEP-2025 12:45:08)
EXXARO,1,0,13,0,F, 	(14-SEP-2025 12:45:08)
EXXARO,1,0,14,0,F, 	(14-SEP-2025 12:45:08)
EXXARO,1,0,13,1,F, 	(14-SEP-2025 12:45:08)
EXXARO,1,0,12,1,F, 	(14-SEP-2025 12:45:08)
EXXARO,1,0,11,1,F, 	(14-SEP-2025 12:45:08)
EXXARO,1,0,8,0,F, 	(14-SEP-2025 12:45:08)
EXXARO,1,0,6,1,F, 	(14-SEP-2025 12:45:08)
EXXARO,1,0,10,0,F, 	(14-SEP-2025 12:45:08)
EXXARO,1,0,3,1,F, 	(14-SEP-2025 12:45:08)
EXXARO,1,0,5,0,F, 	(14-SEP-2025 12:45:08)
EXXARO,1,0,6,0,F, 	(14-SEP-2025 12:45:08)
EXXARO,1,0,9,0,F, 	(14-SEP-2025 12:45:08)
EXXARO,1,0,15,0,F, 	(14-SEP-2025 12:45:08)
EXXARO,1,0,12,0,F, 	(14-SEP-2025 12:45:08)
EXXARO,1,0,14,1,F, 	(14-SEP-2025 12:45:08)
KAJARIA,1,0,2,0,F, 	(14-SEP-2025 12:45:08)
KAJARIA,1,0,1,0,F, 	(14-SEP-2025 12:45:08)
KAJARIA,1,0,1,1,F, 	(14-SEP-2025 12:45:08)
KAJARIA,1,0,2,1,F, 	(14-SEP-2025 12:45:08)
JKPAPER,1,0,2,0,F, 	(14-SEP-2025 12:45:08)
JKPAPER,1,0,4,0,F, 	(14-SEP-2025 12:45:08)
JKPAPER,1,0,3,0,F, 	(14-SEP-2025 12:45:08)
JKPAPER,1,0,1,1,F, 	(14-SEP-2025 12:45:08)
JKPAPER,1,0,3,1,F, 	(14-SEP-2025 12:45:08)
JKPAPER,1,0,1,0,F, 	(14-SEP-2025 12:45:08)
JKPAPER,1,0,2,1,F, 	(14-SEP-2025 12:45:08)
JKPAPER,1,0,5,0,F, 	(14-SEP-2025 12:45:08)
JKPAPER,1,0,11,1,F, 	(14-SEP-2025 12:45:08)
JKPAPER,1,0,7,0,F, 	(14-SEP-2025 12:45:08)
JKPAPER,1,0,5,1,F, 	(14-SEP-2025 12:45:08)
JKPAPER,1,0,6,1,F, 	(14-SEP-2025 12:45:08)
JKPAPER,1,0,8,0,F, 	(14-SEP-2025 12:45:08)
JKPAPER,1,0,10,1,F, 	(14-SEP-2025 12:45:08)
JKPAPER,1,0,4,1,F, 	(14-SEP-2025 12:45:08)
JKPAPER,1,0,11,0,F, 	(14-SEP-2025 12:45:08)
JKPAPER,1,0,12,0,F, 	(14-SEP-2025 12:45:08)
JKPAPER,1,0,8,1,F, 	(14-SEP-2025 12:45:08)
JKPAPER,1,0,9,0,F, 	(14-SEP-2025 12:45:08)
JKPAPER,1,0,10,0,F, 	(14-SEP-2025 12:45:08)
JKPAPER,1,0,6,0,F, 	(14-SEP-2025 12:45:08)
JKPAPER,1,0,9,1,F, 	(14-SEP-2025 12:45:08)
JKPAPER,1,0,7,1,F, 	(14-SEP-2025 12:45:08)
JKPAPER,1,0,12,1,F, 	(14-SEP-2025 12:45:08)
STL,1,0,1,1,F, 	(14-SEP-2025 12:45:08)
STL,1,0,4,1,F, 	(14-SEP-2025 12:45:08)
STL,1,0,1,0,F, 	(14-SEP-2025 12:45:08)
STL,1,0,4,0,F, 	(14-SEP-2025 12:45:08)
STL,1,0,3,1,F, 	(14-SEP-2025 12:45:08)
STL,1,0,5,0,F, 	(14-SEP-2025 12:45:08)
STL,1,0,5,1,F, 	(14-SEP-2025 12:45:08)
STL,1,0,7,0,F, 	(14-SEP-2025 12:45:08)
STL,1,0,7,1,F, 	(14-SEP-2025 12:45:08)
STL,1,0,8,0,F, 	(14-SEP-2025 12:45:08)
STL,1,0,3,0,F, 	(14-SEP-2025 12:45:08)
STL,1,0,6,0,F, 	(14-SEP-2025 12:45:08)
STL,1,0,6,1,F, 	(14-SEP-2025 12:45:08)
STL,1,0,7,2,F, 	(14-SEP-2025 12:45:08)
STL,1,0,2,0,F, 	(14-SEP-2025 12:45:08)
STL,1,0,2,1,F, 	(14-SEP-2025 12:45:08)
STL,1,0,10,0,F, 	(14-SEP-2025 12:45:08)
STL,1,0,10,1,F, 	(14-SEP-2025 12:45:08)
STL,1,0,13,1,F, 	(14-SEP-2025 12:45:08)
STL,1,0,9,0,F, 	(14-SEP-2025 12:45:08)
STL,1,0,13,0,F, 	(14-SEP-2025 12:45:08)
STL,1,0,12,1,F, 	(14-SEP-2025 12:45:08)
STL,1,0,14,0,F, 	(14-SEP-2025 12:45:08)
STL,1,0,12,0,F, 	(14-SEP-2025 12:45:08)
STL,1,0,15,1,F, 	(14-SEP-2025 12:45:08)
STL,1,0,15,3,F, 	(14-SEP-2025 12:45:08)
STL,1,0,9,1,F, 	(14-SEP-2025 12:45:08)
STL,1,0,11,0,F, 	(14-SEP-2025 12:45:08)
STL,1,0,15,0,F, 	(14-SEP-2025 12:45:08)
STL,1,0,8,1,F, 	(14-SEP-2025 12:45:08)
STL,1,0,14,1,F, 	(14-SEP-2025 12:45:08)
STL,1,0,15,2,F, 	(14-SEP-2025 12:45:08)
CELLO,1,0,2,1,F, 	(14-SEP-2025 12:45:08)
CELLO,1,0,2,2,F, 	(14-SEP-2025 12:45:08)
CELLO,1,0,1,0,F, 	(14-SEP-2025 12:45:08)
CELLO,1,0,3,0,F, 	(14-SEP-2025 12:45:08)
CELLO,1,0,5,0,F, 	(14-SEP-2025 12:45:08)
CELLO,1,0,4,1,F, 	(14-SEP-2025 12:45:08)
CELLO,1,0,3,1,F, 	(14-SEP-2025 12:45:08)
CELLO,1,0,5,1,F, 	(14-SEP-2025 12:45:08)
CELLO,1,0,1,1,F, 	(14-SEP-2025 12:45:08)
CELLO,1,0,4,0,F, 	(14-SEP-2025 12:45:08)
CELLO,1,0,2,0,F, 	(14-SEP-2025 12:45:08)
CELLO,1,0,6,0,F, 	(14-SEP-2025 12:45:08)
CELLO,1,0,6,2,F, 	(14-SEP-2025 12:45:08)
CELLO,1,0,6,1,F, 	(14-SEP-2025 12:45:08)
CALDERYS,1,0,1,0,F, 	(14-SEP-2025 12:45:08)
BWRL,1,0,1,1,F, 	(14-SEP-2025 12:45:08)
BWRL,1,0,1,0,F, 	(14-SEP-2025 12:45:08)
BWRL,1,0,2,0,F, 	(14-SEP-2025 12:45:08)
BWRL,1,0,2,1,F, 	(14-SEP-2025 12:45:08)
VIRGO,1,0,2,0,F, 	(14-SEP-2025 12:45:08)
VIRGO,1,0,3,0,F, 	(14-SEP-2025 12:45:08)
VIRGO,1,0,1,0,F, 	(14-SEP-2025 12:45:08)
VIRGO,1,0,8,1,F, 	(14-SEP-2025 12:45:08)
VIRGO,1,0,12,1,F, 	(14-SEP-2025 12:45:08)
VIRGO,1,0,5,0,F, 	(14-SEP-2025 12:45:08)
VIRGO,1,0,4,1,F, 	(14-SEP-2025 12:45:08)
VIRGO,1,0,5,1,F, 	(14-SEP-2025 12:45:08)
VIRGO,1,0,12,0,F, 	(14-SEP-2025 12:45:08)
VIRGO,1,0,13,0,F, 	(14-SEP-2025 12:45:08)
VIRGO,1,0,22,0,F, 	(14-SEP-2025 12:45:08)
VIRGO,1,0,10,0,F, 	(14-SEP-2025 12:45:08)
VIRGO,1,0,11,0,F, 	(14-SEP-2025 12:45:08)
VIRGO,1,0,1,1,F, 	(14-SEP-2025 12:45:08)
VIRGO,1,0,2,1,F, 	(14-SEP-2025 12:45:08)
VIRGO,1,0,4,0,F, 	(14-SEP-2025 12:45:08)
VIRGO,1,0,3,1,F, 	(14-SEP-2025 12:45:08)
VIRGO,1,0,6,0,F, 	(14-SEP-2025 12:45:08)
VIRGO,1,0,7,0,F, 	(14-SEP-2025 12:45:08)
VIRGO,1,0,8,0,F, 	(14-SEP-2025 12:45:08)
VIRGO,1,0,9,0,F, 	(14-SEP-2025 12:45:08)
VIRGO,1,0,9,1,F, 	(14-SEP-2025 12:45:08)
VIRGO,1,0,8,2,F, 	(14-SEP-2025 12:45:08)
VIRGO,1,0,7,1,F, 	(14-SEP-2025 12:45:08)
VIRGO,1,0,6,1,F, 	(14-SEP-2025 12:45:08)
VIRGO,1,0,11,1,F, 	(14-SEP-2025 12:45:08)
VIRGO,1,0,10,1,F, 	(14-SEP-2025 12:45:08)
VIRGO,1,0,20,0,F, 	(14-SEP-2025 12:45:08)
VIRGO,1,0,21,0,F, 	(14-SEP-2025 12:45:08)
VIRGO,1,0,15,1,F, 	(14-SEP-2025 12:45:08)
VIRGO,1,0,15,2,F, 	(14-SEP-2025 12:45:08)
VIRGO,1,0,23,0,F, 	(14-SEP-2025 12:45:08)
VIRGO,1,0,17,0,F, 	(14-SEP-2025 12:45:08)
VIRGO,1,0,18,0,F, 	(14-SEP-2025 12:45:08)
VIRGO,1,0,13,1,F, 	(14-SEP-2025 12:45:08)
VIRGO,1,0,17,1,F, 	(14-SEP-2025 12:45:08)
VIRGO,1,0,18,1,F, 	(14-SEP-2025 12:45:08)
VIRGO,1,0,15,3,F, 	(14-SEP-2025 12:45:08)
VIRGO,1,0,19,0,F, 	(14-SEP-2025 12:45:08)
VIRGO,1,0,19,1,F, 	(14-SEP-2025 12:45:08)
VIRGO,1,0,20,1,F, 	(14-SEP-2025 12:45:08)
VIRGO,1,0,14,1,F, 	(14-SEP-2025 12:45:08)
VIRGO,1,0,15,0,F, 	(14-SEP-2025 12:45:08)
VIRGO,1,0,14,0,F, 	(14-SEP-2025 12:45:08)
GIPSKARTON,1,0,1,0,F, 	(14-SEP-2025 12:45:08)
GIPSKARTON,1,0,1,1,F, 	(14-SEP-2025 12:45:08)
TGBPL,1,0,3,0,F, 	(14-SEP-2025 12:45:08)
TGBPL,1,0,3,1,F, 	(14-SEP-2025 12:45:08)
TGBPL,1,0,5,0,F, 	(14-SEP-2025 12:45:08)
TGBPL,1,0,2,0,F, 	(14-SEP-2025 12:45:08)
TGBPL,1,0,1,1,F, 	(14-SEP-2025 12:45:08)
TGBPL,1,0,2,1,F, 	(14-SEP-2025 12:45:08)
TGBPL,1,0,7,1,F, 	(14-SEP-2025 12:45:08)
TGBPL,1,0,14,0,F, 	(14-SEP-2025 12:45:08)
TGBPL,1,0,6,0,F, 	(14-SEP-2025 12:45:08)
TGBPL,1,0,7,0,F, 	(14-SEP-2025 12:45:08)
TGBPL,1,0,4,0,F, 	(14-SEP-2025 12:45:08)
TGBPL,1,0,1,0,F, 	(14-SEP-2025 12:45:08)
TGBPL,1,0,12,0,F, 	(14-SEP-2025 12:45:08)
TGBPL,1,0,14,1,F, 	(14-SEP-2025 12:45:08)
TGBPL,1,0,15,0,F, 	(14-SEP-2025 12:45:08)
TGBPL,1,0,13,0,F, 	(14-SEP-2025 12:45:08)
TGBPL,1,0,15,1,F, 	(14-SEP-2025 12:45:08)
TGBPL,1,0,8,0,F, 	(14-SEP-2025 12:45:08)
TGBPL,1,0,10,0,F, 	(14-SEP-2025 12:45:08)
TGBPL,1,0,9,0,F, 	(14-SEP-2025 12:45:08)
TGBPL,1,0,11,0,F, 	(14-SEP-2025 12:45:08)
IMCL,1,0,1,0,F, 	(14-SEP-2025 12:45:08)
IMCL,1,0,2,0,F, 	(14-SEP-2025 12:45:08)
IMCL,1,0,1,1,F, 	(14-SEP-2025 12:45:08)
IMCL,1,0,2,1,F, 	(14-SEP-2025 12:45:08)
GLIL,1,0,2,0,F, 	(14-SEP-2025 12:45:08)
GLIL,1,0,1,0,F, 	(14-SEP-2025 12:45:08)
GLIL,1,0,3,1,F, 	(14-SEP-2025 12:45:08)
GLIL,1,0,2,1,F, 	(14-SEP-2025 12:45:08)
GLIL,1,0,3,0,F, 	(14-SEP-2025 12:45:08)
GLIL,1,0,1,1,F, 	(14-SEP-2025 12:45:08)
GLIL,1,0,2,2,F, 	(14-SEP-2025 12:45:08)
SGI-AP,1,0,1,0,F, 	(14-SEP-2025 12:45:08)
SGI-AP,1,0,1,1,F, 	(14-SEP-2025 12:45:08)
HCGPUTE,1,0,1,0,F, 	(14-SEP-2025 12:45:09)
HCGPUTE,1,0,1,1,F, 	(14-SEP-2025 12:45:09)
COMFIND,1,0,1,1,F, 	(14-SEP-2025 12:45:09)
COMFIND,1,0,2,0,F, 	(14-SEP-2025 12:45:09)
COMFIND,1,0,1,0,F, 	(14-SEP-2025 12:45:09)
COMFIND,1,0,8,0,F, 	(14-SEP-2025 12:45:09)
COMFIND,1,0,6,1,F, 	(14-SEP-2025 12:45:09)
COMFIND,1,0,7,1,F, 	(14-SEP-2025 12:45:09)
COMFIND,1,0,9,0,F, 	(14-SEP-2025 12:45:09)
COMFIND,1,0,5,1,F, 	(14-SEP-2025 12:45:09)
COMFIND,1,0,8,1,F, 	(14-SEP-2025 12:45:09)
COMFIND,1,0,9,1,F, 	(14-SEP-2025 12:45:09)
COMFIND,1,0,4,0,F, 	(14-SEP-2025 12:45:09)
COMFIND,1,0,2,1,F, 	(14-SEP-2025 12:45:09)
COMFIND,1,0,3,0,F, 	(14-SEP-2025 12:45:09)
COMFIND,1,0,5,0,F, 	(14-SEP-2025 12:45:09)
