
<<START>>,<<FMS_COUNTERPARTY_BU_DTL>>,,,, 	(27-FEB-2025 11:59:31)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,ENTITY,SEQ_NO,EFF_DT,TIMESTAMP
SSAPL,2,S,1,01/04/2013 00:00:00, 	(27-FEB-2025 11:59:31)
SGSINDIA,2,S,1,01/04/2007 00:00:00, 	(27-FEB-2025 11:59:31)
JBB,2,V,1,01/04/2007 00:00:00, 	(27-FEB-2025 11:59:31)
BOXCO,2,H,1,11/08/2014 00:00:00, 	(27-FEB-2025 11:59:31)
JMB,2,H,1,01/04/2005 00:00:00, 	(27-FEB-2025 11:59:31)

TOTAL DATA EXTRACTED :,5 ,,,,  	(27-FEB-2025 11:59:31)
 
<<END>>,<<FMS_COUNTERPARTY_BU_DTL>>,,,, 	(27-FEB-2025 11:59:31)
 
