

<<START>>,<<FMS_DAILY_TRANSPORTER_NOM>>,,, 	(12-MAY-2025 10:24:24)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,GAS_DT,NOM_REV_NO,TIMESTAMP,

TOTAL DATA EXTRACTED :,26991 ,,, 	(12-MAY-2025 10:24:28)
 
<<END>>,<<FMS_DAILY_TRANSPORTER_NOM>>,,, 	(12-MAY-2025 10:24:28)
 

<<START>>,<<FMS_DAILY_TRANSPORTER_SCH>>,,, 	(12-MAY-2025 10:24:28)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,GAS_DT,NOM_REV_NO,TIMESTAMP,

TOTAL DATA EXTRACTED :,36280 ,,, 	(12-MAY-2025 10:25:03)
 
<<END>>,<<FMS_DAILY_TRANSPORTER_SCH>>,,, 	(12-MAY-2025 10:25:03)
 

<<START>>,<<FMS_DAILY_TRANSPORTER_ALLOC>>,,, 	(12-MAY-2025 10:25:03)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,GAS_DT,NOM_REV_NO,TIMESTAMP,

TOTAL DATA EXTRACTED :,17769 ,,, 	(12-MAY-2025 10:25:20)
 
<<END>>,<<FMS_DAILY_TRANSPORTER_ALLOC>>,,, 	(12-MAY-2025 10:25:20)
 
