
<<START>>,<<FMS_ENTITY_BU_SVC_TAX_DTL>>,,,, 	(23-JUL-2025 15:33:33)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,ENTITY,PLANT_SEQ_NO,TAX_STRUCT_CD,TIMESTAMP
JMB,1,C,1,5, 	(23-JUL-2025 15:33:33)
JMB,1,C,1,6, 	(23-JUL-2025 15:33:33)
BOXCO,2,C,1,6, 	(23-JUL-2025 15:33:33)
JBB,2,S,1,6, 	(23-JUL-2025 15:33:33)
JBB,2,S,1,6, 	(23-JUL-2025 15:33:33)
JBB,2,S,1,9, 	(23-JUL-2025 15:33:33)
SSAPL,3,S,1,9, 	(23-JUL-2025 15:33:33)
SLPL,4,C,1,15, 	(23-JUL-2025 15:33:33)

TOTAL DATA EXTRACTED :,8,,,, 	(23-JUL-2025 15:33:33)
 
<<END>>,<<FMS_ENTITY_BU_SVC_TAX_DTL>>,,,, 	(23-JUL-2025 15:33:33)
 
