
<<START>>,<<FMS_INV_STORAGE_CRG_DTL>>,,,, 	(23-JUL-2025 14:58:59)
 
COUNTERPARTY_ABBR,INVOICE_SEQ,FINANCIAL_YEAR,STORAGE_DT,RATE_TYPE,TIMESTAMP,
,549,2020-2021,13/03/2021 00:00:00,U, 	(23-JUL-2025 14:59:00)
,549,2020-2021,12/03/2021 00:00:00,U, 	(23-JUL-2025 14:59:00)
,549,2020-2021,11/03/2021 00:00:00,U, 	(23-JUL-2025 14:59:00)
,12,2021-2022,18/04/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,12,2021-2022,17/04/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,12,2021-2022,16/04/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,12,2021-2022,18/04/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,12,2021-2022,17/04/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,12,2021-2022,16/04/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,12,2021-2022,18/04/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,12,2021-2022,17/04/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,12,2021-2022,16/04/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,12,2021-2022,18/04/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,12,2021-2022,17/04/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,12,2021-2022,16/04/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,12,2021-2022,18/04/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,12,2021-2022,17/04/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,12,2021-2022,16/04/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,34,2021-2022,04/05/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,34,2021-2022,03/05/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,34,2021-2022,02/05/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,34,2021-2022,01/05/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,34,2021-2022,30/04/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,34,2021-2022,29/04/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,34,2021-2022,28/04/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,34,2021-2022,27/04/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,36,2021-2022,10/05/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,36,2021-2022,10/05/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,36,2021-2022,09/05/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,36,2021-2022,08/05/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,36,2021-2022,07/05/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,36,2021-2022,06/05/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,36,2021-2022,05/05/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,36,2021-2022,04/05/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,36,2021-2022,09/05/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,36,2021-2022,08/05/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,36,2021-2022,07/05/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,36,2021-2022,06/05/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,36,2021-2022,05/05/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,36,2021-2022,04/05/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,36,2021-2022,10/05/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,36,2021-2022,09/05/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,36,2021-2022,08/05/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,36,2021-2022,07/05/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,36,2021-2022,06/05/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,36,2021-2022,05/05/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,36,2021-2022,04/05/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,225,2020-2021,31/07/2020 00:00:00,U, 	(23-JUL-2025 14:59:00)
,225,2020-2021,30/07/2020 00:00:00,U, 	(23-JUL-2025 14:59:00)
,225,2020-2021,29/07/2020 00:00:00,U, 	(23-JUL-2025 14:59:00)
,225,2020-2021,28/07/2020 00:00:00,U, 	(23-JUL-2025 14:59:00)
,225,2020-2021,27/07/2020 00:00:00,U, 	(23-JUL-2025 14:59:00)
,225,2020-2021,26/07/2020 00:00:00,U, 	(23-JUL-2025 14:59:00)
,225,2020-2021,25/07/2020 00:00:00,U, 	(23-JUL-2025 14:59:00)
,225,2020-2021,24/07/2020 00:00:00,U, 	(23-JUL-2025 14:59:00)
,138,2020-2021,13/06/2020 00:00:00,U, 	(23-JUL-2025 14:59:00)
,138,2020-2021,15/06/2020 00:00:00,U, 	(23-JUL-2025 14:59:00)
,138,2020-2021,14/06/2020 00:00:00,U, 	(23-JUL-2025 14:59:00)
,195,2021-2022,07/11/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,195,2021-2022,06/11/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,195,2021-2022,05/11/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,195,2021-2022,04/11/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,195,2021-2022,03/11/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,195,2021-2022,02/11/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,195,2021-2022,01/11/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,195,2021-2022,31/10/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,195,2021-2022,30/10/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,195,2021-2022,29/10/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,195,2021-2022,28/10/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,195,2021-2022,27/10/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,195,2021-2022,26/10/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,195,2021-2022,25/10/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,195,2021-2022,24/10/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,195,2021-2022,23/10/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,195,2021-2022,22/10/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,195,2021-2022,21/10/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,195,2021-2022,20/10/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,195,2021-2022,19/10/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,195,2021-2022,18/10/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,195,2021-2022,17/10/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,195,2021-2022,16/10/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,195,2021-2022,15/10/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,195,2021-2022,14/10/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,49,2021-2022,10/05/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,49,2021-2022,09/05/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,49,2021-2022,08/05/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,49,2021-2022,07/05/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,49,2021-2022,06/05/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,49,2021-2022,05/05/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,49,2021-2022,04/05/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,49,2021-2022,10/05/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,49,2021-2022,09/05/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
