

<<START>>,<<FMS_LTCORA_CONT_MST>>,,, 	(12-SEP-2025 15:58:35)
 
COUNTERPARTY_ABBR,BUY_SALE,AGMT_TYPE,AGMT_NO,AGMT_REV,CONTRACT_TYPE,CONT_NO,CONT_REV,TIMESTAMP,
AMNS,,A,12,0,Q,2019,0, 	(12-SEP-2025 15:58:36)
AMNS,,A,6,0,Q,2017,0, 	(12-SEP-2025 15:58:36)
AMNS,,A,9,0,Q,2019,0, 	(12-SEP-2025 15:58:36)
AMNS,,A,4,0,Q,2017,0, 	(12-SEP-2025 15:58:36)
AMNS,,A,14,0,Q,2019,0, 	(12-SEP-2025 15:58:36)
AMNS,,A,10,0,Q,2019,0, 	(12-SEP-2025 15:58:36)
AMNS,,A,15,0,Q,2019,0, 	(12-SEP-2025 15:58:36)
AMNS,,A,18,0,Q,2020,0, 	(12-SEP-2025 15:58:36)
AMNS,,A,16,0,Q,2019,0, 	(12-SEP-2025 15:58:36)
AMNS,,A,18,0,Q,2020,0, 	(12-SEP-2025 15:58:36)
AMNS,,A,17,0,Q,2020,0, 	(12-SEP-2025 15:58:36)
AMNS,,A,19,0,Q,2025,0, 	(12-SEP-2025 15:58:36)
AMNS,,A,2,0,Q,2017,0, 	(12-SEP-2025 15:58:36)
SEMTIPL,,A,1,0,O,2025,0, 	(12-SEP-2025 15:58:36)
SEMTIPL,,A,1,0,O,2025,0, 	(12-SEP-2025 15:58:36)

TOTAL DATA EXTRACTED :,74 ,,, 	(12-SEP-2025 15:58:37)
 
<<END>>,<<FMS_LTCORA_CONT_MST>>,,, 	(12-SEP-2025 15:58:37)
 
