
<<START>>,<<FMS_ENTITY_BU_SVC_TAX_DTL>>,,,, 	(28-AUG-2025 11:13:32)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,ENTITY,PLANT_SEQ_NO,TAX_STRUCT_CD,TIMESTAMP
JMB,1,C,1,5, 	(28-AUG-2025 11:13:32)
JMB,1,C,1,6, 	(28-AUG-2025 11:13:32)
BOXCO,2,C,1,6, 	(28-AUG-2025 11:13:32)
JBB,2,S,1,6, 	(28-AUG-2025 11:13:32)
JBB,2,S,1,6, 	(28-AUG-2025 11:13:32)
JBB,2,S,1,9, 	(28-AUG-2025 11:13:32)
SSAPL,3,S,1,9, 	(28-AUG-2025 11:13:32)
SLPL,4,C,1,15, 	(28-AUG-2025 11:13:32)

TOTAL DATA EXTRACTED :,8,,,, 	(28-AUG-2025 11:13:32)
 
<<END>>,<<FMS_ENTITY_BU_SVC_TAX_DTL>>,,,, 	(28-AUG-2025 11:13:32)
 
